cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,,
2.32E-05,15,20,41,,,
1.73E-05,91,18,33,,,
1.73E-05,43,27,34,,,
1.82E-05,5,2,35,,,
1.95E-05,23,21,37,,,
1.80E-05,31,28,34,,,
3.00E-05,5,29,33,,,
1.88E-05,91,15,35,,,
1.84E-05,9,22,35,,,
2.85E-05,9,27,39,,,
2.89E-05,40,9,40,,,
2.47E-05,5,41,43,,,
3.00E-05,24,42,48,,,
1.82E-05,42,11,48,,,
1.78E-05,5,44,48,,,
1.81E-05,40,14,47,,,
1.75E-05,25,7,45,,,
1.76E-05,31,12,46,,,
1.72E-05,5,32,37,,,
2.18E-05,95,6,39,,,
2.51E-05,30,5,41,,,
1.83E-05,42,2,44,,,
1.84E-05,13,25,43,,,
1.86E-05,31,42,49,,,
2.42E-05,6,42,47,,,
1.70E-05,8,51,55,,,
1.78E-05,17,29,57,,,
1.75E-05,32,7,57,,,
1.87E-05,19,24,56,,,
2.27E-05,33,24,67,,,
1.70E-05,21,49,54,,,
1.87E-05,42,39,59,,,
1.77E-05,18,17,57,,,
2.35E-05,24,20,54,,,
1.76E-05,15,12,56,,,
3.18E-05,40,7,55,,,
1.93E-05,20,30,55,,,
1.74E-05,36,26,28,,,
1.73E-05,8,22,31,,,
1.73E-05,9,2,9,,,
1.74E-05,28,7,14,,,
1.69E-05,26,14,16,,,
1.76E-05,22,16,18,,,
1.84E-05,2,15,17,,,
1.70E-05,36,0,13,,,
1.74E-05,26,6,10,,,
1.72E-05,94,1,17,,,
1.71E-05,95,21,24,,,
2.06E-05,40,0,20,,,
1.93E-05,45,9,11,,,
2.29E-05,32,7,10,,,
1.79E-05,2,1,5,,,
1.71E-05,8,8,11,,,
1.70E-05,11,1,12,,,
1.75E-05,39,11,21,,,
1.74E-05,22,6,17,,,
1.69E-05,32,12,17,,,
1.71E-05,39,1,7,,,
1.71E-05,40,1,4,,,
1.69E-05,38,7,9,,,
1.81E-05,94,4,13,,,
1.73E-05,26,6,11,,,
1.96E-05,32,4,12,,,
1.80E-05,38,12,16,,,
1.70E-05,6,4,22,,,
1.79E-05,13,20,37,,,
1.73E-05,26,37,39,,,
1.73E-05,43,4,44,,,
1.75E-05,14,14,48,,,
1.81E-05,44,22,47,,,
1.85E-05,15,32,48,,,
1.85E-05,39,26,43,,,
2.43E-05,2,28,46,,,
1.82E-05,26,14,44,,,
1.76E-05,7,40,45,,,
1.86E-05,45,26,46,,,
3.27E-05,13,38,49,,,
2.82E-05,7,43,49,,,
1.94E-05,28,34,45,,,
1.80E-05,45,20,45,,,
1.79E-05,6,10,47,,,
1.82E-05,26,3,42,,,
2.59E-05,1,10,42,,,
1.76E-05,24,15,40,,,
1.75E-05,15,12,33,,,
1.88E-05,4,30,53,,,
1.96E-05,30,8,49,,,
1.69E-05,35,48,50,,,
1.72E-05,95,36,44,,,
2.57E-05,9,13,44,,,
2.72E-05,91,11,51,,,
1.86E-05,12,37,53,,,
1.72E-05,3,54,56,,,
1.85E-05,17,28,57,,,
1.73E-05,16,3,43,,,
1.80E-05,17,18,42,,,
1.81E-05,34,9,44,,,
1.75E-05,38,24,42,,,
1.77E-05,38,23,41,,,
1.83E-05,29,21,46,,,
1.79E-05,29,21,46,,,
1.91E-05,4,37,41,,,
1.87E-05,91,23,29,,,
1.79E-05,13,7,31,,,
1.69E-05,7,0,16,,,
1.74E-05,40,7,24,,,
1.71E-05,34,24,31,,,
1.69E-05,33,30,34,,,
1.79E-05,38,18,40,,,
1.75E-05,23,34,41,,,
2.65E-05,3,18,41,,,
1.76E-05,40,31,47,,,
1.75E-05,40,34,52,,,
1.77E-05,42,29,47,,,
2.73E-05,22,14,49,,,
2.47E-05,30,42,51,,,
1.81E-05,14,56,58,,,
1.82E-05,6,8,56,,,
1.78E-05,94,11,58,,,
1.77E-05,36,42,66,,,
1.90E-05,42,57,66,,,
1.71E-05,31,0,75,,,
1.81E-05,93,48,77,,,
1.77E-05,3,57,80,,,
1.71E-05,44,8,82,,,
1.80E-05,36,11,77,,,
1.82E-05,93,26,78,,,
1.79E-05,91,22,76,,,
1.75E-05,5,61,78,,,
1.85E-05,44,31,72,,,
2.38E-05,31,54,72,,,
1.92E-05,33,31,70,,,
1.78E-05,31,19,65,,,
1.74E-05,34,12,64,,,
