cas operacie,cislo,index prvku,dlzka zoznamu,,,
1.74E-05,91,94,99,,,
1.77E-05,92,10,102,,,
2.13E-05,93,70,100,,,
2.48E-05,91,66,100,,,
1.79E-05,91,82,101,,,
2.61E-05,93,72,124,,,
1.96E-05,95,92,125,,,
2.22E-05,92,18,134,,,
1.82E-05,92,1,132,,,
2.08E-05,93,88,143,,,
2.87E-05,94,93,141,,,
1.82E-05,95,128,143,,,
1.85E-05,93,5,139,,,
1.97E-05,95,79,138,,,
1.92E-05,91,77,138,,,
1.79E-05,95,126,142,,,
1.80E-05,93,122,140,,,
1.81E-05,95,15,135,,,
1.88E-05,93,114,143,,,
2.38E-05,91,100,148,,,
1.99E-05,94,78,147,,,
1.86E-05,93,33,146,,,
2.68E-05,94,19,134,,,
4.12E-05,94,115,131,,,
2.33E-05,95,27,129,,,
3.31E-05,94,5,133,,,
1.85E-05,94,1,134,,,
1.90E-05,93,22,140,,,
1.99E-05,92,39,141,,,
3.41E-05,94,4,138,,,
2.00E-05,95,87,133,,,
2.47E-05,93,83,135,,,
2.46E-05,94,77,148,,,
2.07E-05,93,47,144,,,
1.78E-05,94,11,151,,,
1.77E-05,95,145,154,,,
2.32E-05,93,77,149,,,
1.96E-05,94,103,153,,,
1.91E-05,92,89,151,,,
2.44E-05,92,105,156,,,
1.81E-05,95,133,156,,,
2.03E-05,94,69,163,,,
1.88E-05,91,44,164,,,
1.84E-05,91,29,165,,,
2.18E-05,95,85,159,,,
2.09E-05,93,38,163,,,
4.14E-05,92,145,172,,,
2.21E-05,94,132,165,,,
2.01E-05,94,125,179,,,
2.43E-05,91,115,181,,,
2.07E-05,91,70,180,,,
2.15E-05,92,75,184,,,
1.98E-05,95,26,178,,,
2.15E-05,94,107,179,,,
2.17E-05,94,34,186,,,
2.14E-05,95,100,190,,,
1.96E-05,93,30,206,,,
1.80E-05,92,16,215,,,
1.91E-05,95,161,214,,,
3.48E-05,92,73,220,,,
2.56E-05,92,210,222,,,
1.88E-05,93,34,223,,,
1.98E-05,94,55,226,,,
3.51E-05,95,168,227,,,
2.18E-05,94,165,229,,,
2.01E-05,91,60,224,,,
2.04E-05,93,61,207,,,
2.17E-05,94,148,205,,,
1.92E-05,93,149,209,,,
1.97E-05,93,160,219,,,
2.00E-05,91,188,227,,,
2.17E-05,91,77,225,,,
3.13E-05,93,157,225,,,
1.94E-05,93,51,216,,,
2.48E-05,93,102,212,,,
2.14E-05,93,121,219,,,
2.10E-05,94,84,220,,,
1.76E-05,95,220,224,,,
2.97E-05,93,105,219,,,
2.35E-05,93,119,220,,,
1.96E-05,92,36,219,,,
1.82E-05,91,21,218,,,
1.77E-05,91,6,216,,,
2.05E-05,91,208,216,,,
2.45E-05,91,84,210,,,
2.27E-05,92,11,201,,,
2.10E-05,93,73,204,,,
2.16E-05,94,120,207,,,
2.07E-05,92,73,202,,,
2.73E-05,91,173,203,,,
2.34E-05,95,102,201,,,
1.96E-05,92,32,194,,,
1.90E-05,95,42,184,,,
1.76E-05,95,7,181,,,
1.92E-05,95,113,172,,,
2.01E-05,94,69,175,,,
2.08E-05,93,79,175,,,
3.07E-05,93,65,176,,,
1.75E-05,92,3,174,,,
2.16E-05,95,92,177,,,
2.29E-05,95,83,180,,,
1.79E-05,92,168,182,,,
1.90E-05,93,140,184,,,
2.06E-05,93,54,184,,,
1.97E-05,95,118,183,,,
2.41E-05,93,30,181,,,
1.78E-05,93,11,187,,,
2.04E-05,92,75,197,,,
2.11E-05,93,107,197,,,
2.11E-05,95,68,196,,,
2.02E-05,93,102,195,,,
1.79E-05,95,179,198,,,
1.91E-05,91,38,197,,,
1.78E-05,95,3,195,,,
3.38E-05,94,50,177,,,
1.93E-05,92,21,176,,,
2.00E-05,91,127,175,,,
1.93E-05,91,27,172,,,
2.01E-05,91,66,175,,,
2.05E-05,91,75,179,,,
2.14E-05,94,168,173,,,
2.17E-05,94,44,176,,,
1.95E-05,93,124,179,,,
2.23E-05,95,126,181,,,
3.25E-05,91,127,186,,,
3.40E-05,93,79,185,,,
3.13E-05,95,141,186,,,
2.13E-05,95,30,184,,,
2.63E-05,92,31,185,,,
2.01E-05,92,24,185,,,
2.11E-05,92,94,196,,,
1.90E-05,93,158,203,,,
2.27E-05,95,49,203,,,
1.97E-05,92,30,204,,,
1.91E-05,93,43,210,,,
1.97E-05,95,157,214,,,
2.08E-05,95,129,214,,,
1.75E-05,92,4,214,,,
2.05E-05,95,140,216,,,
2.12E-05,94,79,216,,,
1.76E-05,94,222,227,,,
1.98E-05,93,62,229,,,
2.29E-05,92,139,240,,,
1.79E-05,91,9,239,,,
1.85E-05,92,210,243,,,
1.77E-05,94,235,243,,,
1.90E-05,93,42,239,,,
2.27E-05,94,114,239,,,
2.04E-05,92,149,238,,,
1.79E-05,91,17,234,,,
2.34E-05,92,153,232,,,
1.77E-05,94,6,225,,,
3.11E-05,91,17,221,,,
1.91E-05,92,41,218,,,
2.11E-05,91,89,211,,,
1.79E-05,92,186,203,,,
2.07E-05,92,107,202,,,
2.15E-05,95,125,204,,,
1.97E-05,95,41,204,,,
1.86E-05,91,169,203,,,
1.92E-05,91,145,202,,,
1.89E-05,93,148,199,,,
1.75E-05,95,0,197,,,
2.18E-05,94,103,203,,,
2.10E-05,95,40,192,,,
1.91E-05,94,169,192,,,
2.13E-05,93,78,193,,,
1.89E-05,94,41,187,,,
2.35E-05,91,113,182,,,
2.03E-05,91,113,174,,,
1.97E-05,92,54,173,,,
2.56E-05,91,118,176,,,
1.96E-05,93,151,174,,,
1.89E-05,93,118,168,,,
2.33E-05,92,76,167,,,
1.83E-05,92,16,174,,,
2.01E-05,94,133,176,,,
2.29E-05,95,97,177,,,
1.91E-05,91,0,183,,,
2.07E-05,95,85,184,,,
2.08E-05,94,118,183,,,
2.34E-05,95,164,183,,,
1.94E-05,92,28,185,,,
1.91E-05,95,37,183,,,
2.05E-05,92,101,198,,,
2.85E-05,93,59,204,,,
1.88E-05,91,37,210,,,
2.06E-05,93,141,212,,,
2.12E-05,93,116,207,,,
2.59E-05,93,53,204,,,
2.20E-05,91,88,200,,,
2.02E-05,92,113,200,,,
2.10E-05,95,76,204,,,
2.87E-05,93,97,208,,,
1.94E-05,92,173,214,,,
2.02E-05,94,136,216,,,
2.57E-05,91,51,212,,,
3.59E-05,91,111,211,,,
2.21E-05,93,108,198,,,
2.27E-05,92,138,210,,,
1.92E-05,91,27,213,,,
1.87E-05,95,170,221,,,
2.21E-05,94,157,221,,,
1.76E-05,92,218,221,,,
2.04E-05,95,134,224,,,
2.22E-05,93,133,229,,,
3.61E-05,91,46,232,,,
1.87E-05,93,7,232,,,
2.04E-05,91,173,232,,,
2.77E-05,93,87,232,,,
3.11E-05,92,172,222,,,
2.13E-05,93,171,236,,,
2.00E-05,94,150,235,,,
2.09E-05,93,161,229,,,
2.16E-05,91,78,226,,,
2.02E-05,91,70,224,,,
2.67E-05,93,116,224,,,
2.00E-05,94,135,220,,,
3.89E-05,94,50,217,,,
2.03E-05,95,187,224,,,
1.86E-05,93,190,226,,,
2.69E-05,94,209,222,,,
2.44E-05,95,113,225,,,
2.09E-05,91,59,229,,,
2.27E-05,95,134,225,,,
2.18E-05,93,70,229,,,
2.16E-05,94,166,229,,,
1.79E-05,91,217,234,,,
1.98E-05,94,6,236,,,
1.90E-05,93,210,240,,,
2.06E-05,93,81,237,,,
2.12E-05,94,119,224,,,
2.61E-05,94,161,236,,,
1.93E-05,95,184,237,,,
1.90E-05,91,212,246,,,
1.93E-05,95,41,246,,,
2.20E-05,93,114,246,,,
2.18E-05,94,165,246,,,
2.06E-05,92,174,235,,,
1.92E-05,95,223,229,,,
1.86E-05,92,15,227,,,
2.20E-05,92,111,232,,,
2.09E-05,91,158,228,,,
1.99E-05,95,67,226,,,
2.15E-05,93,104,209,,,
2.27E-05,94,157,239,,,
2.59E-05,95,138,236,,,
1.90E-05,95,192,237,,,
2.18E-05,92,101,233,,,
2.27E-05,91,89,232,,,
2.16E-05,95,47,229,,,
1.94E-05,95,175,239,,,
1.85E-05,94,221,252,,,
1.99E-05,95,66,251,,,
1.88E-05,93,31,253,,,
1.96E-05,94,181,245,,,
2.08E-05,91,38,244,,,
2.18E-05,92,94,240,,,
2.94E-05,92,18,239,,,
2.28E-05,94,118,239,,,
3.14E-05,92,123,248,,,
2.01E-05,95,69,237,,,
2.12E-05,92,98,238,,,
1.89E-05,94,39,235,,,
1.93E-05,93,209,235,,,
2.04E-05,91,75,239,,,
2.42E-05,95,114,238,,,
1.84E-05,91,207,237,,,
1.77E-05,91,222,237,,,
1.88E-05,92,40,237,,,
2.10E-05,92,172,249,,,
2.02E-05,94,73,246,,,
2.17E-05,92,85,251,,,
1.76E-05,94,7,248,,,
2.09E-05,93,142,249,,,
2.04E-05,91,184,240,,,
1.86E-05,91,27,240,,,
2.08E-05,92,142,241,,,
2.69E-05,95,64,242,,,
2.09E-05,94,87,238,,,
2.01E-05,95,68,238,,,
2.11E-05,92,145,247,,,
1.85E-05,91,18,247,,,
2.91E-05,95,85,247,,,
1.89E-05,93,204,249,,,
1.86E-05,93,224,241,,,
2.08E-05,91,55,248,,,
2.33E-05,92,84,253,,,
1.87E-05,92,215,258,,,
1.79E-05,93,242,254,,,
2.03E-05,94,50,250,,,
5.64E-05,93,200,246,,,
2.51E-05,95,145,249,,,
2.50E-05,95,110,252,,,
1.98E-05,94,36,257,,,
1.90E-05,92,236,257,,,
2.07E-05,92,183,258,,,
2.00E-05,94,184,258,,,
1.94E-05,92,19,260,,,
1.88E-05,92,27,259,,,
2.23E-05,92,156,256,,,
1.81E-05,91,244,261,,,
2.00E-05,92,173,256,,,
1.83E-05,92,215,246,,,
1.76E-05,92,12,245,,,
1.94E-05,94,179,246,,,
2.06E-05,94,176,248,,,
1.98E-05,94,196,238,,,
2.02E-05,92,243,246,,,
1.98E-05,92,59,247,,,
2.28E-05,91,122,246,,,
1.98E-05,95,57,248,,,
2.23E-05,93,0,246,,,
2.25E-05,91,116,242,,,
2.10E-05,91,155,241,,,
2.33E-05,94,198,244,,,
2.00E-05,95,160,238,,,
2.22E-05,95,82,216,,,
2.22E-05,93,87,218,,,
1.80E-05,94,192,211,,,
1.87E-05,94,35,229,,,
1.96E-05,92,193,229,,,
2.05E-05,93,82,233,,,
1.85E-05,91,188,234,,,
2.16E-05,93,77,228,,,
2.22E-05,92,134,229,,,
2.33E-05,92,122,236,,,
3.41E-05,92,153,237,,,
1.76E-05,93,9,236,,,
2.10E-05,91,129,239,,,
