cas operacie,vybrane cislo,velkost frontu,,
1.30E-06,32,13,,
1.30E-06,21,12,,
1.40E-06,20,11,,
2.37E-05,4,10,,
1.30E-06,6,9,,
1.30E-06,19,8,,
1.30E-06,1,7,,
1.30E-06,28,7,,
1.42E-05,21,6,,
1.50E-06,11,10,,
1.30E-06,35,9,,
1.30E-06,18,9,,
1.20E-06,6,8,,
1.69E-05,10,7,,
1.30E-06,18,6,,
1.30E-06,15,5,,
1.30E-06,20,5,,
1.20E-06,18,4,,
1.20E-06,8,6,,
1.30E-06,14,7,,
1.30E-06,31,6,,
1.20E-06,2,6,,
1.30E-06,24,6,,
1.30E-06,27,5,,
1.30E-06,3,5,,
1.52E-05,10,4,,
1.20E-06,5,3,,
1.20E-06,35,2,,
1.30E-06,7,2,,
1.30E-06,23,2,,
1.20E-06,29,1,,
1.20E-06,3,1,,
1.20E-06,29,1,,
1.30E-06,19,4,,
1.20E-06,7,3,,
1.20E-06,31,4,,
1.20E-06,26,4,,
7.50E-06,9,3,,
1.20E-06,2,2,,
1.20E-06,5,1,,
1.20E-06,14,2,,
1.30E-06,31,1,,
1.20E-06,15,2,,
1.20E-06,3,1,,
1.30E-06,15,6,,
1.20E-06,31,8,,
1.30E-06,4,8,,
1.30E-06,4,8,,
1.73E-05,9,7,,
1.30E-06,18,7,,
1.30E-06,28,7,,
1.20E-06,29,8,,
1.30E-06,25,8,,
1.30E-06,31,7,,
1.20E-06,35,7,,
1.20E-06,11,6,,
1.17E-05,26,5,,
1.30E-06,33,6,,
1.40E-06,23,8,,
1.20E-06,25,7,,
1.20E-06,34,7,,
1.20E-06,30,10,,
1.20E-06,34,9,,
1.30E-06,25,9,,
1.30E-06,35,9,,
1.30E-06,13,9,,
1.30E-06,1,8,,
1.30E-06,5,8,,
1.20E-06,33,9,,
1.30E-06,3,10,,
2.24E-05,21,9,,
1.30E-06,4,8,,
1.20E-06,20,8,,
1.30E-06,30,7,,
1.30E-06,26,6,,
1.20E-06,19,6,,
1.30E-06,33,6,,
1.18E-05,12,5,,
1.30E-06,5,4,,
1.20E-06,28,4,,
1.30E-06,16,3,,
1.20E-06,24,2,,
1.30E-06,4,2,,
4.10E-06,8,1,,
1.20E-06,7,1,,
1.20E-06,17,2,,
1.40E-06,8,1,,
1.20E-06,25,2,,
1.20E-06,16,1,,
1.30E-06,34,2,,
1.30E-06,15,1,,
1.20E-06,31,1,,
1.20E-06,22,3,,
1.20E-06,17,3,,
1.30E-06,18,4,,
1.30E-06,20,3,,
1.30E-06,31,2,,
1.30E-06,16,4,,
1.30E-06,1,3,,
1.40E-06,12,2,,
1.30E-06,30,12,,
1.30E-06,2,14,,
1.40E-06,20,13,,
1.30E-06,10,12,,
3.13E-05,17,12,,
3.30E-06,28,11,,
1.70E-06,12,10,,
1.90E-06,9,9,,
2.22E-05,24,8,,
1.40E-06,30,8,,
1.30E-06,16,7,,
1.30E-06,17,6,,
1.80E-05,10,7,,
1.40E-06,9,7,,
1.30E-06,16,7,,
1.40E-06,35,8,,
1.30E-06,23,9,,
1.40E-06,20,9,,
1.30E-06,7,14,,
1.30E-06,33,13,,
1.30E-06,17,13,,
1.30E-06,16,12,,
1.30E-06,25,12,,
2.75E-05,6,11,,
1.30E-06,35,13,,
1.30E-06,5,12,,
1.30E-06,21,13,,
1.40E-06,2,16,,
1.40E-06,10,15,,
1.30E-06,20,14,,
1.30E-06,14,15,,
2.30E-06,19,14,,
1.50E-06,32,17,,
2.00E-06,6,16,,
2.30E-06,2,17,,
1.90E-06,30,16,,
1.40E-06,6,17,,
1.30E-06,6,18,,
1.30E-06,8,17,,
1.40E-06,26,18,,
1.30E-06,26,17,,
1.30E-06,17,16,,
4.79E-05,10,15,,
1.30E-06,6,14,,
1.30E-06,2,13,,
1.30E-06,16,12,,
2.74E-05,20,11,,
1.30E-06,9,10,,
1.30E-06,29,9,,
1.30E-06,8,8,,
1.30E-06,17,8,,
2.00E-05,12,7,,
1.30E-06,21,7,,
1.20E-06,8,6,,
1.20E-06,16,5,,
1.30E-06,17,5,,
1.20E-06,33,5,,
