cas operacie,vlozene cislo,index prvku,dlzka zoznamu,
5e-07,6,8,9,
3e-07,17,8,9,
3e-07,12,9,10,
3e-07,6,12,13,
4e-07,28,10,11,
4e-07,30,11,12,
3e-07,14,13,14,
2e-07,28,16,17,
3e-07,12,16,17,
2e-07,28,14,15,
3e-07,13,16,17,
3e-07,35,17,18,
3e-07,1,16,17,
3e-07,24,16,17,
5e-07,40,16,17,
3e-07,11,17,18,
3e-07,10,18,19,
3e-07,33,18,19,
5e-07,18,19,20,
4e-07,24,20,21,
5e-07,23,17,18,
5e-07,39,18,19,
3e-07,13,20,21,
3e-07,20,20,21,
4e-07,22,17,18,
4e-07,45,17,18,
3e-07,34,7,8,
3e-07,9,10,11,
4e-07,19,14,15,
4e-07,28,15,16,
5e-07,26,13,14,
4e-07,38,14,15,
5e-07,2,15,16,
4e-07,35,17,18,
3e-07,5,18,19,
4e-07,11,19,20,
3e-07,34,15,16,
5e-07,6,19,20,
4e-07,36,19,20,
3e-07,33,20,21,
3e-07,45,20,21,
3e-07,6,22,23,
3e-07,31,18,19,
3e-07,36,20,21,
3e-07,23,19,20,
3e-07,30,21,22,
3e-07,26,23,24,
4e-07,30,23,24,
4e-07,41,22,23,
4e-07,25,24,25,
4e-07,31,26,27,
4e-07,4,25,26,
7e-07,32,26,27,
3e-07,20,28,29,
4e-07,32,25,26,
3e-07,8,27,28,
4e-07,14,25,26,
4e-07,28,25,26,
3e-07,3,27,28,
4e-07,33,19,20,
3e-07,18,20,21,
4e-07,2,20,21,
6e-07,40,21,22,
4e-07,39,24,25,
4e-07,37,25,26,
4e-07,7,26,27,
3e-07,35,27,28,
5e-07,28,28,29,
3e-07,39,24,25,
4e-07,8,26,27,
4e-07,40,29,30,
5e-07,40,30,31,
4e-07,13,19,20,
4e-07,35,17,18,
3e-07,20,20,21,
4e-07,21,19,20,
3e-07,33,20,21,
4e-07,34,17,18,
4e-07,1,16,17,
4e-07,21,15,16,
4e-07,32,16,17,
4e-07,8,19,20,
4e-07,20,22,23,
5e-07,15,22,23,
3e-07,37,23,24,
3e-07,16,24,25,
4e-07,14,25,26,
5e-07,35,26,27,
4e-07,31,26,27,
4e-07,3,28,29,
5e-07,5,29,30,
4e-07,41,15,16,
4e-07,33,14,15,
4e-07,38,12,13,
4e-07,12,15,16,
4e-07,1,12,13,
3e-07,15,11,12,
3e-07,21,12,13,
4e-07,2,12,13,
4e-07,28,14,15,
4e-07,11,14,15,
4e-07,13,14,15,
5e-07,35,10,11,
4e-07,36,8,9,
4e-07,28,10,11,
3e-07,6,11,12,
3e-07,1,10,11,
4e-07,38,12,13,
3e-07,24,14,15,
4e-07,44,12,13,
3e-07,37,13,14,
3e-07,43,14,15,
3e-07,3,11,12,
4e-07,8,12,13,
3e-07,45,11,12,
4e-07,29,11,12,
4e-07,36,12,13,
4e-07,18,12,13,
4e-07,36,20,21,
3e-07,41,20,21,
4e-07,40,20,21,
3e-07,3,14,15,
3e-07,4,15,16,
3e-07,18,16,17,
3e-07,40,19,20,
3e-07,25,18,19,
3e-07,24,18,19,
3e-07,25,19,20,
3e-07,10,22,23,
3e-07,29,24,25,
3e-07,11,21,22,
3e-07,38,20,21,
3e-07,44,21,22,
3e-07,27,21,22,
3e-07,42,24,25,
3e-07,32,22,23,
3e-07,37,23,24,
3e-07,1,25,26,
3e-07,40,25,26,
3e-07,5,26,27,
3e-07,35,27,28,
3e-07,23,27,28,
3e-07,18,28,29,
3e-07,16,29,30,
3e-07,33,30,31,
3e-07,35,32,33,
3e-07,39,34,35,
3e-07,4,38,39,
3e-07,31,40,41,
2e-07,45,39,40,
3e-07,20,41,42,
3e-07,23,42,43,
3e-07,15,41,42,
3e-07,24,38,39,
2e-07,39,40,41,
2e-07,37,39,40,
3e-07,45,41,42,
3e-07,9,41,42,
3e-07,3,43,44,
3e-07,34,43,44,
3e-07,14,43,44,
3e-07,17,44,45,
3e-07,40,43,44,
2e-07,25,44,45,
3e-07,30,44,45,
3e-07,24,42,43,
3e-07,42,36,37,
3e-07,23,35,36,
3e-07,27,35,36,
3e-07,39,37,38,
3e-07,6,38,39,
3e-07,16,39,40,
3e-07,44,41,42,
3e-07,39,38,39,
2e-07,6,35,36,
3e-07,24,36,37,
3e-07,16,37,38,
3e-07,24,34,35,
2e-07,18,30,31,
2e-07,21,30,31,
3e-07,34,31,32,
2e-07,15,31,32,
3e-07,27,37,38,
3e-07,2,37,38,
3e-07,3,36,37,
2e-07,32,38,39,
3e-07,40,39,40,
3e-07,27,40,41,
3e-07,45,44,45,
3e-07,13,43,44,
3e-07,44,43,44,
3e-07,43,46,47,
2e-07,1,48,49,
3e-07,26,47,48,
3e-07,44,48,49,
2e-07,19,47,48,
3e-07,23,48,49,
3e-07,35,48,49,
2e-07,35,48,49,
2e-07,40,50,51,
3e-07,1,52,53,
3e-07,25,51,52,
2e-07,31,52,53,
3e-07,33,43,44,
3e-07,30,45,46,
2e-07,15,40,41,
2e-07,38,37,38,
2e-07,21,38,39,
2e-07,29,37,38,
2e-07,31,38,39,
3e-07,40,39,40,
3e-07,45,40,41,
2e-07,45,35,36,
2e-07,38,37,38,
3e-07,21,39,40,
3e-07,44,35,36,
3e-07,26,36,37,
2e-07,30,35,36,
3e-07,10,32,33,
3e-07,40,33,34,
3e-07,23,35,36,
3e-07,39,36,37,
2e-07,13,37,38,
3e-07,3,36,37,
3e-07,24,37,38,
3e-07,28,41,42,
2e-07,8,42,43,
3e-07,4,43,44,
3e-07,13,45,46,
3e-07,25,42,43,
3e-07,19,43,44,
3e-07,4,42,43,
3e-07,20,43,44,
3e-07,19,39,40,
2e-07,18,41,42,
2e-07,32,37,38,
2e-07,17,37,38,
3e-07,28,42,43,
3e-07,31,41,42,
3e-07,10,39,40,
2e-07,2,39,40,
3e-07,20,41,42,
3e-07,30,39,40,
3e-07,1,40,41,
3e-07,24,39,40,
3e-07,25,38,39,
3e-07,9,39,40,
3e-07,4,34,35,
3e-07,37,37,38,
3e-07,19,36,37,
3e-07,13,37,38,
2e-07,11,38,39,
3e-07,26,40,41,
3e-07,32,40,41,
3e-07,27,41,42,
2e-07,35,43,44,
3e-07,13,42,43,
3e-07,14,44,45,
2e-07,21,43,44,
3e-07,11,43,44,
2e-07,43,38,39,
3e-07,37,39,40,
2e-07,16,40,41,
3e-07,2,39,40,
2e-06,6,40,41,
4e-07,8,38,39,
4e-07,28,34,35,
5e-07,7,35,36,
4e-07,33,36,37,
4e-07,8,36,37,
4e-07,44,43,44,
3e-07,40,44,45,
4e-07,19,46,47,
3e-07,28,47,48,
4e-07,12,49,50,
3e-07,32,50,51,
4e-07,26,51,52,
3e-07,37,52,53,
3e-07,9,46,47,
3e-07,36,46,47,
3e-07,4,47,48,
3e-07,13,47,48,
5e-07,41,49,50,
3e-07,29,48,49,
3e-07,13,51,52,
3e-07,8,47,48,
3e-07,13,51,52,
3e-07,10,49,50,
3e-07,14,50,51,
2e-07,22,49,50,
3e-07,31,43,44,
3e-07,1,40,41,
3e-07,41,44,45,
3e-07,38,45,46,
3e-07,12,44,45,
3e-07,26,44,45,
3e-07,12,48,49,
2e-07,42,52,53,
2e-07,40,53,54,
