cas operacie,index prvku,dlzka zoznamu,
3e-07,4,27,
4e-07,6,27,
4e-07,19,26,
3e-07,14,25,
7e-07,11,26,
5e-07,31,33,
3e-07,0,33,
6e-07,25,34,
5e-07,31,32,
5e-07,27,31,
6e-07,18,30,
3e-07,3,29,
4e-07,3,26,
4e-07,10,23,
3e-07,7,25,
4e-07,23,26,
4e-07,19,26,
4e-07,18,24,
3e-07,5,30,
3e-07,3,29,
3e-07,14,29,
3e-07,8,29,
2e-07,0,38,
5e-07,36,37,
4e-07,34,36,
3e-07,19,49,
5e-07,46,51,
3e-07,8,49,
3e-07,11,46,
5e-07,37,48,
3e-07,9,45,
4e-07,25,47,
5e-07,25,46,
4e-07,19,45,
4e-07,30,45,
5e-07,30,46,
3e-07,0,45,
2e-07,9,44,
5e-07,27,44,
2e-07,0,43,
3e-07,22,41,
5e-07,40,43,
3e-07,10,37,
3e-07,16,37,
3e-07,13,37,
3e-07,6,39,
4e-07,19,38,
4e-07,23,36,
3e-07,14,35,
3e-07,21,36,
4e-07,29,37,
4e-07,30,35,
3e-07,12,38,
2e-07,6,37,
4e-07,23,35,
3e-07,9,33,
3e-07,8,33,
2e-07,0,32,
3e-07,15,31,
3e-07,17,27,
4e-07,22,25,
3e-07,0,22,
3e-07,18,20,
3e-07,4,20,
3e-07,14,19,
3e-07,15,19,
3e-07,7,18,
3e-07,8,17,
3e-07,13,23,
4e-07,20,22,
3e-07,14,24,
3e-07,5,24,
2e-07,2,32,
5e-07,29,31,
4e-07,27,31,
4e-07,20,31,
4e-07,26,35,
3e-07,6,35,
3e-07,4,34,
5e-07,33,35,
3e-07,12,36,
4e-07,19,40,
4e-07,33,40,
5e-07,34,36,
3e-07,3,33,
3e-07,4,32,
4e-07,26,31,
3e-07,16,28,
4e-07,27,29,
3e-07,26,31,
3e-07,14,30,
3e-07,8,31,
4e-07,29,30,
3e-07,20,30,
4e-07,20,33,
4e-07,23,34,
3e-07,26,34,
4e-07,13,33,
3e-07,21,30,
4e-07,16,33,
3e-07,10,32,
3e-07,16,35,
4e-07,26,37,
2e-07,2,36,
3e-07,2,35,
3e-07,7,30,
3e-07,8,30,
3e-07,14,30,
4e-07,10,28,
4e-07,24,26,
4e-07,24,26,
3e-07,5,26,
3e-07,17,23,
3e-07,0,29,
4e-07,20,30,
3e-07,11,24,
3e-07,9,24,
2e-07,8,22,
3e-07,16,20,
3e-07,14,23,
3e-07,8,23,
3e-07,14,22,
2e-07,4,22,
3e-07,12,18,
3e-07,9,18,
3e-07,5,16,
3e-07,11,19,
3e-07,4,18,
3e-07,9,18,
2e-07,4,17,
3e-07,7,16,
3e-07,7,14,
3e-07,9,13,
3e-07,5,15,
6e-07,4,15,
3e-07,10,16,
1.1e-06,10,15,
4e-07,2,23,
3e-07,15,20,
3e-07,0,18,
3e-07,4,18,
3e-07,15,26,
3e-07,15,26,
2e-07,5,24,
4e-07,25,27,
3e-07,10,26,
3e-07,10,25,
3e-07,5,23,
2e-07,2,25,
2e-07,10,22,
3e-07,14,23,
3e-07,14,20,
2e-07,7,22,
3e-07,4,20,
4e-07,19,25,
4e-07,21,23,
3e-07,18,23,
3e-07,9,22,
3e-07,1,21,
2e-07,3,21,
