cas operacie,vlozene cislo,index prvku,dlzka zoznamu,
2e-07,11,11,29,
2e-07,14,14,28,
2e-07,11,11,26,
2e-07,10,10,23,
2e-07,9,9,19,
2e-07,12,12,13,
1e-07,6,6,13,
1e-07,0,0,15,
1e-07,1,1,20,
2e-07,5,5,21,
3e-07,24,24,26,
3e-07,25,25,27,
2e-07,2,2,28,
3e-07,20,20,30,
3e-07,18,18,22,
1e-07,2,2,23,
1e-07,3,3,28,
5e-07,15,15,25,
2e-07,5,5,22,
1e-07,0,0,23,
3e-07,11,11,16,
3e-07,8,8,13,
3e-07,15,15,28,
1e-07,0,0,29,
3e-07,10,10,29,
3e-07,18,18,27,
2e-07,17,17,28,
2e-07,3,3,26,
3e-07,15,15,29,
2e-07,10,10,31,
2e-07,4,4,31,
2e-07,5,5,32,
2e-07,14,14,21,
2e-07,4,4,20,
1e-07,3,3,24,
1e-07,7,7,18,
2e-07,5,5,15,
1e-07,0,0,10,
2e-07,2,2,12,
1e-07,0,0,1,
2e-07,2,2,3,
1e-07,0,0,1,
2e-07,1,1,3,
1e-07,2,2,3,
2e-07,3,3,5,
1e-07,0,0,5,
1e-07,0,0,1,
2e-07,3,3,4,
2e-07,10,10,11,
1e-07,7,7,13,
1e-07,0,0,13,
3e-07,16,16,17,
2e-07,10,10,18,
2e-07,9,9,16,
2e-07,3,3,17,
1e-07,8,8,14,
1e-07,0,0,16,
2e-07,8,8,16,
2e-07,12,12,18,
3e-07,19,19,24,
2e-07,18,18,25,
3e-07,17,17,22,
1e-07,0,0,26,
3e-07,24,24,29,
2e-07,11,11,29,
6e-07,2,2,30,
2e-07,9,9,50,
3e-07,25,25,47,
4e-07,38,38,47,
4e-07,26,26,42,
2e-07,11,11,41,
2e-07,5,5,39,
2e-07,9,9,39,
2e-07,14,14,39,
2e-07,5,5,39,
2e-07,9,9,44,
3e-07,36,36,49,
1e-07,4,4,47,
2e-07,2,2,36,
4e-07,38,38,59,
2e-07,3,3,59,
3e-07,22,22,63,
2e-07,17,17,62,
2e-07,12,12,68,
2e-07,15,15,70,
2e-07,11,11,70,
3e-07,20,20,75,
2e-07,8,8,63,
2e-07,15,15,63,
1e-07,2,2,73,
2e-07,4,4,74,
2e-07,15,15,81,
5e-07,49,49,77,
1e-07,3,3,81,
5e-07,42,42,70,
6e-07,63,63,70,
5e-07,10,10,72,
4e-07,25,25,68,
6e-07,64,64,71,
1e-07,1,1,67,
3e-07,27,27,65,
3e-07,20,20,63,
6e-07,59,59,71,
1e-07,7,7,71,
2e-07,11,11,65,
2e-07,7,7,60,
4e-07,28,28,50,
2e-07,15,15,49,
6.6e-06,28,28,46,
1e-07,1,1,49,
2e-07,11,11,49,
4e-07,34,34,53,
2e-07,3,3,53,
2e-07,8,8,45,
2e-07,5,5,48,
1e-07,5,5,47,
2e-07,13,13,46,
1e-07,9,9,43,
1e-07,0,0,49,
3e-07,24,24,42,
2e-07,5,5,43,
4e-07,33,33,40,
2e-07,11,11,45,
2e-07,0,0,44,
2e-07,2,2,45,
3e-07,26,26,45,
1e-07,3,3,43,
4e-07,33,33,48,
2e-07,14,14,44,
2e-07,5,5,47,
2e-07,14,14,46,
3e-07,17,17,48,
2e-07,1,1,48,
3e-07,23,23,45,
2e-07,13,13,45,
4e-07,33,33,50,
4e-07,40,40,48,
2e-07,5,5,47,
2e-07,18,18,40,
2e-07,8,8,37,
2e-07,6,6,35,
2e-07,14,14,34,
1e-07,0,0,33,
4e-07,33,33,35,
1e-07,0,0,36,
2e-07,13,13,42,
1e-07,6,6,48,
2e-07,2,2,39,
1e-07,0,0,38,
2e-07,5,5,41,
2e-07,8,8,44,
