cas operacie,vlozene cislo,index prvku,dlzka zoznamu,
4e-07,3,14,36,
3e-07,10,0,34,
3e-07,45,3,34,
4e-07,15,16,32,
5e-07,15,22,32,
5e-07,22,24,34,
4e-07,22,17,33,
3e-07,18,0,35,
4e-07,20,16,35,
3e-07,12,5,34,
6e-07,32,29,33,
5e-07,22,14,25,
5e-07,41,18,27,
4e-07,2,13,26,
5e-07,13,18,27,
3e-07,37,12,26,
4e-07,19,10,23,
4e-07,28,14,23,
3e-07,9,6,20,
4e-07,37,0,23,
5e-07,31,19,21,
3e-07,35,1,20,
3e-07,2,6,20,
4e-07,8,12,20,
5e-07,16,16,21,
4e-07,9,12,18,
3e-07,28,3,17,
4e-07,27,17,19,
3e-07,5,1,18,
4e-07,19,7,19,
6e-07,37,5,9,
4e-07,38,7,9,
5e-07,7,7,13,
5e-07,1,1,15,
3e-07,33,0,16,
4e-07,16,5,15,
5e-07,40,13,16,
