cas operacie,cislo na indexe,index prvku,dlzka zoznamu,
6e-07,14,49,164,
8e-07,92,81,154,
5e-07,36,47,154,
1e-06,3,118,145,
8e-07,1,71,149,
2e-07,40,15,151,
1e-07,4,0,150,
1.2e-06,1,134,151,
1.2e-06,39,139,144,
9e-07,5,107,139,
2e-07,92,4,141,
4e-07,17,39,139,
7e-07,93,78,140,
9e-07,19,102,137,
8e-07,43,90,139,
7e-07,43,75,141,
1.1e-06,95,126,138,
1e-06,17,119,133,
1.1e-06,45,126,132,
6e-07,1,67,131,
6e-07,27,55,149,
7e-07,92,75,153,
6e-07,4,56,144,
5e-07,44,43,143,
1.3e-06,8,141,145,
1.2e-06,30,135,141,
1e-06,26,100,139,
8e-07,25,81,139,
1.1e-06,39,110,140,
1.1e-06,34,129,139,
8e-07,40,80,135,
4e-07,1,38,135,
9e-07,25,121,136,
2e-07,17,22,128,
3e-07,11,21,122,
3e-07,29,17,121,
9e-07,93,101,125,
3e-07,39,28,126,
3e-07,28,31,136,
3e-07,24,20,137,
8e-07,91,105,139,
2e-07,18,18,128,
4e-07,95,35,121,
6e-07,92,62,120,
7.17e-05,42,12,130,
3e-07,19,14,143,
5e-07,29,42,148,
8e-07,3,85,147,
9e-07,91,92,151,
1.1e-06,10,135,157,
1e-06,23,102,132,
5e-07,95,57,137,
4e-07,37,31,138,
8e-07,8,85,139,
3e-07,43,17,136,
3e-07,92,29,139,
6e-07,17,60,146,
8e-07,39,78,150,
5e-07,3,47,142,
1e-06,7,123,134,
7e-07,39,69,135,
4e-07,11,34,131,
7e-07,41,87,117,
8e-07,37,100,117,
9e-07,15,110,114,
4e-07,17,37,114,
8e-07,31,88,117,
9e-07,41,116,124,
9e-07,38,106,125,
8e-07,24,89,125,
9e-07,3,110,135,
6e-07,35,49,135,
6e-07,31,65,131,
2e-07,38,8,125,
5e-07,9,41,127,
4e-07,27,38,127,
3e-07,17,23,128,
1e-06,3,119,124,
2e-07,23,20,127,
7e-07,13,84,129,
1e-06,30,125,129,
7e-07,44,81,125,
2e-07,92,15,114,
2e-07,42,7,120,
6e-07,30,68,114,
4e-07,44,28,115,
7e-07,35,81,113,
9e-07,24,101,113,
9e-07,92,107,113,
8e-07,20,96,114,
5e-07,15,39,109,
1e-07,21,1,119,
4e-07,32,34,104,
5e-07,41,42,101,
4e-07,93,38,93,
4e-07,14,31,93,
3e-07,29,9,98,
5e-07,21,42,98,
2e-07,14,22,95,
3e-07,45,18,105,
5e-07,37,49,106,
8e-07,40,93,99,
5e-07,20,59,95,
4e-07,23,46,99,
4e-07,41,44,85,
4e-07,32,46,84,
6e-07,6,74,86,
5e-07,8,49,91,
2e-07,35,7,95,
6e-07,16,67,96,
2e-07,92,10,108,
1e-07,18,0,117,
1e-06,5,98,103,
7e-07,31,91,100,
2e-07,21,21,102,
1.1e-06,31,72,91,
6e-07,3,73,92,
7e-07,93,66,116,
3e-07,1,26,120,
6e-07,93,65,122,
1e-06,41,127,131,
5e-07,18,56,129,
5e-07,28,55,125,
6e-07,35,73,123,
3e-07,1,20,138,
3e-07,13,26,138,
4e-07,2,38,140,
9e-07,31,113,135,
6e-07,1,68,130,
2e-07,40,1,126,
8e-07,35,83,129,
8e-07,95,95,103,
6e-07,40,64,104,
5e-07,31,57,111,
8e-07,15,91,104,
5e-07,28,52,105,
4e-07,39,44,102,
5e-07,28,50,105,
5e-07,28,51,106,
2e-07,23,24,105,
5e-07,95,57,104,
2e-07,94,24,104,
9e-07,31,103,105,
4e-07,23,34,116,
6e-07,36,59,111,
4e-07,39,40,103,
2e-07,36,18,104,
3e-07,23,29,101,
4e-07,23,33,105,
5e-07,3,68,101,
4e-07,95,35,98,
2e-07,38,3,98,
5e-07,38,66,99,
8e-07,1,83,93,
2e-07,34,1,67,
4e-07,14,43,66,
4e-07,93,38,61,
5e-07,3,55,59,
3e-07,35,20,58,
2e-07,36,15,59,
4e-07,28,39,63,
2e-07,24,9,64,
2e-07,8,14,70,
2e-07,30,21,69,
3e-07,44,36,66,
5e-07,10,55,66,
5e-07,95,46,67,
6e-07,35,70,72,
4e-07,43,32,75,
5e-07,16,57,67,
3e-07,29,23,65,
4e-07,27,38,67,
5e-07,10,56,70,
4e-07,36,49,72,
3e-07,95,28,73,
7e-07,2,70,80,
6e-07,35,62,80,
2e-07,28,8,81,
4e-07,38,39,93,
5e-07,31,43,91,
2e-07,95,13,89,
4e-07,95,39,90,
5e-07,95,46,93,
6e-07,27,58,99,
6e-07,39,66,106,
4e-07,24,41,99,
3e-07,11,25,96,
5e-07,2,53,93,
5e-07,26,61,93,
2e-07,30,14,92,
6e-07,30,79,93,
3e-07,20,22,92,
8e-07,44,95,97,
2e-07,92,15,96,
4e-07,21,35,95,
2e-07,12,6,93,
5e-07,3,49,94,
7e-07,6,91,99,
6e-07,24,76,98,
1e-07,31,6,98,
2e-07,8,8,98,
3e-07,95,29,98,
4e-07,95,46,99,
6e-07,26,66,103,
9e-07,29,103,110,
1e-07,44,3,102,
7e-07,33,86,107,
3e-07,21,20,98,
4e-07,28,47,101,
3e-07,95,25,103,
5e-07,19,40,108,
5e-07,40,50,110,
4e-07,26,38,119,
5e-07,27,53,119,
7e-07,29,88,122,
5e-07,2,58,128,
9e-07,16,111,131,
9e-07,30,120,126,
5e-07,2,53,121,
7e-07,13,84,115,
2e-07,39,13,117,
1e-06,1,143,147,
1.1e-06,39,139,160,
1.3e-06,10,172,177,
7e-07,43,72,177,
4e-07,13,37,177,
1.1e-06,16,141,177,
6e-07,30,67,177,
6e-07,28,61,177,
1e-07,5,0,177,
3e-07,38,12,177,
3e-07,40,28,177,
5e-07,37,42,177,
9e-07,26,118,177,
1.2e-06,23,153,177,
8e-07,8,87,177,
6e-07,35,57,177,
1.1e-06,40,140,177,
1e-06,94,121,177,
6e-07,27,73,177,
6e-07,4,68,177,
9e-07,33,109,177,
1.2e-06,44,156,177,
7e-07,30,76,177,
6e-07,25,45,177,
2e-07,8,16,177,
9e-07,94,96,177,
3e-07,8,34,177,
5e-07,34,51,177,
1.2e-06,19,152,177,
5e-07,31,50,177,
1.2e-06,19,152,177,
