cas operacie,cislo,index prvku,dlzka zoznamu,
3e-07,93,24,28,
4e-07,92,30,35,
3e-07,91,23,32,
1.4e-06,94,37,41,
1e-07,93,4,49,
3e-07,94,22,48,
1e-07,92,11,50,
4e-07,94,46,56,
2e-07,94,12,27,
3e-07,93,12,27,
1e-07,91,7,25,
1e-07,95,1,24,
2e-07,92,8,25,
3e-07,91,28,35,
1e-07,91,5,41,
3e-07,92,19,43,
3e-07,91,31,53,
3e-07,94,33,52,
3e-07,94,35,56,
3e-07,94,35,57,
3e-07,92,27,53,
3e-07,95,20,53,
1e-07,95,0,47,
2e-07,95,1,45,
2e-07,91,7,48,
1e-07,91,1,47,
2e-07,91,15,41,
1e-07,95,1,29,
2e-07,93,15,38,
2e-07,93,6,35,
4e-07,94,26,39,
3e-07,91,34,39,
3e-07,92,31,40,
2e-07,92,13,33,
1e-07,95,6,38,
4e-07,91,29,35,
2e-07,93,10,35,
3e-07,94,20,30,
2e-07,95,23,33,
3e-07,93,18,40,
5e-07,95,39,45,
3e-07,95,19,45,
3e-07,91,31,41,
2e-07,93,15,40,
3e-07,95,33,38,
2e-07,93,16,33,
3e-07,92,20,33,
3e-07,94,24,26,
4e-07,91,26,42,
2e-07,95,17,42,
5e-07,94,40,54,
2e-07,95,2,51,
3e-07,94,26,51,
1e-07,92,4,54,
5e-07,93,46,58,
2e-07,95,8,60,
4e-07,93,38,60,
3e-07,91,31,61,
5e-07,92,30,63,
1e-07,94,0,61,
4e-07,93,31,63,
3e-07,92,24,67,
2e-07,94,8,66,
2e-07,91,8,56,
5e-07,94,48,54,
3e-07,93,27,41,
4e-07,93,38,42,
3e-07,92,15,40,
3e-07,95,29,41,
2e-07,95,23,35,
2e-07,92,8,33,
2e-07,92,2,21,
2e-07,93,18,23,
2e-07,91,14,21,
1e-07,91,0,15,
2e-07,93,7,20,
2e-07,95,15,19,
2e-07,93,9,16,
2e-07,92,7,21,
2e-07,95,9,26,
2e-07,94,4,29,
2e-07,95,12,25,
2e-07,95,15,23,
1e-07,93,5,26,
2e-07,94,9,20,
2e-07,95,4,24,
2e-07,94,0,30,
2e-07,94,9,32,
1e-07,92,2,23,
2e-07,93,18,27,
1e-07,92,2,27,
2e-07,91,23,26,
2e-07,91,14,25,
2e-07,93,8,20,
2e-07,91,13,15,
2e-07,95,9,13,
2e-07,95,2,6,
2e-07,95,0,1,
2e-07,95,0,2,
3e-07,93,3,9,
2e-07,93,4,21,
1e-07,95,3,16,
1e-07,93,0,6,
1e-07,92,0,6,
1e-07,93,1,11,
1e-07,94,5,7,
2e-07,95,3,5,
1e-07,94,0,12,
2e-07,95,2,16,
2e-07,95,14,16,
2e-07,91,8,15,
2e-07,95,9,13,
1e-07,92,3,12,
1e-07,92,1,9,
1e-07,92,2,11,
1e-07,92,1,3,
1e-07,95,2,7,
1e-07,91,0,1,
1e-07,94,0,1,
1e-07,93,0,7,
1e-07,92,0,8,
2e-07,92,3,14,
1e-07,93,4,17,
1e-07,93,8,19,
2e-07,91,17,21,
3e-07,91,23,25,
2e-07,95,8,27,
2e-07,92,7,26,
2e-07,92,15,25,
2e-07,95,13,22,
2e-07,94,3,16,
2e-07,91,13,19,
2e-07,91,9,11,
1e-07,94,1,7,
2e-07,94,0,5,
1e-07,92,0,4,
2e-07,91,0,2,
1e-07,93,0,6,
2e-07,92,2,5,
1e-07,91,0,5,
1e-07,91,0,7,
3e-07,95,13,18,
