cas operacie,vlozene cislo,priorita,velkost frontu,,,,,,,,
3.85E-05,29,397,16,,,,,0.0000514,35,2867,2
0.0002622,26,4976,16,,,,,0.0000458,18,8646,2
5.33E-05,20,1966,16,,,,,0.00005,9,3444,2
8.45E-05,11,5857,16,,,,,0.00005,5,7078,2
3.96E-05,26,2793,16,,,,,0.000076,17,2694,2
3.92E-05,17,1018,17,,,,,0.0000509,23,3152,2
3.92E-05,20,9267,18,,,,,0.0000499,9,8273,2
3.95E-05,26,2211,19,,,,,0.0000543,17,4390,2
3.96E-05,22,7055,19,,,,,0.0000389,6,5889,2
3.96E-05,30,4326,20,,,,,0.0000387,27,1280,2
3.93E-05,26,6075,21,,,,,0.0000386,10,9201,2
3.91E-05,18,8172,19,,,,,0.0000387,7,5508,2
5.15E-05,6,9466,20,,,,,0.0000386,18,7234,2
3.91E-05,35,7779,19,,,,,0.0000385,22,7229,2
3.88E-05,5,5552,20,,,,,0.0000387,35,5513,2
3.88E-05,14,898,19,,,,,0.0000387,20,4722,2
5.62E-05,28,3352,18,,,,,0.0000543,27,3450,2
5.49E-05,25,1375,19,,,,,0.0000474,6,2964,2
5.48E-05,33,9638,20,,,,,0.0000495,27,1619,2
5.20E-05,6,3329,19,,,,,0.0000476,6,1996,2
5.11E-05,26,3932,20,,,,,0.0000499,32,1225,2
5.68E-05,33,5247,20,,,,,0.0000499,21,5199,2
5.12E-05,31,5661,18,,,,,0.0000502,5,948,2
5.11E-05,20,6003,18,,,,,0.0000527,2,3960,2
5.12E-05,5,4070,19,,,,,0.0000508,30,8317,2
5.04E-05,13,2359,20,,,,,0.0000522,24,8154,2
4.90E-05,23,1413,21,,,,,0.0000503,6,9093,2
5.02E-05,3,8203,22,,,,,0.0000499,9,5859,2
5.34E-05,7,3954,19,,,,,0.0000498,2,6086,2
5.17E-05,11,4875,19,,,,,0.00005,23,5871,2
5.70E-05,22,5711,19,,,,,0.0000531,9,4048,2
5.25E-05,24,3578,20,,,,,0.0000496,32,5151,2
5.43E-05,17,9827,21,,,,,0.0000502,2,2501,2
5.65E-05,34,6862,21,,,,,0.00005,10,2416,2
0.0002345,10,144,21,,,,,0.000056,33,545,2
5.33E-05,24,6662,22,,,,,0.0000561,23,2527,2
5.17E-05,31,5076,23,,,,,0.0000459,13,5894,2
5.61E-05,19,8119,24,,,,,0.0000451,26,6332,2
0.0001064,30,570,23,,,,,0.0000485,22,2229,2
4.58E-05,3,1772,24,,,,,0.0000512,30,3845,2
4.99E-05,29,8729,24,,,,,0.0000517,2,6231,2
5.30E-05,16,7228,25,,,,,0.0000498,17,8405,2
0.0004186,24,31,26,,,,,0.0000526,26,4093,2
4.51E-05,26,470,27,,,,,0.000053,19,7399,2
4.28E-05,23,4861,28,,,,,0.0000476,31,2643,2
0.0001143,22,2209,29,,,,,0.0000498,34,6227,2
6.37E-05,26,2344,27,,,,,0.0000561,29,696,2
6.28E-05,13,3698,28,,,,,0.0000502,8,6652,2
5.50E-05,28,8988,26,,,,,0.0000979,28,3792,2
6.40E-05,3,1325,27,,,,,0.0000563,27,2187,2
5.93E-05,24,9635,26,,,,,0.0000543,6,6611,2
5.18E-05,15,6456,26,,,,,0.0000745,33,5386,2
5.62E-05,32,3553,26,,,,,0.0000391,6,6918,2
3.87E-05,7,3261,27,,,,,0.0000388,7,7167,2
3.89E-05,14,4633,28,,,,,0.0000391,18,9986,2
