cas operacie,vybrane cislo,velkost frontu,,,,,,,
0.0002134,2,30,,,,,0.0001591,8,1
0.0014679,20,30,,,,,0.0003241,28,1
0.0002853,21,31,,,,,0.0001811,27,1
0.0007624,9,32,,,,,0.0002157,6,1
0.0002025,6,32,,,,,0.0001316,33,1
0.0002968,16,33,,,,,0.0001134,6,1
0.0002325,1,32,,,,,0.0001134,7,1
0.0002011,26,31,,,,,0.0001121,2,1
0.0002253,20,35,,,,,0.0001533,8,1
0.0002063,15,34,,,,,0.0002418,5,1
0.0002023,8,33,,,,,0.0001526,17,1
0.0002014,33,33,,,,,0.0001494,2,1
0.0002021,24,32,,,,,0.0001136,34,1
0.0004125,24,32,,,,,0.0001127,29,1
0.0002534,17,33,,,,,0.0001127,6,1
0.0004166,16,33,,,,,0.0001138,4,1
0.0002713,22,32,,,,,0.000114,33,1
0.0008074,3,35,,,,,0.0001139,34,1
0.0002608,24,34,,,,,0.0001131,33,1
0.0002625,34,34,,,,,0.0001131,22,1
0.0002596,23,33,,,,,0.0001129,24,1
0.0002029,34,34,,,,,0.0001185,25,1
0.0004331,31,35,,,,,0.0001134,24,1
0.0002487,23,34,,,,,0.0001126,23,1
0.0002027,33,33,,,,,0.0001127,6,1
0.0002018,32,35,,,,,0.0001132,29,1
0.0002589,10,36,,,,,0.0001221,32,1
0.0002154,30,35,,,,,0.0001132,21,1
0.0002018,23,34,,,,,0.0001138,30,1
0.0002016,27,33,,,,,0.0001133,32,1
0.0002014,1,33,,,,,0.0001287,12,1
0.000201,20,34,,,,,0.0001135,12,1
0.0002059,27,33,,,,,0.0001136,22,1
0.0002012,10,35,,,,,0.0001189,17,1
0.0002013,30,35,,,,,0.000113,32,1
0.000205,34,34,,,,,0.0001178,13,1
0.0002007,29,33,,,,,0.0001129,9,1
0.0002006,29,33,,,,,0.0001132,24,1
0.0002007,3,32,,,,,0.0001216,5,1
0.0002006,29,32,,,,,0.0001129,25,1
0.0002009,35,31,,,,,0.0002203,28,1
0.0002015,9,30,,,,,0.0002383,11,1
0.0002058,7,29,,,,,0.000115,22,1
0.0002523,29,28,,,,,0.0001138,12,1
0.0002592,31,29,,,,,0.0001197,31,1
0.0002017,32,29,,,,,0.0001131,13,1
0.0002016,1,28,,,,,0.0001126,13,1
0.0002061,24,27,,,,,0.0001125,1,1
0.000201,34,27,,,,,0.0001418,13,1
0.0002016,26,30,,,,,0.0001132,16,1
0.0003458,2,29,,,,,0.0001604,32,1
0.0002757,4,28,,,,,0.0001412,9,1
0.0002787,34,27,,,,,0.0001536,34,1
0.0002028,34,27,,,,,0.0001461,21,1
0.0002085,5,27,,,,,0.0001471,5,1
0.0002406,22,27,,,,,0.000113,28,1
0.0002097,5,28,,,,,0.0001104,22,1
0.000231,24,27,,,,,0.0002417,35,1
0.0002738,27,26,,,,,0.0001154,11,1
0.0002026,32,25,,,,,0.0001646,27,1
0.0002017,16,24,,,,,0.0001185,11,1
0.0002141,29,23,,,,,0.0001131,5,1
0.0002024,1,22,,,,,0.0001127,32,1
0.0002355,24,21,,,,,0.0001127,14,1
0.0002067,5,20,,,,,0.0001171,14,1
0.0002007,24,19,,,,,0.0001133,34,1
0.0002018,30,19,,,,,0.0001131,34,1
0.0002101,22,18,,,,,0.0001229,1,1
0.0002228,32,18,,,,,0.0001542,33,1
0.0002012,21,17,,,,,0.0001142,25,1
0.0002007,34,17,,,,,0.0001142,15,1
0.0002566,4,18,,,,,0.0001128,1,1
0.0002703,25,19,,,,,0.0001342,18,1
0.0002934,21,18,,,,,0.0001329,18,1
0.0002029,20,17,,,,,0.000157,28,1
0.0002029,6,20,,,,,0.000145,28,1
0.0002028,29,22,,,,,0.0001503,15,1
0.0002575,25,23,,,,,0.0001136,33,1
0.0002022,17,23,,,,,0.0001177,16,1
0.0002027,30,22,,,,,0.0001151,14,1
0.0002033,30,21,,,,,0.0001133,17,1
0.0002027,23,22,,,,,0.0001135,19,1
0.0002169,20,21,,,,,0.0001184,10,1
0.0002015,16,20,,,,,0.0001304,24,1
0.0002011,25,20,,,,,0.0001333,25,1
0.0002018,15,22,,,,,0.0001496,25,1
0.0002011,9,21,,,,,0.0001464,26,1
0.0002057,7,20,,,,,0.0001461,14,1
0.0002018,12,19,,,,,0.0001525,27,1
0.0002033,33,18,,,,,0.00015,20,1
0.0002012,9,17,,,,,0.0001799,12,2
0.0002251,24,16,,,,,0.0002667,14,2
0.0002391,25,15,,,,,0.0001792,28,2
0.0002981,32,15,,,,,0.0002211,19,2
0.0002872,33,15,,,,,0.0001777,17,2
0.0003495,17,14,,,,,0.0001741,18,2
0.000328,5,13,,,,,0.0002109,32,2
0.000274,23,12,,,,,0.0001785,26,2
0.0002644,25,11,,,,,0.0002231,2,2
0.0002533,9,10,,,,,0.0002302,12,2
0.0003019,16,17,,,,,0.0001807,29,2
0.0002851,34,16,,,,,0.000181,22,2
0.0003206,27,15,,,,,0.0001792,8,2
0.0003504,18,15,,,,,0.0001784,30,2
0.0008761,28,14,,,,,0.0001859,33,2
0.0002696,29,17,,,,,0.0001786,26,2
0.0004393,22,17,,,,,0.0001786,19,2
0.0004244,31,16,,,,,0.0001797,3,2
0.0002594,27,15,,,,,0.0001794,4,2
0.0002662,6,18,,,,,0.000258,24,2
0.0002658,2,17,,,,,0.000238,5,2
0.000256,20,16,,,,,0.0001975,15,2
0.0002876,15,17,,,,,0.0001794,13,2
0.0002843,21,16,,,,,0.0001793,27,2
0.0002821,21,15,,,,,0.0002407,26,2
0.0002858,22,16,,,,,0.0001801,17,2
0.0002895,17,18,,,,,0.0002321,9,2
0.0002861,17,18,,,,,0.0001831,31,2
0.0002933,5,17,,,,,0.0001785,11,2
0.0002424,34,19,,,,,0.0002291,33,2
0.0002025,18,19,,,,,0.0003187,19,2
0.0002695,30,18,,,,,0.0002346,3,2
0.000237,2,19,,,,,0.0002326,1,2
0.0002032,17,23,,,,,0.0002332,4,2
0.0002012,17,22,,,,,0.0001834,13,2
0.0002019,9,22,,,,,0.0002137,32,2
0.0002009,1,21,,,,,0.0001803,16,2
0.0002015,32,20,,,,,0.0001793,5,2
0.0002106,21,19,,,,,0.0001794,17,2
0.0002182,8,18,,,,,0.0003776,10,2
0.0002023,35,17,,,,,0.0003322,28,2
0.0002009,17,16,,,,,0.0002618,1,2
0.0002061,6,15,,,,,0.0001865,24,2
0.0002011,6,14,,,,,0.0001792,23,2
0.0002006,10,18,,,,,0.000179,7,2
0.0002069,11,17,,,,,0.0002286,14,2
0.0002295,18,16,,,,,0.0001788,32,2
0.0002558,4,15,,,,,0.0001861,29,2
0.0002603,5,15,,,,,0.00018,28,2
0.0002013,23,15,,,,,0.0001791,18,2
0.0002016,18,14,,,,,0.0001789,25,2
0.0002093,2,14,,,,,0.0001849,32,2
0.0002011,31,13,,,,,0.0001794,12,2
0.0002023,28,14,,,,,0.0001989,10,2
0.0002505,12,14,,,,,0.000179,22,2
0.0002043,12,14,,,,,0.0002337,20,2
0.0002017,16,13,,,,,0.0001791,9,2
0.000202,24,18,,,,,0.0001787,28,2
0.0002058,7,18,,,,,0.0001743,33,2
0.0002025,31,24,,,,,0.0001795,13,2
0.0005092,1,23,,,,,0.000187,17,2
0.0002773,35,29,,,,,0.0001747,9,2
0.0002726,14,28,,,,,0.0001922,29,2
0.0002529,34,27,,,,,0.0001805,26,2
0.0002689,5,26,,,,,0.0002431,21,2
0.0002048,14,26,,,,,0.0002149,7,2
0.0002023,8,26,,,,,0.0002327,28,2
0.0003004,12,26,,,,,0.0002532,31,2
0.0002639,10,25,,,,,0.000297,34,2
0.0002583,23,29,,,,,0.0001788,12,2
0.0002544,15,30,,,,,0.000179,34,2
0.0002694,34,31,,,,,0.0001796,12,2
0.0002672,21,30,,,,,0.0001788,9,2
0.0002686,3,29,,,,,0.0001794,34,2
0.0003049,34,29,,,,,0.0002248,30,2
0.0003437,2,28,,,,,0.0001818,20,2
0.0003338,21,27,,,,,0.0001941,27,2
0.0003187,35,27,,,,,0.0003206,28,2
0.0002198,5,30,,,,,0.0002903,21,2
0.000208,16,29,,,,,0.000251,27,2
0.0002132,32,28,,,,,0.0002784,16,2
0.0002835,2,29,,,,,0.0002579,2,2
0.0002015,1,29,,,,,0.0002335,24,2
0.000202,1,28,,,,,0.0002479,11,2
0.0002003,33,31,,,,,0.0002284,29,2
0.0002013,24,30,,,,,0.0002242,35,2
0.0002013,29,29,,,,,0.0003155,21,2
0.0002175,12,28,,,,,0.0002175,14,2
0.0002025,33,27,,,,,0.0002301,31,2
0.0002783,17,26,,,,,0.0002621,21,2
0.0003044,14,26,,,,,0.0005559,3,2
0.0002228,11,25,,,,,0.0002156,13,2
0.0002269,22,24,,,,,0.0001794,32,2
0.0002076,35,24,,,,,0.0002546,18,2
0.0002021,14,25,,,,,0.0003559,5,2
0.0002011,29,24,,,,,0.0002489,27,2
0.0002049,33,25,,,,,0.0002432,22,2
0.000201,31,25,,,,,0.0002857,17,2
0.0002002,7,25,,,,,0.0002603,28,2
0.0002057,2,24,,,,,0.0002696,32,2
0.0002002,35,24,,,,,0.0003496,12,2
0.0002004,34,23,,,,,0.0003226,8,2
0.0002009,19,22,,,,,0.0001805,29,2
0.0002241,17,22,,,,,0.0001801,34,2
0.0002018,2,22,,,,,0.0002486,18,2
0.0002058,15,23,,,,,0.0002708,14,2
0.000228,10,22,,,,,0.0002547,17,2
0.0002591,16,22,,,,,0.0001791,14,2
0.0002634,1,22,,,,,0.0002459,13,2
0.0003335,7,21,,,,,0.0002321,33,2
0.0002019,23,20,,,,,0.0001792,33,2
0.0002061,8,21,,,,,0.0001796,2,2
0.0002011,21,21,,,,,0.0001797,26,2
0.0002011,20,20,,,,,0.0002455,13,2
0.0002012,32,21,,,,,0.0001811,5,2
0.0002008,27,22,,,,,0.000192,29,2
0.0002007,16,21,,,,,0.0002514,28,2
0.0002263,20,20,,,,,0.0001802,8,2
0.0002003,8,19,,,,,0.0001844,27,2
0.0002013,3,18,,,,,0.0001801,23,2
0.0002056,14,18,,,,,0.0002219,31,2
0.000201,6,17,,,,,0.0002195,29,2
0.0002015,17,16,,,,,0.0002171,11,2
0.0002051,19,17,,,,,0.0002428,6,2
0.0002019,11,17,,,,,0.0002185,1,2
0.00021,24,16,,,,,0.000228,25,2
0.000239,27,15,,,,,0.0002266,26,2
0.0002335,8,15,,,,,0.0002228,5,2
0.000201,10,14,,,,,0.0002197,12,2
