cas operacie,cislo,velkost frontu,,,,,,,
2.91E-05,15,32,,,,,0.0000235,3,1
3.64E-05,15,35,,,,,0.0000237,3,1
3.76E-05,15,31,,,,,0.0000233,3,1
6.49E-05,15,32,,,,,0.0000235,3,1
3.43E-05,15,32,,,,,0.000032,3,1
3.24E-05,15,31,,,,,0.0000346,3,1
3.26E-05,15,32,,,,,0.0000237,3,1
2.36E-05,15,33,,,,,0.0000234,3,1
2.37E-05,15,34,,,,,0.0000234,3,1
3.56E-05,15,33,,,,,0.0000235,3,1
3.01E-05,15,32,,,,,0.0000311,3,1
2.42E-05,15,32,,,,,0.0000236,3,1
2.34E-05,15,32,,,,,0.0000234,3,1
2.33E-05,15,36,,,,,0.0000234,3,1
2.37E-05,15,34,,,,,0.0000231,3,1
2.35E-05,15,32,,,,,0.0000233,3,1
2.34E-05,15,32,,,,,0.0000233,3,1
3.67E-05,15,34,,,,,0.0000233,3,1
2.95E-05,15,33,,,,,0.0000231,3,1
3.19E-05,15,33,,,,,0.0000234,3,1
3.11E-05,15,32,,,,,0.0000334,3,1
2.39E-05,15,34,,,,,0.000038,3,1
2.34E-05,15,35,,,,,0.0000343,3,1
2.36E-05,15,36,,,,,0.0000282,3,1
3.27E-05,15,35,,,,,0.0000299,3,1
2.35E-05,15,33,,,,,0.0000337,3,1
2.34E-05,15,37,,,,,0.0000236,3,1
0.0001925,15,36,,,,,0.0000237,3,1
2.36E-05,15,33,,,,,0.0000236,3,1
2.33E-05,15,34,,,,,0.0000299,3,1
2.32E-05,15,35,,,,,0.0000286,3,1
2.34E-05,15,34,,,,,0.0000235,3,1
2.32E-05,15,35,,,,,0.0000236,3,1
2.32E-05,15,34,,,,,0.0000235,3,1
2.31E-05,15,32,,,,,0.0000234,3,1
2.33E-05,15,32,,,,,0.0000234,3,1
2.31E-05,15,32,,,,,0.0000236,3,1
2.34E-05,15,30,,,,,0.0000238,3,1
2.87E-05,15,28,,,,,0.0000236,3,1
2.91E-05,15,29,,,,,0.0000299,3,1
3.04E-05,15,29,,,,,0.0000311,3,1
2.82E-05,15,29,,,,,0.0000294,3,1
2.91E-05,15,29,,,,,0.0000313,3,1
2.86E-05,15,29,,,,,0.0000288,3,1
2.38E-05,15,29,,,,,0.0000299,3,1
2.33E-05,15,29,,,,,0.0000238,3,1
2.32E-05,15,29,,,,,0.0000235,3,1
3.09E-05,15,29,,,,,0.0000303,3,1
2.38E-05,15,28,,,,,0.0000314,3,1
2.33E-05,15,28,,,,,0.000031,3,1
2.34E-05,15,28,,,,,0.0000241,15,2
2.33E-05,15,28,,,,,0.0000238,15,2
2.34E-05,15,27,,,,,0.0000235,15,2
0.0001505,15,27,,,,,0.0000251,15,2
2.36E-05,15,26,,,,,0.0000245,15,2
2.34E-05,15,23,,,,,0.0000233,15,2
2.35E-05,15,21,,,,,0.0000233,15,2
2.34E-05,15,20,,,,,0.0000287,15,2
2.33E-05,15,20,,,,,0.0000236,15,2
2.35E-05,15,20,,,,,0.0000233,15,2
2.33E-05,15,20,,,,,0.0000235,15,2
2.33E-05,15,19,,,,,0.0000316,15,2
2.32E-05,15,17,,,,,0.0000359,15,2
2.32E-05,15,17,,,,,0.0000305,15,2
2.34E-05,15,17,,,,,0.0000315,15,2
3.44E-05,15,19,,,,,0.0000236,15,2
3.17E-05,15,19,,,,,0.0000231,15,2
3.04E-05,15,18,,,,,0.0000238,15,2
2.34E-05,15,17,,,,,0.0000303,15,2
3.23E-05,15,19,,,,,0.0000418,15,2
2.39E-05,15,19,,,,,0.0000233,15,2
2.37E-05,15,22,,,,,0.0000235,15,2
2.36E-05,15,22,,,,,0.0000285,15,2
