cas operacie,cislo,velkost frontu,,,
6.00E-07,46,24721,,,
6.00E-07,4,24725,,,
6.00E-07,38,24729,,,
6.00E-07,14,24749,,,
7.00E-07,54,24752,,,
6.00E-07,37,24755,,,
6.00E-07,34,24777,,,
6.00E-07,34,24778,,,
8.00E-07,57,24780,,,
7.00E-07,68,24780,,,
7.00E-07,10,24783,,,
6.00E-07,31,24792,,,
6.00E-07,31,24802,,,
6.00E-07,42,24801,,,
6.00E-07,16,24823,,,
6.00E-07,35,24824,,,
6.00E-07,42,24841,,,
6.00E-07,61,24839,,,
6.00E-07,61,24840,,,
6.00E-07,61,24842,,,
6.00E-07,61,24845,,,
6.00E-07,41,24847,,,
6.00E-07,18,24855,,,
6.00E-07,19,24853,,,
6.00E-07,19,24853,,,
6.00E-07,32,24873,,,
6.00E-07,37,24875,,,
6.00E-07,67,24886,,,
6.00E-07,67,24888,,,
6.00E-07,6,24920,,,
6.00E-07,31,24920,,,
6.00E-07,23,24926,,,
6.00E-07,24,24925,,,
6.00E-07,64,24933,,,
6.00E-07,6,24957,,,
6.00E-07,6,24966,,,
6.00E-07,68,24971,,,
8.00E-07,55,24989,,,
6.00E-07,38,24991,,,
6.00E-07,40,24990,,,
6.00E-07,60,25001,,,
6.00E-07,36,25017,,,
6.00E-07,43,25024,,,
6.00E-07,29,25031,,,
7.00E-07,14,25049,,,
6.00E-07,27,25050,,,
6.00E-07,27,25051,,,
6.00E-07,26,25070,,,
6.00E-07,31,25080,,,
6.00E-07,46,25099,,,
6.00E-07,28,25102,,,
5.00E-07,28,25108,,,
6.00E-07,39,25163,,,
6.00E-07,28,25166,,,
6.00E-07,62,25169,,,
6.00E-07,27,25192,,,
6.00E-07,39,25193,,,
6.00E-07,6,25195,,,
6.00E-07,25,25225,,,
6.00E-07,19,25232,,,
6.00E-07,19,25232,,,
6.00E-07,19,25232,,,
7.00E-07,57,25232,,,
6.00E-07,4,25232,,,
7.00E-07,42,25231,,,
7.00E-07,15,25255,,,
6.00E-07,39,25282,,,
6.00E-07,69,25286,,,
6.00E-07,5,25294,,,
7.00E-07,50,25295,,,
6.00E-07,9,25319,,,
6.00E-07,4,25323,,,
6.00E-07,31,25331,,,
6.00E-07,46,25340,,,
6.00E-07,15,25347,,,
6.00E-07,15,25347,,,
6.00E-07,49,25346,,,
6.00E-07,45,25350,,,
6.00E-07,54,25363,,,
6.00E-07,54,25366,,,
6.00E-07,6,25372,,,
6.00E-07,67,25389,,,
6.00E-07,67,25392,,,
6.00E-07,25,25397,,,
6.00E-07,70,25403,,,
6.00E-07,35,25405,,,
6.00E-07,46,25414,,,
6.00E-07,46,25414,,,
6.00E-07,22,25444,,,
6.00E-07,49,25460,,,
6.00E-07,19,25461,,,
6.00E-07,42,25460,,,
7.00E-07,64,25477,,,
6.00E-07,14,25487,,,
6.00E-07,14,25491,,,
7.00E-07,14,25495,,,
6.00E-07,31,25497,,,
6.00E-07,51,25503,,,
6.00E-07,22,25503,,,
6.00E-07,1,25506,,,
6.00E-07,44,25506,,,
7.00E-07,70,25518,,,
5.00E-07,53,25522,,,
6.00E-07,53,25522,,,
6.00E-07,61,25549,,,
6.00E-07,8,25558,,,
5.00E-07,8,25558,,,
6.00E-07,19,25562,,,
7.00E-07,19,25562,,,
6.00E-07,19,25563,,,
6.00E-07,19,25563,,,
6.00E-07,19,25564,,,
6.00E-07,19,25565,,,
6.00E-07,59,25575,,,
6.00E-07,59,25582,,,
6.00E-07,10,25587,,,
6.00E-07,22,25592,,,
6.00E-07,6,25605,,,
6.00E-07,61,25635,,,
6.00E-07,61,25640,,,
6.00E-07,37,25647,,,
6.00E-07,65,25654,,,
6.00E-07,15,25657,,,
6.00E-07,48,25671,,,
6.00E-07,5,25671,,,
6.00E-07,16,25674,,,
6.00E-07,22,25683,,,
6.00E-07,60,25683,,,
7.00E-07,68,25694,,,
6.00E-07,1,25696,,,
6.00E-07,35,25699,,,
6.00E-07,51,25733,,,
6.00E-07,51,25733,,,
6.00E-07,65,25732,,,
6.00E-07,61,25747,,,
6.00E-07,55,25747,,,
5.00E-07,55,25749,,,
6.00E-07,6,25749,,,
6.00E-07,30,25752,,,
6.00E-07,69,25754,,,
6.00E-07,27,25753,,,
6.00E-07,52,25757,,,
6.00E-07,52,25757,,,
7.00E-07,66,25778,,,
6.00E-07,6,25784,,,
6.00E-07,10,25797,,,
6.00E-07,36,25834,,,
6.00E-07,36,25838,,,
6.00E-07,36,25838,,,
5.00E-07,61,25841,,,
6.00E-07,9,25841,,,
6.00E-07,33,25859,,,
6.00E-07,33,25863,,,
6.00E-07,67,25875,,,
6.00E-07,15,25889,,,
6.00E-07,32,25896,,,
6.00E-07,42,25897,,,
9.00E-07,34,25917,,,
7.00E-07,34,25918,,,
8.00E-07,35,25926,,,
