cas operacie,vybrane cislo,velkost frontu,,,
1.30E-06,5,21308,,,
1.30E-06,51,21307,,,
1.30E-06,55,21309,,,
1.30E-06,62,21309,,,
1.30E-06,63,21308,,,
1.40E-06,51,21307,,,
1.30E-06,59,21306,,,
1.30E-06,31,21305,,,
1.30E-06,47,21304,,,
1.40E-06,55,21303,,,
1.30E-06,54,21302,,,
1.30E-06,23,21301,,,
1.30E-06,46,21315,,,
1.30E-06,38,21317,,,
1.30E-06,6,21318,,,
1.30E-06,30,21319,,,
1.30E-06,65,21320,,,
1.30E-06,35,21321,,,
1.30E-06,33,21323,,,
1.20E-06,66,21323,,,
1.30E-06,52,21326,,,
2.90E-06,9,21329,,,
1.40E-06,3,21335,,,
1.40E-06,35,21338,,,
1.40E-06,49,21338,,,
1.40E-06,68,21340,,,
1.40E-06,59,21342,,,
1.40E-06,41,21343,,,
1.30E-06,57,21344,,,
1.40E-06,18,21348,,,
2.50E-06,70,21353,,,
1.60E-06,49,21361,,,
1.40E-06,19,21363,,,
1.40E-06,35,21362,,,
1.30E-06,9,21361,,,
1.30E-06,15,21361,,,
1.30E-06,62,21361,,,
1.40E-06,41,21360,,,
1.30E-06,61,21360,,,
1.30E-06,30,21359,,,
1.30E-06,11,21367,,,
1.30E-06,18,21366,,,
1.30E-06,65,21365,,,
1.30E-06,15,21366,,,
1.20E-06,63,21366,,,
1.30E-06,63,21371,,,
1.30E-06,61,21372,,,
1.30E-06,44,21371,,,
1.30E-06,47,21370,,,
1.30E-06,1,21371,,,
1.40E-06,3,21370,,,
1.40E-06,69,21374,,,
1.30E-06,21,21375,,,
1.40E-06,46,21381,,,
1.30E-06,55,21382,,,
1.30E-06,58,21381,,,
1.30E-06,13,21380,,,
1.30E-06,41,21383,,,
1.30E-06,47,21386,,,
1.30E-06,68,21386,,,
1.30E-06,67,21385,,,
1.30E-06,49,21387,,,
1.30E-06,38,21386,,,
1.30E-06,42,21389,,,
1.30E-06,36,21389,,,
1.30E-06,6,21392,,,
1.30E-06,65,21393,,,
1.30E-06,52,21394,,,
1.30E-06,28,21401,,,
1.30E-06,33,21402,,,
1.30E-06,22,21402,,,
1.30E-06,50,21409,,,
1.30E-06,57,21412,,,
1.30E-06,34,21411,,,
1.30E-06,21,21414,,,
1.30E-06,42,21415,,,
1.30E-06,43,21418,,,
1.30E-06,26,21420,,,
1.30E-06,6,21420,,,
1.40E-06,37,21430,,,
1.30E-06,40,21430,,,
1.30E-06,30,21429,,,
1.30E-06,68,21434,,,
1.30E-06,48,21438,,,
1.30E-06,58,21442,,,
1.30E-06,51,21443,,,
1.30E-06,47,21442,,,
1.30E-06,42,21441,,,
1.40E-06,60,21440,,,
1.40E-06,63,21448,,,
1.30E-06,63,21448,,,
1.40E-06,42,21451,,,
1.30E-06,25,21450,,,
1.30E-06,29,21450,,,
1.30E-06,4,21450,,,
1.30E-06,39,21450,,,
