cas operacie,index prvku,dlzka zoznamu,,,,,,,
0.0001229,0,39,,,,,0.0000917,0,1
0.0005945,0,36,,,,,0.000083,0,1
0.000184,0,36,,,,,0.0000843,0,1
0.0001722,0,38,,,,,0.0000854,0,1
0.0001713,0,37,,,,,0.0000894,0,1
0.0001384,0,44,,,,,0.0001532,0,2
0.0001768,0,50,,,,,0.0001711,0,2
0.000309,0,54,,,,,0.0001676,0,2
0.0001743,0,54,,,,,0.0001867,0,2
0.0006166,0,55,,,,,0.0001722,0,2
9.34E-05,0,54,,,,,0.0000878,0,2
0.0001703,0,53,,,,,0.0001307,0,2
0.0001686,0,53,,,,,0.0001705,0,2
0.0005246,0,53,,,,,0.0001705,0,2
0.0001562,0,52,,,,,0.0000847,0,2
0.0001257,0,51,,,,,0.000085,0,2
0.0001702,0,50,,,,,0.0000862,0,2
0.0001679,0,49,,,,,0.0000901,0,2
0.0001702,0,49,,,,,0.0000929,0,2
0.0001736,0,50,,,,,0.0000854,0,2
0.0001696,0,50,,,,,0.0000835,0,2
9.36E-05,0,53,,,,,0.000086,0,2
0.0001689,0,52,,,,,0.0000838,0,2
0.0001708,0,51,,,,,0.0000839,0,2
0.0001687,0,48,,,,,0.0001272,0,2
9.69E-05,0,48,,,,,0.0000867,0,2
0.0001215,0,43,,,,,0.0000841,0,2
0.0001166,0,42,,,,,0.0000833,0,2
0.0001686,0,42,,,,,0.0000845,0,2
0.000122,0,42,,,,,0.0000838,0,2
0.0001743,0,42,,,,,0.0000847,0,2
0.0001011,0,41,,,,,0.0000855,0,2
0.0001136,0,42,,,,,0.0000909,0,2
0.0001312,0,41,,,,,0.0000859,0,2
0.0001276,0,42,,,,,0.0000836,0,2
0.0002181,0,40,,,,,0.0000836,0,2
0.0003734,0,42,,,,,0.0001654,0,2
0.0001705,0,42,,,,,0.0000921,0,2
0.0001125,0,42,,,,,0.0000837,0,2
0.0001112,0,42,,,,,0.000091,0,2
0.0001309,0,43,,,,,0.0000837,0,2
0.0004667,0,44,,,,,0.0000867,0,2
9.17E-05,0,42,,,,,0.0002812,0,2
0.0001221,0,42,,,,,0.0001132,0,2
0.0001264,0,45,,,,,0.0000849,0,2
0.0001699,0,43,,,,,0.0001134,0,2
0.0001715,0,37,,,,,0.0000847,0,2
0.000123,0,36,,,,,0.000144,0,2
8.83E-05,0,33,,,,,0.0000831,0,2
0.0001712,0,31,,,,,0.0001228,0,2
0.0001556,0,28,,,,,0.0000838,0,2
0.0001527,0,26,,,,,0.000085,0,2
0.0003984,0,28,,,,,0.0000842,0,2
0.0004063,0,28,,,,,0.0000838,0,2
0.0004795,0,27,,,,,0.0002575,0,2
0.0004376,0,25,,,,,0.0000842,0,2
0.0001729,0,23,,,,,0.0000837,0,2
0.000131,0,21,,,,,0.0000914,0,2
0.0001783,0,22,,,,,0.0000862,0,2
0.000173,0,19,,,,,0.000086,0,2
0.0001713,0,19,,,,,0.0000919,0,2
0.0007012,0,17,,,,,0.0000841,0,2
0.0009553,0,16,,,,,0.0000836,0,2
0.0011305,0,15,,,,,0.000084,0,2
0.0001609,0,13,,,,,0.0001028,0,2
0.0001437,0,14,,,,,0.0001095,0,2
0.0006494,0,15,,,,,0.0000843,0,2
0.0001255,0,16,,,,,0.0000844,0,2
0.0005228,0,14,,,,,0.0000858,0,2
0.0001917,0,23,,,,,0.0000841,0,2
0.0002051,0,23,,,,,0.00009,0,2
0.0001471,0,27,,,,,0.0000862,0,2
0.0001349,0,25,,,,,0.0000834,0,2
0.0001111,0,25,,,,,0.0000853,0,2
0.0001194,0,28,,,,,0.0001103,0,2
0.0001221,0,27,,,,,0.0001232,0,2
0.0002147,0,24,,,,,0.000163,0,2
0.0001102,0,23,,,,,0.0000835,0,2
0.0006768,0,20,,,,,0.0000836,0,2
0.0001705,0,22,,,,,0.000084,0,2
0.0001706,0,19,,,,,0.000085,0,2
0.0001726,0,18,,,,,0.0000839,0,2
0.0001219,0,18,,,,,0.0001738,0,2
0.0001721,0,23,,,,,0.0000833,0,2
0.0002044,0,22,,,,,0.0000885,0,2
0.0001738,0,23,,,,,0.0000865,0,2
0.0001705,0,23,,,,,0.0000854,0,2
0.0001699,0,23,,,,,0.0000846,0,2
9.30E-05,0,21,,,,,0.0000839,0,2
9.14E-05,0,20,,,,,0.000084,0,2
8.85E-05,0,19,,,,,0.0000836,0,2
0.0001704,0,19,,,,,0.0000921,0,2
0.0001133,0,20,,,,,0.0000852,0,2
0.0001125,0,20,,,,,0.0000856,0,2
0.0001318,0,18,,,,,0.0000891,0,2
0.0001298,0,19,,,,,0.0000845,0,2
0.0001286,0,19,,,,,0.0000919,0,2
0.0001753,0,22,,,,,0.0000844,0,2
0.0001706,0,24,,,,,0.0000856,0,2
8.69E-05,0,25,,,,,0.0000837,0,2
0.0001709,0,23,,,,,0.0000851,0,2
8.44E-05,0,22,,,,,0.0001225,0,2
0.0001316,0,22,,,,,0.0000857,0,2
9.78E-05,0,22,,,,,0.0000843,0,2
8.42E-05,0,21,,,,,0.0000838,0,2
9.12E-05,0,21,,,,,0.0000928,0,2
8.39E-05,0,21,,,,,0.0000842,0,2
8.41E-05,0,19,,,,,0.0001839,0,2
8.41E-05,0,19,,,,,0.0000837,0,2
8.42E-05,0,28,,,,,0.0000842,0,2
8.46E-05,0,29,,,,,0.0000837,0,2
8.38E-05,0,28,,,,,0.0001269,0,2
9.11E-05,0,25,,,,,0.0000841,0,2
0.0001173,0,23,,,,,0.0000836,0,2
0.0001145,0,22,,,,,0.0000837,0,2
8.94E-05,0,21,,,,,0.0000838,0,2
8.43E-05,0,23,,,,,0.000132,0,2
0.0006502,0,24,,,,,0.0000932,0,2
8.90E-05,0,24,,,,,0.0000839,0,2
8.82E-05,0,23,,,,,0.0001651,0,2
8.36E-05,0,22,,,,,0.0000857,0,2
8.58E-05,0,21,,,,,0.0000838,0,2
0.0001154,0,18,,,,,0.0000833,0,2
8.61E-05,0,17,,,,,0.0000845,0,2
0.0001185,0,18,,,,,0.0000837,0,2
8.77E-05,0,17,,,,,0.0000847,0,2
9.08E-05,0,19,,,,,0.0000848,0,2
8.39E-05,0,18,,,,,0.000084,0,2
8.47E-05,0,17,,,,,0.0000839,0,2
8.78E-05,0,17,,,,,0.0000842,0,2
8.57E-05,0,14,,,,,0.0000837,0,2
9.35E-05,0,14,,,,,0.0000836,0,2
8.36E-05,0,13,,,,,0.0000843,0,2
8.43E-05,0,18,,,,,0.0000882,0,2
8.42E-05,0,18,,,,,0.0000862,0,2
8.45E-05,0,17,,,,,0.0000838,0,2
0.0001956,0,18,,,,,0.0001071,0,2
0.0001062,0,21,,,,,0.0000855,0,2
0.0001339,0,22,,,,,0.0000851,0,2
0.0001507,0,21,,,,,0.000099,0,2
0.0001308,0,21,,,,,0.0000846,0,2
0.0001165,0,24,,,,,0.0000839,0,2
0.0001951,0,24,,,,,0.0000907,0,2
0.0001269,0,23,,,,,0.0000836,0,2
0.0001253,0,22,,,,,0.0001401,0,2
0.0001275,0,20,,,,,0.000084,0,2
0.000125,0,20,,,,,0.0000839,0,2
0.0001268,0,20,,,,,0.0000838,0,2
0.0001398,0,19,,,,,0.0000843,0,2
0.0002247,0,18,,,,,0.0001216,0,3
0.000182,0,16,,,,,0.0001733,0,3
8.50E-05,0,17,,,,,0.0001699,0,3
8.45E-05,0,18,,,,,0.0001444,0,3
8.42E-05,0,20,,,,,0.000171,0,3
8.48E-05,0,19,,,,,0.0009718,0,3
0.0001103,0,22,,,,,0.0001219,0,3
0.0001192,0,20,,,,,0.0001709,0,3
9.18E-05,0,19,,,,,0.0001223,0,3
