cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,
4.06E-05,56,0,4,,
4.41E-05,16,2,4,,
3.95E-05,4,3,5,,
2.83E-05,82,1,5,,
3.95E-05,7,2,5,,
2.81E-05,10,0,7,,
2.78E-05,3,5,7,,
2.87E-05,82,1,7,,
2.84E-05,4,5,8,,
2.87E-05,41,1,8,,
3.20E-05,11,6,8,,
2.83E-05,4,4,10,,
0.0004038,80,1,8,,
4.34E-05,80,1,8,,
5.31E-05,80,0,6,,
0.0001078,66,3,6,,
2.83E-05,19,3,5,,
4.10E-05,19,3,5,,
0.0001023,19,3,5,,
3.99E-05,79,1,5,,
2.95E-05,19,0,1,,
3.24E-05,15,0,1,,
3.30E-05,15,1,4,,
0.0005384,19,1,3,,
2.93E-05,9,0,3,,
2.79E-05,9,0,3,,
3.65E-05,78,0,1,,
2.99E-05,60,0,1,,
3.16E-05,60,0,1,,
3.03E-05,59,0,1,,
2.84E-05,1,0,3,,
3.82E-05,87,1,3,,
0.0003416,87,2,4,,
2.82E-05,73,0,1,,
3.06E-05,14,0,1,,
4.32E-05,72,0,2,,
4.07E-05,4,0,2,,
5.41E-05,45,0,3,,
3.29E-05,55,0,3,,
2.89E-05,55,0,3,,
3.70E-05,46,0,4,,
3.41E-05,13,2,4,,
5.37E-05,78,1,4,,
2.89E-05,78,2,5,,
3.31E-05,13,4,6,,
2.87E-05,73,0,5,,
2.82E-05,47,1,4,,
2.81E-05,47,1,5,,
2.82E-05,1,3,6,,
3.81E-05,56,1,7,,
4.08E-05,15,4,7,,
2.77E-05,64,3,9,,
2.79E-05,9,0,9,,
2.84E-05,62,1,11,,
3.55E-05,60,7,12,,
3.74E-05,1,4,15,,
6.39E-05,4,6,15,,
3.18E-05,19,10,16,,
2.83E-05,81,5,17,,
4.16E-05,77,8,16,,
4.48E-05,61,3,15,,
3.96E-05,1,2,15,,
0.0001133,77,10,14,,
4.07E-05,20,0,14,,
3.88E-05,20,0,14,,
4.12E-05,66,9,14,,
0.0002794,17,7,15,,
3.23E-05,17,7,15,,
4.17E-05,7,13,15,,
3.88E-05,7,13,15,,
2.82E-05,16,4,15,,
2.80E-05,57,0,14,,
4.21E-05,1,1,9,,
2.92E-05,66,6,9,,
7.16E-05,66,7,11,,
3.88E-05,1,2,11,,
4.01E-05,66,5,9,,
0.0004231,82,3,10,,
4.89E-05,66,6,11,,
3.88E-05,83,1,12,,
0.0004039,6,9,12,,
3.31E-05,77,7,12,,
0.0022084,46,5,11,,
5.19E-05,1,2,10,,
3.89E-05,3,3,10,,
3.88E-05,1,2,9,,
3.74E-05,8,0,11,,
4.09E-05,20,0,12,,
3.63E-05,8,1,14,,
3.83E-05,82,7,14,,
3.37E-05,20,1,14,,
3.01E-05,84,6,15,,
5.58E-05,2,1,16,,
4.05E-05,20,2,16,,
4.30E-05,55,3,16,,
0.0002043,82,7,13,,
5.32E-05,2,11,14,,
6.11E-05,2,13,16,,
3.89E-05,50,13,18,,
3.68E-05,82,6,15,,
3.21E-05,87,13,15,,
3.39E-05,14,0,16,,
2.90E-05,41,8,19,,
2.79E-05,58,10,19,,
3.15E-05,72,12,18,,
2.84E-05,64,16,18,,
2.82E-05,14,1,18,,
3.67E-05,11,0,17,,
3.20E-05,14,1,17,,
2.65E-05,45,3,17,,
2.85E-05,11,0,18,,
3.99E-05,58,9,19,,
3.88E-05,6,17,19,,
4.07E-05,55,4,16,,
4.09E-05,14,0,14,,
3.90E-05,70,5,14,,
4.47E-05,58,6,14,,
3.90E-05,55,4,15,,
4.16E-05,67,7,15,,
3.83E-05,6,13,15,,
2.83E-05,70,5,13,,
2.77E-05,65,3,13,,
2.79E-05,2,10,13,,
3.94E-05,50,1,12,,
3.74E-05,14,2,14,,
4.03E-05,57,10,13,,
2.83E-05,9,5,14,,
3.09E-05,57,11,13,,
2.81E-05,55,6,13,,
2.84E-05,45,4,14,,
2.82E-05,87,10,14,,
4.24E-05,58,8,13,,
4.08E-05,57,11,13,,
2.80E-05,58,7,12,,
2.78E-05,58,7,12,,
2.77E-05,47,5,12,,
2.84E-05,72,6,11,,
3.21E-05,15,5,14,,
2.80E-05,51,2,14,,
2.79E-05,2,1,14,,
4.08E-05,72,8,14,,
2.99E-05,58,9,14,,
2.98E-05,2,2,16,,
3.13E-05,13,4,16,,
2.77E-05,9,7,16,,
2.87E-05,17,0,15,,
3.31E-05,17,0,15,,
2.69E-05,70,8,17,,
3.26E-05,51,4,18,,
2.83E-05,73,17,19,,
2.82E-05,2,3,19,,
2.77E-05,70,8,19,,
3.21E-05,89,14,18,,
2.82E-05,51,2,15,,
2.86E-05,3,2,14,,
2.81E-05,3,2,13,,
2.82E-05,71,7,13,,
3.25E-05,51,2,14,,
2.82E-05,58,11,14,,
2.78E-05,74,10,14,,
3.99E-05,74,10,14,,
2.82E-05,51,2,14,,
3.34E-05,53,5,15,,
4.18E-05,51,3,15,,
