cas operacie,index prvku,dlzka zoznamu,,,,,,
5.57E-05,34,34,,,,0.0000246,1,1
3.73E-05,33,33,,,,0.0000253,1,1
3.76E-05,40,40,,,,0.0000247,1,1
0.0001066,40,40,,,,0.0000248,1,1
4.11E-05,39,39,,,,0.0000246,1,1
9.46E-05,37,37,,,,0.0000245,1,1
3.86E-05,37,37,,,,0.0000279,1,1
4.38E-05,37,37,,,,0.0000249,1,1
0.0004134,35,35,,,,0.0000245,1,1
4.29E-05,34,34,,,,0.0000269,1,1
4.17E-05,32,32,,,,0.0000249,1,1
3.55E-05,34,34,,,,0.0000246,1,1
5.55E-05,34,34,,,,0.0000246,1,1
3.35E-05,33,33,,,,0.0000248,1,1
2.87E-05,32,32,,,,0.0000248,1,1
3.18E-05,33,33,,,,0.0000247,1,1
2.91E-05,35,35,,,,0.0000285,2,2
2.95E-05,35,35,,,,0.0000333,2,2
4.19E-05,38,38,,,,0.00003,2,2
2.89E-05,38,38,,,,0.0000286,2,2
2.86E-05,39,39,,,,0.0000286,2,2
3.87E-05,40,40,,,,0.0001012,2,2
3.57E-05,39,39,,,,0.0000285,2,2
3.97E-05,41,41,,,,0.0000246,2,2
4.03E-05,43,43,,,,0.0000267,2,2
4.80E-05,35,35,,,,0.0000247,2,2
3.84E-05,37,37,,,,0.0000415,2,2
2.97E-05,41,41,,,,0.0000259,2,2
3.08E-05,43,43,,,,0.0000258,2,2
0.0001457,52,52,,,,0.0000257,2,2
3.19E-05,51,51,,,,0.0000385,2,2
2.83E-05,55,55,,,,0.0000252,2,2
2.84E-05,56,56,,,,0.000032,2,2
2.86E-05,55,55,,,,0.000026,2,2
2.88E-05,53,53,,,,0.0000245,2,2
2.82E-05,52,52,,,,0.0000411,2,2
3.32E-05,53,53,,,,0.0000251,2,2
3.06E-05,54,54,,,,0.0000248,2,2
3.13E-05,50,50,,,,0.0000248,2,2
3.21E-05,48,48,,,,0.0000299,2,2
2.79E-05,51,51,,,,0.0000248,2,2
3.22E-05,52,52,,,,0.0000247,2,2
3.69E-05,52,52,,,,0.0000247,2,2
3.12E-05,53,53,,,,0.0000245,2,2
2.86E-05,52,52,,,,0.0000374,2,2
2.81E-05,50,50,,,,0.0000246,2,2
2.82E-05,47,47,,,,0.0000248,2,2
2.90E-05,48,48,,,,0.0000247,2,2
4.24E-05,45,45,,,,0.0000258,2,2
3.00E-05,44,44,,,,0.0000247,2,2
4.07E-05,40,40,,,,0.000028,2,2
3.92E-05,40,40,,,,0.0000248,2,2
4.14E-05,42,42,,,,0.0000269,2,2
0.0006502,41,41,,,,0.0000249,2,2
0.0001153,43,43,,,,0.0000248,2,2
5.19E-05,41,41,,,,0.0000251,2,2
0.000197,40,40,,,,0.0000247,2,2
3.18E-05,40,40,,,,0.0000253,2,2
4.08E-05,43,43,,,,0.0000352,2,2
3.71E-05,41,41,,,,0.0000275,2,2
2.91E-05,43,43,,,,0.0000249,2,2
3.07E-05,42,42,,,,0.0000245,2,2
