cas operacie,cislo,index prvku,dlzka zoznamu,,
0.0000395,41,2,4,,
0.000038,67,2,4,,
0.0000423,64,0,4,,
0.0000748,78,2,4,,
0.0000415,73,1,5,,
0.0000439,56,0,2,,
0.0000436,84,2,4,,
0.0000416,82,1,4,,
0.0000327,87,2,5,,
0.0000323,87,5,7,,
0.0000318,41,0,7,,
0.0000324,80,3,8,,
0.0000284,85,1,8,,
0.0000318,85,2,11,,
0.0000386,82,4,7,,
0.0000428,65,2,6,,
0.0002005,55,3,6,,
0.0000574,66,3,6,,
0.0000298,61,2,5,,
0.000264,79,1,5,,
0.0000296,82,1,4,,
0.000029,89,0,2,,
0.0000283,71,0,2,,
0.0000321,54,0,3,,
0.0000426,48,0,3,,
0.0001162,78,1,4,,
0.0000286,64,0,2,,
0.0000429,60,0,1,,
0.0000411,61,0,1,,
0.0000395,59,0,1,,
0.0000419,87,0,2,,
0.0000284,55,0,4,,
0.0000311,78,1,4,,
0.0000374,60,1,3,,
0.0001013,48,0,2,,
0.0000284,47,0,1,,
0.0000477,82,0,1,,
0.0001057,69,0,1,,
0.0000318,73,0,1,,
0.0000326,89,0,1,,
0.0000304,42,0,1,,
0.0000537,73,0,1,,
0.0000419,65,0,1,,
0.00003,48,0,1,,
0.0000296,88,0,1,,
0.0000289,72,0,1,,
0.0000398,45,0,2,,
0.0000329,83,0,3,,
0.0000286,69,2,4,,
0.0000418,50,1,3,,
0.0003116,70,1,3,,
0.0000319,55,0,3,,
0.0000285,78,1,3,,
0.0000284,46,0,3,,
0.0000351,87,0,4,,
0.000042,58,1,5,,
0.0000283,48,1,5,,
0.0000283,82,0,5,,
0.0000285,47,2,6,,
0.0000374,73,0,5,,
0.0000364,84,2,5,,
0.0000289,81,0,4,,
0.0000404,42,0,4,,
0.0000318,68,4,6,,
0.0000285,64,2,6,,
0.0000311,56,1,7,,
0.0000289,82,2,9,,
0.0000325,62,1,10,,
0.0000306,81,5,11,,
0.0000282,60,8,13,,
0.0000324,74,2,13,,
0.0000288,41,2,12,,
0.0000284,77,11,13,,
0.0000284,82,0,15,,
0.0000549,52,2,18,,
0.0000316,66,13,15,,
0.0000336,61,5,15,,
0.0000314,89,11,15,,
0.0000298,48,1,15,,
0.0000325,50,1,14,,
0.0000289,77,12,15,,
0.0000399,74,7,15,,
0.0001022,85,5,13,,
0.0000289,57,0,14,,
0.0000285,70,11,14,,
0.0000285,55,5,15,,
0.0000283,65,3,14,,
0.0000411,81,1,13,,
0.0000379,87,3,9,,
0.0001015,66,5,9,,
0.0000371,46,5,10,,
0.0000291,49,0,10,,
0.000039,65,7,11,,
0.0000436,82,10,12,,
0.0000386,61,4,9,,
0.0003818,53,0,9,,
0.00011,42,0,9,,
0.0001064,83,1,9,,
0.0000493,82,2,9,,
0.0000439,43,8,11,,
0.0001118,47,1,12,,
0.00003,87,6,11,,
0.0000782,82,5,11,,
0.000241,46,5,10,,
0.00005,41,0,9,,
0.0000373,73,2,10,,
0.0001056,56,12,14,,
0.0000353,84,6,14,,
0.0000284,58,5,15,,
0.0000397,66,13,15,,
0.0001142,79,8,15,,
0.0000431,55,2,15,,
0.0000347,50,9,16,,
0.0000711,90,13,16,,
0.0001507,62,6,13,,
0.0000547,82,5,13,,
0.0001023,45,1,13,,
0.0000417,76,8,14,,
0.0000388,88,7,15,,
