cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,,
1.80E-05,85,7,11,,,
1.75E-05,26,0,5,,,
1.76E-05,4,0,1,,,
1.79E-05,73,2,4,,,
0.0001235,86,0,4,,,
1.80E-05,34,5,7,,,
1.81E-05,17,5,10,,,
1.84E-05,9,10,12,,,
1.90E-05,24,6,10,,,
1.78E-05,8,3,10,,,
2.01E-05,5,1,10,,,
1.79E-05,7,1,12,,,
1.79E-05,6,5,11,,,
1.78E-05,84,8,11,,,
1.79E-05,6,9,13,,,
1.84E-05,84,12,15,,,
1.82E-05,90,3,15,,,
1.79E-05,3,6,15,,,
1.82E-05,3,10,13,,,
1.80E-05,3,4,12,,,
1.81E-05,16,5,11,,,
6.99E-05,79,8,11,,,
1.82E-05,5,6,9,,,
1.79E-05,83,2,10,,,
1.82E-05,84,14,18,,,
1.82E-05,25,15,17,,,
1.80E-05,74,11,17,,,
1.79E-05,75,3,12,,,
1.81E-05,3,2,8,,,
1.77E-05,28,2,4,,,
1.75E-05,78,0,2,,,
1.87E-05,4,0,1,,,
2.37E-05,9,0,1,,,
1.77E-05,72,1,3,,,
1.80E-05,13,1,6,,,
1.81E-05,34,4,9,,,
1.89E-05,31,4,8,,,
1.86E-05,35,0,1,,,
1.88E-05,35,0,1,,,
2.54E-05,34,0,2,,,
2.17E-05,5,0,1,,,
1.82E-05,5,0,1,,,
1.78E-05,11,1,3,,,
1.78E-05,20,0,3,,,
1.78E-05,17,0,2,,,
1.79E-05,17,1,3,,,
2.82E-05,14,2,6,,,
2.49E-05,13,1,6,,,
2.78E-05,13,0,5,,,
2.74E-05,79,2,6,,,
3.13E-05,15,6,10,,,
2.27E-05,16,4,7,,,
1.81E-05,20,2,7,,,
1.82E-05,78,4,8,,,
1.79E-05,77,0,6,,,
3.73E-05,32,0,1,,,
2.70E-05,72,0,2,,,
1.82E-05,11,0,1,,,
2.31E-05,11,0,2,,,
1.90E-05,3,0,2,,,
1.78E-05,3,0,2,,,
1.78E-05,27,0,2,,,
1.80E-05,27,0,4,,,
1.81E-05,8,0,1,,,
1.77E-05,12,2,4,,,
1.77E-05,76,0,4,,,
1.81E-05,12,1,3,,,
1.81E-05,12,1,3,,,
2.27E-05,16,0,1,,,
1.78E-05,81,0,2,,,
1.77E-05,8,0,2,,,
1.81E-05,9,4,7,,,
1.97E-05,9,0,1,,,
1.93E-05,14,0,2,,,
1.81E-05,28,2,4,,,
1.76E-05,14,1,6,,,
2.48E-05,86,1,6,,,
1.77E-05,85,0,3,,,
1.80E-05,27,1,4,,,
2.14E-05,27,2,4,,,
1.76E-05,1,1,6,,,
2.54E-05,87,0,4,,,
1.77E-05,85,2,6,,,
1.81E-05,85,2,5,,,
1.80E-05,85,2,7,,,
1.79E-05,88,4,8,,,
1.76E-05,12,5,7,,,
2.84E-05,33,5,8,,,
1.81E-05,71,2,6,,,
1.80E-05,71,2,6,,,
1.77E-05,29,1,6,,,
1.79E-05,14,2,6,,,
1.77E-05,31,0,8,,,
1.78E-05,14,3,8,,,
2.36E-05,31,0,6,,,
2.89E-05,85,0,4,,,
2.68E-05,31,0,3,,,
1.80E-05,10,0,1,,,
1.76E-05,78,0,1,,,
2.68E-05,21,0,2,,,
1.79E-05,21,0,2,,,
1.80E-05,21,0,2,,,
2.47E-05,29,2,6,,,
1.80E-05,5,5,7,,,
1.77E-05,31,1,6,,,
2.29E-05,29,4,6,,,
3.07E-05,71,3,5,,,
1.83E-05,31,1,8,,,
1.82E-05,12,6,9,,,
1.80E-05,76,3,7,,,
1.78E-05,29,3,5,,,
1.78E-05,28,0,5,,,
1.82E-05,74,0,4,,,
1.77E-05,79,1,3,,,
2.24E-05,10,0,1,,,
1.83E-05,30,0,1,,,
1.82E-05,31,0,1,,,
2.34E-05,27,0,3,,,
2.26E-05,5,1,3,,,
1.78E-05,5,3,5,,,
2.17E-05,2,2,5,,,
1.81E-05,6,0,6,,,
1.82E-05,30,4,6,,,
2.24E-05,30,6,8,,,
2.06E-05,84,2,7,,,
2.77E-05,85,1,8,,,
1.79E-05,73,0,2,,,
1.82E-05,78,0,3,,,
1.80E-05,10,0,6,,,
1.97E-05,13,7,9,,,
2.92E-05,13,6,8,,,
2.27E-05,4,0,1,,,
1.80E-05,15,0,2,,,
1.81E-05,15,1,4,,,
2.45E-05,14,0,2,,,
1.78E-05,33,1,3,,,
3.01E-05,33,0,2,,,
1.84E-05,9,0,4,,,
9.20E-05,20,0,1,,,
2.21E-05,26,0,2,,,
1.70E-05,1,0,2,,,
1.70E-05,8,3,8,,,
1.71E-05,8,1,5,,,
2.52E-05,7,2,5,,,
1.82E-05,7,2,6,,,
1.70E-05,5,2,4,,,
1.69E-05,7,0,4,,,
1.68E-05,7,0,4,,,
1.79E-05,5,0,1,,,
1.74E-05,10,0,1,,,
2.12E-05,26,0,2,,,
1.74E-05,26,0,2,,,
1.74E-05,26,0,2,,,
2.06E-05,9,0,1,,,
1.72E-05,21,0,3,,,
1.69E-05,21,0,2,,,
1.79E-05,72,8,11,,,
1.80E-05,10,5,9,,,
1.75E-05,72,5,7,,,
1.70E-05,9,2,14,,,
1.85E-05,9,2,14,,,
1.69E-05,82,5,13,,,
1.73E-05,9,0,14,,,
1.70E-05,83,9,14,,,
1.72E-05,86,6,16,,,
1.74E-05,82,8,17,,,
1.71E-05,33,0,21,,,
1.70E-05,12,14,21,,,
