cas operacie,cislo,index prvku,dlzka zoznamu,,,
1.81E-05,84,0,5,,,
1.83E-05,71,0,2,,,
1.82E-05,90,0,2,,,
1.80E-05,85,3,5,,,
1.80E-05,77,1,5,,,
1.80E-05,84,1,5,,,
1.80E-05,81,0,2,,,
1.81E-05,75,0,1,,,
2.08E-05,84,0,1,,,
2.98E-05,88,0,1,,,
2.05E-05,90,0,1,,,
2.83E-05,83,0,1,,,
2.54E-05,89,0,1,,,
2.10E-05,74,0,1,,,
2.34E-05,71,1,6,,,
1.83E-05,89,6,10,,,
1.86E-05,85,5,10,,,
2.89E-05,72,4,8,,,
1.86E-05,81,2,6,,,
1.84E-05,72,0,2,,,
1.84E-05,73,0,1,,,
1.84E-05,89,0,4,,,
1.80E-05,86,0,4,,,
1.82E-05,71,5,10,,,
1.94E-05,80,6,11,,,
1.82E-05,71,6,8,,,
1.81E-05,90,2,10,,,
1.82E-05,74,10,12,,,
2.16E-05,84,7,10,,,
2.10E-05,81,5,16,,,
1.82E-05,84,3,18,,,
1.83E-05,87,3,17,,,
1.84E-05,79,8,11,,,
1.82E-05,83,2,10,,,
1.88E-05,84,10,12,,,
1.99E-05,74,9,14,,,
1.93E-05,77,4,14,,,
1.85E-05,75,2,18,,,
2.18E-05,84,12,18,,,
2.30E-05,78,2,15,,,
1.82E-05,75,6,16,,,
1.82E-05,80,12,16,,,
2.83E-05,89,4,16,,,
1.82E-05,88,1,6,,,
1.83E-05,90,3,6,,,
1.81E-05,78,0,2,,,
1.81E-05,90,0,1,,,
2.37E-05,78,0,1,,,
2.13E-05,83,0,1,,,
1.85E-05,72,2,4,,,
1.80E-05,80,0,6,,,
1.81E-05,72,2,5,,,
1.82E-05,83,2,9,,,
3.42E-05,88,7,9,,,
1.84E-05,85,2,7,,,
1.82E-05,84,3,6,,,
1.82E-05,87,0,1,,,
1.80E-05,84,0,2,,,
2.73E-05,80,0,1,,,
1.81E-05,89,0,2,,,
1.84E-05,71,0,1,,,
1.89E-05,77,0,4,,,
1.84E-05,86,3,5,,,
2.44E-05,86,0,6,,,
2.21E-05,83,4,8,,,
2.97E-05,79,4,6,,,
3.55E-05,82,1,5,,,
2.91E-05,80,1,8,,,
2.28E-05,73,3,10,,,
2.58E-05,75,0,11,,,
2.29E-05,78,6,9,,,
2.34E-05,72,0,7,,,
2.10E-05,74,0,8,,,
1.78E-05,77,0,5,,,
1.84E-05,75,4,8,,,
2.44E-05,72,0,1,,,
1.99E-05,85,0,1,,,
1.85E-05,73,0,1,,,
1.81E-05,83,0,2,,,
1.83E-05,75,0,3,,,
1.83E-05,75,1,3,,,
1.81E-05,81,0,3,,,
1.83E-05,77,0,2,,,
2.54E-05,88,1,3,,,
1.84E-05,89,2,5,,,
1.82E-05,88,3,5,,,
5.33E-05,85,0,2,,,
1.83E-05,75,1,3,,,
2.22E-05,78,0,2,,,
1.82E-05,75,1,4,,,
1.87E-05,79,0,1,,,
1.83E-05,81,1,3,,,
1.83E-05,76,0,4,,,
2.03E-05,74,0,2,,,
1.80E-05,81,0,2,,,
1.82E-05,89,0,4,,,
2.17E-05,86,0,4,,,
1.82E-05,85,1,3,,,
2.88E-05,74,0,3,,,
2.93E-05,82,0,4,,,
9.49E-05,79,1,4,,,
1.84E-05,88,0,1,,,
1.80E-05,87,0,4,,,
2.21E-05,74,0,5,,,
1.91E-05,85,3,8,,,
1.82E-05,84,6,8,,,
1.83E-05,88,3,6,,,
1.80E-05,75,1,7,,,
2.40E-05,71,0,7,,,
1.82E-05,89,3,6,,,
1.80E-05,81,5,7,,,
2.40E-05,79,0,6,,,
1.89E-05,85,2,7,,,
2.33E-05,89,1,3,,,
1.82E-05,89,0,1,,,
1.83E-05,78,0,1,,,
1.84E-05,76,2,4,,,
1.85E-05,89,2,4,,,
1.80E-05,73,1,7,,,
2.55E-05,71,4,6,,,
2.65E-05,76,0,5,,,
1.82E-05,80,7,10,,,
1.81E-05,90,1,5,,,
2.33E-05,73,2,5,,,
2.31E-05,85,0,6,,,
1.92E-05,87,0,5,,,
1.83E-05,90,0,5,,,
1.85E-05,85,2,5,,,
1.81E-05,74,1,6,,,
1.81E-05,79,1,3,,,
1.81E-05,82,1,3,,,
1.82E-05,78,0,2,,,
1.83E-05,84,0,2,,,
1.81E-05,84,1,5,,,
1.83E-05,75,2,5,,,
1.84E-05,85,0,4,,,
2.69E-05,85,0,7,,,
1.83E-05,81,3,5,,,
1.82E-05,76,0,2,,,
1.83E-05,73,0,3,,,
1.99E-05,75,1,3,,,
1.98E-05,77,2,4,,,
2.56E-05,74,2,4,,,
1.89E-05,76,2,4,,,
1.85E-05,78,1,4,,,
1.82E-05,88,3,5,,,
1.82E-05,87,3,5,,,
1.84E-05,84,0,4,,,
1.87E-05,89,1,6,,,
2.81E-05,79,3,8,,,
1.83E-05,82,3,5,,,
2.64E-05,80,0,1,,,
2.11E-05,73,0,1,,,
1.84E-05,74,0,1,,,
1.83E-05,73,0,1,,,
2.21E-05,79,0,1,,,
1.84E-05,83,1,3,,,
1.80E-05,85,1,3,,,
1.72E-05,88,0,1,,,
1.72E-05,72,0,5,,,
1.92E-05,87,3,5,,,
1.84E-05,74,0,1,,,
1.71E-05,79,0,2,,,
1.71E-05,88,0,2,,,
1.73E-05,86,0,2,,,
