cas operacie,index prvku,dlzka zoznamu,,
1.01E-05,103,103,,
1.02E-05,106,106,,
1.71E-05,102,102,,
1.04E-05,101,101,,
1.04E-05,100,100,,
1.59E-05,99,99,,
1.07E-05,99,99,,
1.02E-05,98,98,,
1.01E-05,101,101,,
1.05E-05,100,100,,
1.02E-05,99,99,,
1.18E-05,98,98,,
1.05E-05,99,99,,
1.04E-05,96,96,,
1.02E-05,94,94,,
1.04E-05,96,96,,
1.18E-05,102,102,,
1.03E-05,103,103,,
1.02E-05,101,101,,
1.09E-05,100,100,,
1.04E-05,98,98,,
1.03E-05,95,95,,
1.03E-05,94,94,,
1.02E-05,95,95,,
1.03E-05,95,95,,
1.02E-05,96,96,,
1.02E-05,96,96,,
1.07E-05,94,94,,
1.02E-05,91,91,,
1.56E-05,91,91,,
1.02E-05,93,93,,
1.04E-05,90,90,,
1.02E-05,89,89,,
1.03E-05,86,86,,
1.10E-05,87,87,,
1.06E-05,86,86,,
1.04E-05,85,85,,
1.04E-05,83,83,,
1.01E-05,87,87,,
1.58E-05,88,88,,
1.07E-05,88,88,,
1.04E-05,85,85,,
1.01E-05,85,85,,
1.51E-05,87,87,,
1.12E-05,85,85,,
1.78E-05,84,84,,
1.12E-05,80,80,,
1.11E-05,79,79,,
1.17E-05,79,79,,
1.30E-05,79,79,,
1.15E-05,83,83,,
1.18E-05,80,80,,
1.15E-05,80,80,,
2.20E-05,80,80,,
1.03E-05,81,81,,
1.03E-05,81,81,,
1.03E-05,85,85,,
1.05E-05,87,87,,
1.02E-05,87,87,,
1.03E-05,87,87,,
1.07E-05,90,90,,
1.07E-05,90,90,,
1.04E-05,89,89,,
1.05E-05,89,89,,
1.03E-05,89,89,,
1.04E-05,89,89,,
1.03E-05,89,89,,
1.02E-05,91,91,,
1.02E-05,90,90,,
1.02E-05,88,88,,
1.02E-05,90,90,,
1.02E-05,87,87,,
1.17E-05,87,87,,
1.03E-05,89,89,,
1.40E-05,93,93,,
1.02E-05,93,93,,
1.02E-05,91,91,,
1.02E-05,91,91,,
1.02E-05,90,90,,
1.02E-05,89,89,,
1.10E-05,91,91,,
1.02E-05,97,97,,
1.14E-05,95,95,,
1.03E-05,93,93,,
1.03E-05,92,92,,
1.08E-05,91,91,,
1.03E-05,90,90,,
1.04E-05,90,90,,
1.02E-05,91,91,,
1.04E-05,90,90,,
1.04E-05,88,88,,
1.03E-05,87,87,,
1.02E-05,86,86,,
1.02E-05,85,85,,
1.07E-05,82,82,,
1.16E-05,82,82,,
1.03E-05,83,83,,
1.01E-05,84,84,,
1.02E-05,84,84,,
1.05E-05,83,83,,
1.02E-05,82,82,,
1.51E-05,83,83,,
1.06E-05,88,88,,
1.02E-05,84,84,,
1.03E-05,83,83,,
1.03E-05,83,83,,
1.03E-05,81,81,,
1.03E-05,82,82,,
1.04E-05,82,82,,
1.04E-05,81,81,,
1.02E-05,77,77,,
1.05E-05,75,75,,
1.03E-05,74,74,,
2.26E-05,73,73,,
1.08E-05,75,75,,
1.15E-05,71,71,,
1.27E-05,70,70,,
1.03E-05,65,65,,
1.04E-05,66,66,,
1.02E-05,69,69,,
1.02E-05,68,68,,
1.02E-05,71,71,,
1.02E-05,72,72,,
1.02E-05,71,71,,
1.06E-05,71,71,,
1.02E-05,66,66,,
1.04E-05,65,65,,
1.05E-05,64,64,,
1.01E-05,63,63,,
1.02E-05,63,63,,
1.04E-05,62,62,,
1.03E-05,61,61,,
1.07E-05,61,61,,
1.02E-05,63,63,,
1.03E-05,61,61,,
1.06E-05,61,61,,
3.31E-05,63,63,,
1.04E-05,62,62,,
1.05E-05,61,61,,
1.03E-05,59,59,,
1.03E-05,58,58,,
1.04E-05,59,59,,
1.22E-05,60,60,,
1.11E-05,59,59,,
1.02E-05,60,60,,
1.02E-05,61,61,,
1.04E-05,61,61,,
1.05E-05,60,60,,
1.00E-05,59,59,,
1.03E-05,59,59,,
1.04E-05,53,53,,
1.06E-05,49,49,,
1.05E-05,49,49,,
1.04E-05,47,47,,
1.03E-05,46,46,,
1.03E-05,44,44,,
1.06E-05,45,45,,
1.46E-05,44,44,,
1.04E-05,43,43,,
1.04E-05,40,40,,
1.05E-05,40,40,,
1.16E-05,39,39,,
1.04E-05,46,46,,
1.09E-05,45,45,,
1.05E-05,46,46,,
1.16E-05,46,46,,
1.73E-05,47,47,,
1.21E-05,50,50,,
1.02E-05,53,53,,
1.32E-05,54,54,,
1.20E-05,52,52,,
1.69E-05,59,59,,
1.03E-05,63,63,,
1.07E-05,62,62,,
1.03E-05,65,65,,
