cas operacie,index prvku,dlzka zoznamu,,
1.97E-05,43,91,,
2.20E-05,58,92,,
1.84E-05,75,89,,
1.83E-05,82,88,,
1.89E-05,29,88,,
1.94E-05,45,86,,
1.83E-05,65,82,,
3.70E-05,40,82,,
2.84E-05,29,74,,
2.16E-05,36,73,,
1.90E-05,44,71,,
1.90E-05,25,71,,
1.81E-05,4,80,,
1.97E-05,34,80,,
1.99E-05,32,81,,
1.85E-05,12,81,,
2.52E-05,62,84,,
2.29E-05,80,85,,
3.18E-05,48,85,,
2.18E-05,12,84,,
3.26E-05,1,84,,
1.98E-05,64,87,,
3.94E-05,65,86,,
2.17E-05,47,85,,
2.11E-05,55,87,,
1.94E-05,62,91,,
3.25E-05,51,89,,
1.92E-05,33,84,,
1.82E-05,72,83,,
2.17E-05,25,82,,
1.94E-05,72,81,,
3.17E-05,39,83,,
1.95E-05,56,84,,
2.11E-05,74,83,,
2.31E-05,20,81,,
1.83E-05,76,80,,
1.93E-05,36,83,,
2.11E-05,41,82,,
2.14E-05,34,81,,
1.98E-05,23,83,,
1.97E-05,74,85,,
1.95E-05,56,86,,
2.02E-05,30,85,,
1.92E-05,11,84,,
3.65E-05,29,83,,
2.21E-05,50,82,,
2.19E-05,41,81,,
1.97E-05,20,76,,
1.99E-05,47,75,,
1.95E-05,48,73,,
1.98E-05,56,70,,
1.90E-05,65,69,,
2.08E-05,12,71,,
1.94E-05,60,71,,
2.01E-05,43,72,,
1.97E-05,54,68,,
1.80E-05,5,72,,
1.85E-05,47,73,,
2.06E-05,12,74,,
1.86E-05,7,73,,
2.26E-05,16,75,,
1.88E-05,56,75,,
1.93E-05,48,73,,
1.87E-05,22,78,,
1.90E-05,17,78,,
2.39E-05,36,76,,
2.86E-05,57,78,,
2.88E-05,39,77,,
1.93E-05,24,80,,
1.87E-05,62,79,,
2.78E-05,11,80,,
1.91E-05,66,84,,
2.42E-05,31,83,,
3.08E-05,15,81,,
1.99E-05,33,76,,
1.91E-05,72,76,,
2.00E-05,68,75,,
3.31E-05,72,74,,
2.00E-05,68,75,,
2.55E-05,42,72,,
2.29E-05,22,72,,
2.03E-05,47,70,,
2.17E-05,25,70,,
1.85E-05,13,70,,
1.85E-05,50,72,,
1.09E-05,0,72,,
1.83E-05,64,81,,
1.89E-05,17,79,,
1.97E-05,38,81,,
1.88E-05,49,80,,
1.83E-05,77,79,,
1.86E-05,56,80,,
1.86E-05,18,79,,
1.91E-05,26,78,,
1.92E-05,22,79,,
1.88E-05,13,77,,
0.0001076,50,76,,
2.03E-05,60,70,,
1.13E-05,0,73,,
2.06E-05,41,76,,
1.97E-05,45,75,,
1.97E-05,63,81,,
1.88E-05,13,82,,
1.92E-05,44,85,,
1.83E-05,67,85,,
1.80E-05,4,87,,
1.79E-05,4,89,,
1.94E-05,38,88,,
2.29E-05,30,89,,
1.89E-05,16,88,,
2.90E-05,71,91,,
1.84E-05,11,92,,
1.91E-05,30,94,,
2.54E-05,1,95,,
2.53E-05,73,96,,
1.86E-05,16,92,,
2.26E-05,45,90,,
2.45E-05,18,90,,
2.11E-05,80,88,,
2.03E-05,28,87,,
1.92E-05,15,86,,
1.87E-05,58,85,,
1.89E-05,47,85,,
1.81E-05,6,83,,
