cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,sum,pocet
1.73E-05,11,0,1,,,,
1.73E-05,22,0,1,,,,
1.72E-05,6,3,4,,,,
1.71E-05,41,4,5,,,,
1.70E-05,7,3,4,,,,
1.82E-05,27,1,2,,,,
1.70E-05,45,0,1,,,,
1.71E-05,36,1,2,,,,
1.83E-05,37,1,2,,,,
3.59E-05,37,3,4,,,,
1.78E-05,7,0,1,,,,
2.23E-05,9,6,7,,,,
2.16E-05,29,5,6,,,,
1.81E-05,26,2,3,,,,
1.78E-05,16,0,1,,,,
1.78E-05,23,2,3,,,,
1.88E-05,42,1,2,,,,
2.38E-05,9,3,4,,,,
2.16E-05,29,5,6,,,,
2.37E-05,22,7,8,,,,
2.23E-05,12,8,9,,,,
2.25E-05,22,8,9,,,,
6.26E-05,32,8,9,,,,
2.60E-05,18,11,12,,,,
1.78E-05,13,8,9,,,,
1.78E-05,27,9,10,,,,
1.79E-05,6,11,12,,,,
1.82E-05,27,13,14,,,,
1.78E-05,15,14,15,,,,
2.53E-05,12,12,13,,,,
2.64E-05,10,13,14,,,,
1.89E-05,21,14,15,,,,
2.32E-05,3,9,10,,,,
2.45E-05,21,10,11,,,,
2.21E-05,11,10,11,,,,
2.78E-05,36,12,13,,,,
2.28E-05,7,10,11,,,,
2.28E-05,43,11,12,,,,
2.42E-05,24,11,12,,,,
2.36E-05,3,10,11,,,,
2.47E-05,11,10,11,,,,
3.20E-05,2,11,12,,,,
1.83E-05,12,13,14,,,,
2.17E-05,24,19,20,,,,
1.78E-05,12,23,24,,,,
1.77E-05,45,23,24,,,,
1.79E-05,40,24,25,,,,
1.80E-05,21,23,24,,,,
1.77E-05,44,23,24,,,,
1.79E-05,28,24,25,,,,
3.43E-05,28,25,26,,,,
1.78E-05,13,25,26,,,,
1.83E-05,9,26,27,,,,
1.80E-05,45,27,28,,,,
1.80E-05,27,28,29,,,,
2.77E-05,13,28,29,,,,
2.65E-05,28,28,29,,,,
3.24E-05,16,29,30,,,,
2.00E-05,11,29,30,,,,
1.71E-05,8,32,33,,,,
1.72E-05,21,33,34,,,,
1.70E-05,16,34,35,,,,
1.73E-05,34,35,36,,,,
1.82E-05,34,36,37,,,,
1.84E-05,43,36,37,,,,
1.73E-05,16,32,33,,,,
2.01E-05,43,32,33,,,,
1.70E-05,1,27,28,,,,
1.70E-05,31,26,27,,,,
1.75E-05,44,23,24,,,,
1.74E-05,30,28,29,,,,
2.56E-05,29,27,28,,,,
1.79E-05,16,28,29,,,,
3.07E-05,9,26,27,,,,
2.03E-05,43,27,28,,,,
1.76E-05,33,24,25,,,,
1.78E-05,8,25,26,,,,
