cas operacie,cislo,index prvku,dlzka zoznamu,,,sum,pocet
2.44E-05,91,64,75,,,,
2.54E-05,91,35,65,,,,
2.56E-05,95,10,62,,,,
2.58E-05,91,31,58,,,,
2.46E-05,94,16,60,,,,
2.52E-05,93,59,61,,,,
2.48E-05,95,33,66,,,,
2.46E-05,93,47,50,,,,
2.46E-05,95,32,53,,,,
2.44E-05,91,13,52,,,,
2.46E-05,92,37,59,,,,
2.47E-05,94,32,58,,,,
2.47E-05,91,32,52,,,,
2.47E-05,91,47,51,,,,
2.46E-05,93,3,41,,,,
2.61E-05,94,27,29,,,,
2.48E-05,93,35,44,,,,
0.0005006,92,21,52,,,,
2.48E-05,92,21,46,,,,
2.44E-05,93,19,45,,,,
4.58E-05,92,28,42,,,,
4.40E-05,94,15,44,,,,
3.69E-05,94,43,53,,,,
3.67E-05,95,31,59,,,,
3.78E-05,92,30,60,,,,
2.93E-05,93,26,60,,,,
2.53E-05,91,7,60,,,,
3.65E-05,93,7,46,,,,
3.59E-05,92,54,57,,,,
3.69E-05,92,20,57,,,,
2.48E-05,94,36,59,,,,
2.48E-05,92,30,65,,,,
3.34E-05,94,54,62,,,,
2.47E-05,92,64,67,,,,
2.46E-05,93,27,54,,,,
2.47E-05,91,6,59,,,,
2.45E-05,95,56,60,,,,
2.45E-05,91,32,60,,,,
3.13E-05,94,22,58,,,,
2.45E-05,91,23,71,,,,
2.45E-05,92,6,58,,,,
2.47E-05,92,32,56,,,,
2.46E-05,92,34,61,,,,
3.04E-05,94,26,59,,,,
2.47E-05,95,7,58,,,,
4.00E-05,91,10,50,,,,
2.57E-05,94,10,52,,,,
3.88E-05,94,27,52,,,,
2.54E-05,93,47,55,,,,
2.58E-05,94,48,52,,,,
2.47E-05,91,1,45,,,,
2.49E-05,95,23,43,,,,
2.53E-05,95,33,44,,,,
2.48E-05,95,32,44,,,,
2.56E-05,94,31,44,,,,
2.49E-05,95,42,46,,,,
2.55E-05,92,48,63,,,,
3.55E-05,91,12,64,,,,
3.22E-05,91,11,63,,,,
3.07E-05,95,27,63,,,,
3.19E-05,92,24,45,,,,
2.45E-05,95,25,29,,,,
2.45E-05,92,6,41,,,,
2.49E-05,92,30,47,,,,
2.48E-05,92,3,52,,,,
2.54E-05,91,49,58,,,,
2.55E-05,95,25,55,,,,
3.19E-05,94,22,49,,,,
2.76E-05,92,37,49,,,,
4.22E-05,91,3,55,,,,
2.56E-05,94,22,38,,,,
2.57E-05,92,16,36,,,,
3.69E-05,92,8,58,,,,
2.56E-05,93,11,60,,,,
2.60E-05,92,38,53,,,,
2.58E-05,93,6,56,,,,
2.67E-05,92,37,53,,,,
2.48E-05,94,10,49,,,,
3.55E-05,95,15,52,,,,
2.79E-05,95,14,48,,,,
4.03E-05,91,10,48,,,,
2.44E-05,93,22,43,,,,
2.45E-05,92,14,45,,,,
2.47E-05,95,13,47,,,,
2.49E-05,93,30,42,,,,
2.46E-05,93,16,37,,,,
2.46E-05,92,12,28,,,,
2.45E-05,95,30,32,,,,
2.44E-05,92,29,33,,,,
2.46E-05,95,7,43,,,,
2.65E-05,93,19,46,,,,
3.51E-05,94,36,41,,,,
2.46E-05,93,15,38,,,,
2.60E-05,92,15,39,,,,
2.55E-05,93,31,39,,,,
2.58E-05,94,28,35,,,,
2.46E-05,95,41,43,,,,
2.48E-05,95,39,44,,,,
2.47E-05,91,4,34,,,,
2.47E-05,94,12,36,,,,
2.47E-05,95,12,43,,,,
3.17E-05,94,25,34,,,,
2.44E-05,95,5,33,,,,
2.47E-05,93,25,41,,,,
2.45E-05,95,10,41,,,,
2.48E-05,95,27,43,,,,
2.47E-05,95,41,43,,,,
2.69E-05,91,32,41,,,,
2.48E-05,92,7,38,,,,
2.60E-05,91,14,23,,,,
2.97E-05,94,22,26,,,,
0.0001185,95,7,26,,,,
2.57E-05,92,3,22,,,,
2.55E-05,93,13,18,,,,
2.48E-05,94,17,23,,,,
2.61E-05,95,0,23,,,,
2.46E-05,94,7,26,,,,
2.54E-05,95,16,21,,,,
2.55E-05,93,4,13,,,,
2.47E-05,91,1,10,,,,
2.45E-05,95,4,13,,,,
2.45E-05,94,4,14,,,,
2.68E-05,95,3,11,,,,
3.47E-05,95,0,14,,,,
2.44E-05,95,0,1,,,,
2.45E-05,92,0,2,,,,
2.60E-05,92,0,1,,,,
3.00E-05,93,16,19,,,,
2.46E-05,92,0,19,,,,
2.47E-05,92,8,21,,,,
3.03E-05,94,1,14,,,,
2.92E-05,92,1,5,,,,
2.51E-05,94,12,18,,,,
2.45E-05,91,0,17,,,,
2.54E-05,95,0,12,,,,
2.48E-05,95,0,2,,,,
2.62E-05,91,4,12,,,,
2.45E-05,93,0,8,,,,
2.49E-05,92,4,12,,,,
2.48E-05,95,1,8,,,,
2.46E-05,93,7,19,,,,
2.45E-05,91,3,19,,,,
3.74E-05,92,11,18,,,,
3.83E-05,95,19,35,,,,
2.59E-05,93,10,38,,,,
2.56E-05,95,20,42,,,,
2.57E-05,92,31,43,,,,
3.67E-05,93,36,45,,,,
3.72E-05,95,8,42,,,,
2.55E-05,93,9,46,,,,
3.79E-05,91,39,46,,,,
2.56E-05,93,32,45,,,,
2.47E-05,93,20,44,,,,
2.59E-05,94,11,47,,,,
2.46E-05,91,8,42,,,,
2.47E-05,92,10,35,,,,
2.46E-05,92,32,34,,,,
2.49E-05,92,16,35,,,,
2.48E-05,95,11,38,,,,
3.71E-05,94,21,37,,,,
2.54E-05,95,26,28,,,,
2.93E-05,94,22,26,,,,
2.74E-05,94,21,39,,,,
4.52E-05,95,19,41,,,,
2.82E-05,94,23,43,,,,
3.81E-05,91,30,45,,,,
2.58E-05,91,14,31,,,,
2.56E-05,93,27,30,,,,
2.75E-05,92,16,30,,,,
2.54E-05,93,0,50,,,,
2.54E-05,94,45,51,,,,
2.47E-05,93,20,49,,,,
2.47E-05,95,28,63,,,,
8.66E-05,93,13,58,,,,
2.46E-05,93,48,59,,,,
3.07E-05,93,48,60,,,,
4.04E-05,94,14,56,,,,
2.50E-05,94,47,54,,,,
2.44E-05,95,46,54,,,,
2.48E-05,93,13,53,,,,
2.47E-05,93,35,47,,,,
2.47E-05,94,13,43,,,,
2.48E-05,93,36,48,,,,
6.12E-05,94,44,50,,,,
2.45E-05,95,8,53,,,,
2.70E-05,93,29,52,,,,
2.47E-05,93,42,52,,,,
4.00E-05,95,23,49,,,,
2.45E-05,94,7,47,,,,
2.45E-05,92,29,38,,,,
2.51E-05,93,21,36,,,,
2.44E-05,91,6,50,,,,
2.44E-05,95,5,46,,,,
2.64E-05,91,23,50,,,,
2.45E-05,91,6,40,,,,
2.52E-05,91,30,35,,,,
3.32E-05,95,5,39,,,,
3.13E-05,92,11,42,,,,
2.69E-05,92,16,38,,,,
2.73E-05,91,28,37,,,,
2.47E-05,92,27,34,,,,
2.44E-05,92,11,35,,,,
2.45E-05,92,17,36,,,,
2.46E-05,91,15,23,,,,
2.48E-05,95,3,23,,,,
2.45E-05,93,24,29,,,,
2.47E-05,94,24,28,,,,
2.99E-05,95,20,33,,,,
3.00E-05,91,6,28,,,,
2.54E-05,91,13,33,,,,
2.80E-05,95,20,37,,,,
2.50E-05,95,1,48,,,,
2.51E-05,93,22,45,,,,
3.31E-05,93,46,48,,,,
2.70E-05,91,45,48,,,,
2.47E-05,94,13,57,,,,
2.42E-05,92,47,61,,,,
2.55E-05,94,11,59,,,,
2.55E-05,94,14,58,,,,
2.49E-05,93,53,55,,,,
2.45E-05,91,12,53,,,,
2.48E-05,93,10,44,,,,
2.48E-05,94,36,39,,,,
2.52E-05,92,21,38,,,,
2.45E-05,91,18,33,,,,
3.11E-05,92,14,36,,,,
2.46E-05,93,25,36,,,,
2.46E-05,93,12,36,,,,
2.53E-05,94,1,35,,,,
2.46E-05,92,28,33,,,,
2.45E-05,93,1,37,,,,
2.99E-05,95,4,35,,,,
3.09E-05,92,22,37,,,,
2.46E-05,91,10,26,,,,
2.46E-05,95,18,23,,,,
2.51E-05,94,11,23,,,,
2.48E-05,92,3,29,,,,
2.50E-05,93,2,6,,,,
2.47E-05,92,3,5,,,,
2.55E-05,92,1,5,,,,
2.47E-05,93,1,4,,,,
2.45E-05,95,3,15,,,,
2.45E-05,94,7,21,,,,
2.46E-05,91,6,17,,,,
2.50E-05,95,3,17,,,,
2.46E-05,91,4,17,,,,
3.15E-05,92,11,16,,,,
2.58E-05,91,9,17,,,,
2.63E-05,93,6,15,,,,
2.57E-05,91,6,13,,,,
2.45E-05,95,3,18,,,,
2.44E-05,91,3,18,,,,
2.46E-05,92,13,21,,,,
2.51E-05,93,10,29,,,,
2.47E-05,92,15,32,,,,
2.45E-05,93,9,20,,,,
2.48E-05,92,15,25,,,,
2.46E-05,92,21,24,,,,
2.72E-05,94,25,36,,,,
2.51E-05,93,5,35,,,,
2.48E-05,95,0,38,,,,
2.47E-05,93,7,36,,,,
2.72E-05,95,22,44,,,,
2.57E-05,95,18,52,,,,
0.0001468,93,47,49,,,,
2.53E-05,95,26,55,,,,
3.00E-05,92,24,54,,,,
2.51E-05,91,43,54,,,,
2.46E-05,95,43,54,,,,
2.49E-05,92,36,50,,,,
2.48E-05,93,38,60,,,,
2.58E-05,93,5,67,,,,
2.45E-05,94,29,71,,,,
2.46E-05,93,27,74,,,,
2.49E-05,93,50,72,,,,
3.06E-05,93,62,72,,,,
2.46E-05,94,18,84,,,,
2.56E-05,94,12,81,,,,
2.45E-05,93,25,84,,,,
2.47E-05,91,4,90,,,,
2.47E-05,95,84,98,,,,
2.49E-05,94,72,99,,,,
2.48E-05,95,96,100,,,,
2.47E-05,94,65,99,,,,
2.47E-05,91,67,97,,,,
2.48E-05,91,69,97,,,,
2.95E-05,95,9,88,,,,
2.45E-05,95,71,87,,,,
2.50E-05,91,10,84,,,,
2.46E-05,93,37,87,,,,
3.01E-05,91,60,86,,,,
2.46E-05,93,6,86,,,,
2.50E-05,91,29,85,,,,
2.94E-05,92,86,88,,,,
2.45E-05,93,31,89,,,,
2.64E-05,91,26,95,,,,
2.93E-05,92,49,108,,,,
2.46E-05,91,95,110,,,,
2.90E-05,94,0,100,,,,
2.47E-05,93,16,97,,,,
2.48E-05,91,89,97,,,,
3.46E-05,94,14,98,,,,
3.12E-05,92,48,100,,,,
2.58E-05,93,29,102,,,,
2.55E-05,93,26,117,,,,
2.55E-05,92,63,119,,,,
2.50E-05,94,78,120,,,,
2.55E-05,92,54,120,,,,
2.55E-05,95,109,117,,,,
2.59E-05,91,10,112,,,,
2.54E-05,92,27,110,,,,
2.62E-05,93,6,114,,,,
2.52E-05,93,44,112,,,,
3.48E-05,95,89,112,,,,
9.50E-05,92,87,113,,,,
4.21E-05,92,65,113,,,,
3.25E-05,94,11,111,,,,
2.63E-05,95,108,112,,,,
2.50E-05,92,61,99,,,,
2.46E-05,93,26,98,,,,
2.43E-05,93,92,101,,,,
2.47E-05,92,76,101,,,,
2.46E-05,95,5,106,,,,
2.48E-05,94,19,111,,,,
2.47E-05,92,91,115,,,,
2.47E-05,93,39,118,,,,
2.45E-05,94,13,121,,,,
2.48E-05,91,112,123,,,,
2.46E-05,95,99,124,,,,
2.47E-05,94,53,125,,,,
4.14E-05,95,75,118,,,,
2.56E-05,94,87,120,,,,
2.49E-05,94,61,116,,,,
3.06E-05,91,27,124,,,,
2.48E-05,94,8,120,,,,
2.48E-05,92,53,119,,,,
2.52E-05,92,40,124,,,,
2.48E-05,94,61,127,,,,
2.46E-05,95,109,130,,,,
2.46E-05,93,72,133,,,,
2.46E-05,93,119,136,,,,
2.45E-05,92,17,137,,,,
2.47E-05,94,133,135,,,,
2.48E-05,95,71,130,,,,
2.78E-05,91,38,132,,,,
2.46E-05,95,121,130,,,,
2.49E-05,91,0,131,,,,
2.45E-05,94,101,128,,,,
2.48E-05,91,95,125,,,,
2.53E-05,94,81,134,,,,
2.48E-05,93,91,126,,,,
2.68E-05,93,54,120,,,,
2.48E-05,94,97,132,,,,
2.48E-05,94,50,135,,,,
4.08E-05,93,89,138,,,,
2.47E-05,95,20,143,,,,
2.61E-05,92,44,133,,,,
2.45E-05,93,3,131,,,,
2.45E-05,94,73,131,,,,
2.48E-05,91,103,131,,,,
2.52E-05,91,11,130,,,,
2.47E-05,93,53,125,,,,
2.47E-05,94,26,121,,,,
3.30E-05,93,53,130,,,,
2.62E-05,91,12,136,,,,
2.47E-05,92,126,148,,,,
2.49E-05,94,92,139,,,,
2.88E-05,95,85,142,,,,
2.46E-05,92,25,152,,,,
2.46E-05,95,53,151,,,,
2.46E-05,92,146,155,,,,
2.57E-05,91,64,152,,,,
2.47E-05,91,20,161,,,,
2.49E-05,94,151,161,,,,
2.47E-05,94,119,161,,,,
2.44E-05,95,121,161,,,,
2.45E-05,91,114,174,,,,
