cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,
2.32E-05,0,0,2,,,,
2.31E-05,0,0,3,,,,
9.23E-05,2,2,3,,,,
4.52E-05,1,1,2,,,,
4.56E-05,1,1,2,,,,
4.54E-05,1,1,3,,,,
2.32E-05,0,0,2,,,,
2.31E-05,0,0,2,,,,
9.57E-05,3,3,4,,,,
2.35E-05,0,0,2,,,,
4.74E-05,1,1,2,,,,
0.000111,4,4,5,,,,
2.31E-05,0,0,4,,,,
6.73E-05,2,2,6,,,,
2.29E-05,0,0,1,,,,
2.36E-05,0,0,1,,,,
2.30E-05,0,0,3,,,,
0.0001121,4,4,6,,,,
8.99E-05,3,3,6,,,,
2.28E-05,0,0,6,,,,
2.40E-05,0,0,2,,,,
2.37E-05,0,0,1,,,,
4.51E-05,1,1,4,,,,
6.84E-05,2,2,4,,,,
0.0001336,5,5,6,,,,
2.28E-05,0,0,9,,,,
0.0001556,6,6,9,,,,
8.93E-05,3,3,11,,,,
0.0001224,4,4,10,,,,
6.74E-05,2,2,9,,,,
0.0001129,4,4,9,,,,
0.0002438,10,10,11,,,,
0.0001781,7,7,17,,,,
0.0004034,16,16,24,,,,
0.0001554,6,6,21,,,,
0.0008274,13,13,23,,,,
6.72E-05,2,2,24,,,,
0.0002423,3,3,22,,,,
0.0006601,16,16,22,,,,
0.0001787,7,7,24,,,,
4.53E-05,1,1,30,,,,
4.49E-05,1,1,31,,,,
0.0002231,9,9,27,,,,
6.69E-05,2,2,26,,,,
0.0003801,16,16,25,,,,
0.0001335,5,5,30,,,,
2.30E-05,0,0,31,,,,
0.0002229,9,9,28,,,,
0.0009889,27,27,30,,,,
0.0001787,7,7,37,,,,
0.000156,6,6,39,,,,
0.0007639,33,33,37,,,,
0.0001119,4,4,38,,,,
2.28E-05,0,0,38,,,,
0.0009086,37,37,38,,,,
0.0002228,9,9,36,,,,
2.30E-05,0,0,44,,,,
0.0002239,9,9,43,,,,
0.0002897,12,12,43,,,,
0.0001116,4,4,45,,,,
0.0005413,23,23,41,,,,
0.0008589,36,36,46,,,,
0.0003549,15,15,47,,,,
0.0006627,28,28,49,,,,
0.0004013,17,17,43,,,,
0.0012307,40,40,42,,,,
0.0012384,20,20,38,,,,
0.0002223,9,9,43,,,,
2.31E-05,0,0,52,,,,
0.0003857,11,11,49,,,,
0.0003559,15,15,54,,,,
0.0002314,9,9,58,,,,
6.75E-05,2,2,62,,,,
0.000801,35,35,68,,,,
0.0008225,36,36,67,,,,
0.0017154,55,55,69,,,,
0.0012593,55,55,69,,,,
0.0002898,12,12,69,,,,
0.000401,17,17,70,,,,
0.0001565,6,6,59,,,,
0.0011162,49,49,55,,,,
0.000245,10,10,57,,,,
8.97E-05,3,3,58,,,,
0.0019092,51,51,58,,,,
0.0002237,9,9,58,,,,
0.0001825,7,7,47,,,,
0.0006183,27,27,59,,,,
6.77E-05,2,2,58,,,,
0.0003338,14,14,62,,,,
0.0012245,43,43,62,,,,
0.0002888,12,12,53,,,,
0.0001129,4,4,53,,,,
0.0010516,46,46,54,,,,
0.0006896,30,30,56,,,,
0.0006789,30,30,51,,,,
0.0010602,46,46,63,,,,
0.0001783,7,7,66,,,,
0.0010757,47,47,69,,,,
0.0002299,9,9,65,,,,
0.000247,10,10,61,,,,
0.0011327,50,50,53,,,,
0.000865,38,38,58,,,,
6.76E-05,2,2,57,,,,
0.0009501,42,42,58,,,,
0.0008859,39,39,71,,,,
0.0010418,46,46,70,,,,
5.13E-05,1,1,71,,,,
0.000199,8,8,76,,,,
0.0001758,7,7,73,,,,
0.0005854,25,25,65,,,,
0.0004665,20,20,69,,,,
0.0005548,23,23,69,,,,
0.0019255,36,36,78,,,,
8.98E-05,3,3,82,,,,
0.0013961,61,61,79,,,,
0.000133,5,5,91,,,,
0.0008597,35,35,91,,,,
4.73E-05,1,1,85,,,,
0.0004284,18,18,86,,,,
0.0014486,64,64,88,,,,
0.0011157,49,49,85,,,,
0.0001789,7,7,83,,,,
0.0002235,9,9,83,,,,
0.0003028,11,11,84,,,,
6.77E-05,2,2,80,,,,
0.0008259,36,36,74,,,,
0.0004871,15,15,76,,,,
0.0017078,75,75,76,,,,
0.000798,35,35,68,,,,
0.0006995,26,26,71,,,,
0.0006899,30,30,76,,,,
0.0008611,38,38,76,,,,
2.28E-05,0,0,73,,,,
0.0001117,4,4,74,,,,
8.91E-05,3,3,74,,,,
0.0002244,9,9,73,,,,
6.80E-05,2,2,72,,,,
0.0009329,41,41,77,,,,
0.000359,15,15,81,,,,
0.0013864,58,58,80,,,,
0.0002963,12,12,82,,,,
0.0015412,68,68,82,,,,
0.0001136,4,4,83,,,,
8.89E-05,2,2,82,,,,
0.0005819,17,17,82,,,,
0.001312,58,58,80,,,,
6.66E-05,2,2,83,,,,
0.0003745,14,14,78,,,,
8.97E-05,3,3,87,,,,
0.0004225,18,18,81,,,,
0.0016636,57,57,87,,,,
0.0010815,47,47,85,,,,
0.0001622,6,6,87,,,,
0.0023056,64,64,90,,,,
0.0001786,7,7,86,,,,
