cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,sum,pocet
9.04E-05,26,13,16,,,,
9.14E-05,33,12,15,,,,
8.36E-05,39,7,15,,,,
8.48E-05,19,0,12,,,,
8.39E-05,31,1,8,,,,
8.41E-05,19,4,7,,,,
8.94E-05,20,1,5,,,,
8.51E-05,27,1,5,,,,
8.45E-05,1,2,9,,,,
8.86E-05,9,5,9,,,,
8.49E-05,7,0,10,,,,
0.0001645,45,4,6,,,,
8.62E-05,23,3,9,,,,
8.39E-05,20,2,4,,,,
8.50E-05,33,0,2,,,,
1.71E-05,16,0,1,,,,
1.72E-05,25,0,1,,,,
8.65E-05,32,1,4,,,,
8.54E-05,23,2,5,,,,
9.10E-05,29,3,8,,,,
8.42E-05,6,5,9,,,,
8.39E-05,5,4,6,,,,
1.90E-05,11,0,1,,,,
9.03E-05,3,0,2,,,,
8.39E-05,25,0,4,,,,
8.37E-05,20,2,5,,,,
8.78E-05,39,0,5,,,,
8.43E-05,7,3,6,,,,
8.69E-05,45,1,5,,,,
8.41E-05,34,1,5,,,,
8.43E-05,8,4,6,,,,
8.35E-05,26,1,8,,,,
8.36E-05,24,2,8,,,,
8.38E-05,12,7,10,,,,
8.41E-05,28,12,14,,,,
8.39E-05,35,11,15,,,,
8.48E-05,35,3,14,,,,
8.44E-05,15,11,15,,,,
8.39E-05,45,0,14,,,,
8.41E-05,35,2,13,,,,
8.39E-05,15,6,14,,,,
8.36E-05,19,14,18,,,,
8.38E-05,29,3,18,,,,
8.57E-05,33,10,18,,,,
8.45E-05,38,1,18,,,,
8.41E-05,17,4,20,,,,
8.45E-05,19,0,21,,,,
8.44E-05,9,23,26,,,,
8.67E-05,26,14,25,,,,
8.44E-05,5,4,25,,,,
8.35E-05,36,3,26,,,,
8.37E-05,2,21,25,,,,
8.39E-05,39,19,26,,,,
8.41E-05,38,19,28,,,,
8.37E-05,11,22,26,,,,
8.38E-05,35,19,27,,,,
8.39E-05,20,13,27,,,,
8.38E-05,6,18,26,,,,
9.13E-05,36,18,27,,,,
0.0001612,39,16,26,,,,
9.00E-05,35,4,27,,,,
8.43E-05,15,0,29,,,,
8.43E-05,36,17,29,,,,
8.40E-05,30,23,29,,,,
8.34E-05,21,24,29,,,,
9.45E-05,5,25,29,,,,
8.39E-05,17,0,30,,,,
8.34E-05,36,10,27,,,,
8.60E-05,26,14,26,,,,
8.37E-05,24,13,26,,,,
8.37E-05,24,1,25,,,,
8.41E-05,36,6,25,,,,
8.87E-05,25,9,25,,,,
8.34E-05,42,4,27,,,,
9.00E-05,7,16,31,,,,
8.49E-05,36,25,30,,,,
8.51E-05,13,29,32,,,,
8.37E-05,38,10,30,,,,
8.37E-05,2,20,33,,,,
8.29E-05,23,1,34,,,,
8.55E-05,41,0,36,,,,
0.0001984,1,9,37,,,,
8.91E-05,44,16,40,,,,
8.38E-05,39,14,43,,,,
8.40E-05,38,3,44,,,,
8.42E-05,35,28,43,,,,
8.41E-05,7,40,44,,,,
8.37E-05,25,40,45,,,,
8.37E-05,38,21,44,,,,
8.88E-05,13,36,43,,,,
8.40E-05,15,10,41,,,,
8.33E-05,32,36,43,,,,
8.56E-05,16,5,47,,,,
8.43E-05,20,27,47,,,,
8.71E-05,43,34,46,,,,
8.37E-05,34,28,42,,,,
9.17E-05,28,6,35,,,,
8.96E-05,21,21,33,,,,
8.38E-05,4,17,34,,,,
8.36E-05,13,20,34,,,,
8.40E-05,15,16,36,,,,
8.38E-05,3,22,35,,,,
0.0001404,25,2,32,,,,
8.40E-05,4,10,33,,,,
8.38E-05,29,3,29,,,,
8.38E-05,7,21,25,,,,
0.0001136,35,11,27,,,,
8.32E-05,24,24,27,,,,
8.88E-05,28,15,26,,,,
8.96E-05,16,25,27,,,,
8.50E-05,7,21,29,,,,
8.41E-05,43,24,28,,,,
8.38E-05,35,10,29,,,,
8.42E-05,30,26,31,,,,
8.56E-05,13,16,31,,,,
8.40E-05,44,15,30,,,,
8.39E-05,31,8,31,,,,
8.42E-05,28,2,32,,,,
8.39E-05,11,20,34,,,,
8.33E-05,29,18,36,,,,
8.49E-05,6,14,38,,,,
8.40E-05,7,31,39,,,,
8.70E-05,18,17,37,,,,
8.44E-05,18,34,38,,,,
