cas operacie,index prvku,dlzka zoznamu,,,sum,pocet
0.0001249,8,21,,,,
0.0001235,18,22,,,,
8.44E-05,18,20,,,,
8.40E-05,13,19,,,,
0.0001115,1,17,,,,
0.0001237,2,15,,,,
8.42E-05,13,15,,,,
8.47E-05,1,15,,,,
8.44E-05,3,14,,,,
8.42E-05,2,12,,,,
8.40E-05,2,11,,,,
8.39E-05,5,10,,,,
8.63E-05,5,15,,,,
8.34E-05,7,14,,,,
0.0001289,1,11,,,,
0.000113,8,12,,,,
0.000129,7,12,,,,
8.39E-05,0,7,,,,
8.45E-05,6,13,,,,
8.41E-05,11,12,,,,
8.40E-05,6,11,,,,
8.40E-05,3,10,,,,
0.0001324,4,16,,,,
8.51E-05,0,15,,,,
0.0001159,13,14,,,,
8.47E-05,0,17,,,,
8.48E-05,9,16,,,,
8.88E-05,10,16,,,,
0.0001299,9,19,,,,
8.97E-05,6,18,,,,
8.46E-05,3,19,,,,
8.40E-05,1,21,,,,
8.39E-05,10,20,,,,
8.62E-05,4,20,,,,
8.47E-05,7,26,,,,
8.42E-05,10,27,,,,
8.48E-05,11,26,,,,
8.39E-05,1,25,,,,
8.44E-05,15,26,,,,
8.43E-05,14,28,,,,
8.42E-05,1,30,,,,
8.41E-05,26,31,,,,
8.49E-05,20,31,,,,
8.44E-05,5,30,,,,
0.0001257,28,35,,,,
0.0001182,6,34,,,,
8.49E-05,29,37,,,,
8.40E-05,16,32,,,,
8.43E-05,14,30,,,,
8.68E-05,4,30,,,,
9.20E-05,10,32,,,,
8.41E-05,29,30,,,,
8.42E-05,27,29,,,,
0.0002907,24,27,,,,
8.61E-05,1,27,,,,
8.49E-05,20,27,,,,
8.37E-05,19,29,,,,
8.43E-05,18,28,,,,
8.40E-05,9,27,,,,
8.45E-05,17,26,,,,
8.42E-05,15,22,,,,
0.0001083,3,22,,,,
0.000106,3,24,,,,
8.44E-05,5,22,,,,
8.41E-05,8,23,,,,
9.50E-05,10,26,,,,
8.37E-05,18,24,,,,
0.0001158,4,18,,,,
8.51E-05,2,22,,,,
0.0001168,1,21,,,,
0.0001099,18,19,,,,
0.0001163,12,16,,,,
0.000203,5,17,,,,
0.0001136,9,16,,,,
0.0001156,7,13,,,,
0.0003398,5,20,,,,
9.06E-05,5,19,,,,
8.52E-05,10,19,,,,
8.62E-05,11,19,,,,
8.77E-05,11,18,,,,
8.52E-05,5,19,,,,
8.94E-05,4,16,,,,
8.49E-05,14,19,,,,
8.98E-05,15,18,,,,
9.11E-05,5,18,,,,
8.44E-05,14,17,,,,
0.0001049,11,14,,,,
0.0001306,10,14,,,,
0.0001422,1,14,,,,
0.0001853,3,12,,,,
0.0001237,9,13,,,,
8.95E-05,1,11,,,,
0.0001189,4,17,,,,
0.0001224,9,15,,,,
0.000109,3,14,,,,
8.54E-05,10,13,,,,
8.56E-05,1,12,,,,
8.56E-05,6,12,,,,
8.47E-05,3,10,,,,
0.0001184,6,10,,,,
0.0002446,6,10,,,,
8.54E-05,4,8,,,,
8.51E-05,8,11,,,,
0.000124,3,4,,,,
0.0001228,2,3,,,,
0.0001183,0,1,,,,
3.01E-05,0,0,,,,
0.0001964,4,6,,,,
0.0001002,2,3,,,,
8.55E-05,2,7,,,,
8.65E-05,3,10,,,,
8.50E-05,4,10,,,,
8.51E-05,1,9,,,,
8.49E-05,7,9,,,,
8.90E-05,9,11,,,,
9.03E-05,9,10,,,,
8.99E-05,6,13,,,,
8.50E-05,3,11,,,,
8.47E-05,5,10,,,,
9.88E-05,1,6,,,,
8.89E-05,1,5,,,,
9.31E-05,3,6,,,,
8.43E-05,9,11,,,,
8.80E-05,8,10,,,,
8.46E-05,3,9,,,,
8.41E-05,1,8,,,,
8.39E-05,1,7,,,,
8.39E-05,3,7,,,,
8.39E-05,3,7,,,,
0.0001466,4,8,,,,
8.38E-05,5,11,,,,
8.40E-05,3,9,,,,
8.38E-05,2,8,,,,
8.39E-05,0,10,,,,
8.41E-05,0,10,,,,
8.38E-05,5,9,,,,
8.40E-05,1,7,,,,
8.61E-05,2,13,,,,
9.09E-05,4,12,,,,
8.41E-05,9,14,,,,
8.34E-05,9,17,,,,
9.21E-05,13,18,,,,
8.38E-05,14,17,,,,
9.13E-05,11,22,,,,
8.38E-05,2,22,,,,
8.38E-05,8,21,,,,
8.37E-05,11,20,,,,
8.42E-05,9,19,,,,
8.50E-05,14,18,,,,
0.000126,3,16,,,,
9.05E-05,11,17,,,,
0.0001015,10,16,,,,
0.0001043,1,15,,,,
8.42E-05,0,15,,,,
8.40E-05,10,16,,,,
9.20E-05,14,15,,,,
