cas operacie,cislo,index prvku,dlzka zoznamu,,,,,,,,
1.80E-05,93,25,79,,,,,0.0000899,91,3,13
3.20E-05,92,46,76,,,,,0.0000176,93,0,13
1.98E-05,93,72,74,,,,,0.0000183,92,8,13
2.35E-05,92,39,83,,,,,0.0000251,91,6,13
1.94E-05,94,54,93,,,,,0.0000175,94,9,13
1.90E-05,94,47,90,,,,,0.0000173,93,4,13
1.93E-05,92,24,89,,,,,0.0000171,91,0,13
2.04E-05,95,93,96,,,,,0.0000214,92,0,13
1.84E-05,93,29,95,,,,,0.0000178,95,9,13
1.84E-05,91,22,93,,,,,0.0000174,95,11,13
2.81E-05,94,56,87,,,,,0.000019,95,10,13
2.75E-05,94,29,81,,,,,0.0000174,91,3,13
2.05E-05,92,70,82,,,,,0.0000176,92,9,13
2.35E-05,92,11,83,,,,,0.0000172,95,4,13
2.49E-05,91,0,84,,,,,0.0000176,95,0,13
2.89E-05,94,61,85,,,,,0.0000176,92,8,13
2.29E-05,92,18,93,,,,,0.0000184,95,6,13
1.77E-05,92,9,90,,,,,0.0000222,91,5,13
1.96E-05,93,25,92,,,,,0.0000173,91,1,13
1.84E-05,94,29,89,,,,,0.0000185,91,5,13
2.00E-05,92,6,92,,,,,0.0000174,92,8,13
1.72E-05,92,2,81,,,,,0.0000174,95,9,13
1.76E-05,91,9,83,,,,,0.000018,93,1,13
2.34E-05,92,42,67,,,,,0.0000187,92,5,13
2.48E-05,92,53,65,,,,,0.0000175,93,1,14
2.26E-05,92,26,66,,,,,0.0000176,94,8,14
1.98E-05,95,28,66,,,,,0.00002,94,11,14
1.89E-05,93,46,77,,,,,0.0000178,93,11,14
1.96E-05,94,69,80,,,,,0.0000223,94,2,14
1.74E-05,94,3,79,,,,,0.0000296,92,4,14
2.26E-05,91,19,76,,,,,0.0000177,91,10,14
2.05E-05,94,60,68,,,,,0.0000175,91,11,14
2.04E-05,91,7,70,,,,,0.0000176,91,9,14
1.82E-05,91,25,69,,,,,0.0000176,95,11,14
1.76E-05,93,12,64,,,,,0.0000189,92,1,14
1.79E-05,91,5,67,,,,,0.000018,94,6,14
1.81E-05,95,21,58,,,,,0.0000173,95,3,14
1.83E-05,94,24,57,,,,,0.0000174,95,5,14
1.73E-05,91,6,57,,,,,0.0000173,93,12,14
1.87E-05,93,40,64,,,,,0.0000174,95,9,14
1.91E-05,94,24,64,,,,,0.0000178,94,12,14
1.96E-05,93,56,66,,,,,0.0000171,92,1,14
3.28E-05,92,34,73,,,,,0.0000172,94,2,14
2.62E-05,91,5,80,,,,,0.0000181,91,3,14
2.00E-05,95,42,67,,,,,0.0000173,91,0,14
1.77E-05,92,12,56,,,,,0.0000204,92,6,14
2.57E-05,91,11,61,,,,,0.0000196,93,12,14
1.80E-05,92,23,55,,,,,0.0000174,95,0,14
1.77E-05,91,12,55,,,,,0.0000193,95,2,14
1.75E-05,95,10,65,,,,,0.0000242,94,5,15
1.90E-05,95,47,60,,,,,0.0000175,92,7,15
1.90E-05,93,30,60,,,,,0.0000221,95,13,15
1.84E-05,94,13,62,,,,,0.0000215,92,7,15
1.74E-05,91,2,61,,,,,0.0000222,93,7,15
1.82E-05,94,31,62,,,,,0.0000177,95,9,15
1.80E-05,94,17,64,,,,,0.0000171,91,0,15
1.85E-05,92,37,55,,,,,0.0000182,94,1,15
1.96E-05,92,38,58,,,,,0.0000176,92,5,15
1.81E-05,93,3,54,,,,,0.0000174,94,10,15
1.84E-05,92,4,40,,,,,0.0000172,91,6,15
1.91E-05,91,34,40,,,,,0.0000178,95,13,15
1.72E-05,94,4,17,,,,,0.0000236,95,1,15
1.75E-05,95,10,18,,,,,0.0000187,93,11,15
1.78E-05,93,13,28,,,,,0.0000175,94,5,15
1.84E-05,95,15,34,,,,,0.0000175,95,6,15
1.76E-05,94,15,37,,,,,0.0000198,92,4,15
1.79E-05,94,10,46,,,,,0.000029,92,4,15
1.83E-05,91,10,44,,,,,0.0000176,93,6,15
1.86E-05,92,14,41,,,,,0.0000274,94,2,15
1.72E-05,91,0,27,,,,,0.0000174,94,1,15
1.88E-05,92,19,28,,,,,0.0000175,94,13,15
1.82E-05,92,1,31,,,,,0.0000187,94,5,15
1.85E-05,91,9,32,,,,,0.0000174,91,9,16
1.88E-05,91,14,24,,,,,0.0000181,94,4,16
1.88E-05,93,11,21,,,,,0.0000169,92,0,16
1.87E-05,91,3,17,,,,,0.0000181,95,0,16
1.80E-05,92,5,12,,,,,0.0000178,93,8,16
1.73E-05,93,7,10,,,,,0.00002,92,6,16
2.23E-05,94,2,14,,,,,0.0000187,92,5,16
1.71E-05,95,0,8,,,,,0.0000178,95,13,16
2.09E-05,92,3,8,,,,,0.0000182,94,1,16
1.77E-05,92,5,10,,,,,0.0000185,93,10,16
1.73E-05,94,6,10,,,,,0.0000294,91,0,17
1.75E-05,91,2,11,,,,,0.0000172,94,4,17
1.79E-05,94,8,12,,,,,0.0000187,91,3,17
1.80E-05,92,10,21,,,,,0.0000177,95,4,17
1.81E-05,94,4,16,,,,,0.000021,95,6,17
1.74E-05,91,0,9,,,,,0.0000182,95,6,17
1.74E-05,91,4,6,,,,,0.0000271,94,6,17
1.71E-05,92,2,6,,,,,0.0000173,95,7,17
1.74E-05,94,1,7,,,,,0.0000174,94,6,17
2.27E-05,95,5,8,,,,,0.0000176,93,11,17
1.72E-05,93,0,4,,,,,0.0000172,93,4,17
1.72E-05,94,0,1,,,,,0.0000177,92,15,17
1.71E-05,92,1,5,,,,,0.0000185,92,5,17
1.70E-05,93,0,2,,,,,0.0000174,93,5,17
1.73E-05,92,1,4,,,,,0.000018,91,11,17
2.25E-05,92,0,9,,,,,0.0000173,91,5,17
1.98E-05,94,2,8,,,,,0.0000176,91,16,18
1.72E-05,93,0,1,,,,,0.0000175,95,10,18
1.75E-05,94,1,4,,,,,0.0000247,94,12,18
2.57E-05,91,1,7,,,,,0.0000178,92,16,18
1.72E-05,94,0,6,,,,,0.0000184,95,1,18
1.70E-05,91,0,2,,,,,0.0000172,93,4,18
1.70E-05,91,0,1,,,,,0.0000172,93,0,18
1.75E-05,92,5,11,,,,,0.0000179,93,10,18
1.87E-05,93,10,12,,,,,0.0000173,95,5,18
2.47E-05,94,12,18,,,,,0.0000182,94,11,18
2.96E-05,92,4,14,,,,,0.0000188,95,7,18
1.75E-05,92,7,15,,,,,0.0000177,92,6,18
