cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,,,,,,,
1.84E-05,25,26,32,,,,,0.0000182,8,11,14
1.68E-05,43,1,31,,,,,0.0000376,12,6,14
1.73E-05,95,13,21,,,,,0.0000182,11,12,14
1.89E-05,14,20,22,,,,,0.0000243,23,7,15
1.76E-05,21,10,12,,,,,0.000017,15,2,15
1.76E-05,40,4,22,,,,,0.0000176,16,9,15
1.77E-05,8,21,28,,,,,0.0000218,40,8,15
1.76E-05,12,22,31,,,,,0.0000174,10,6,15
1.92E-05,32,22,37,,,,,0.0000569,26,2,15
1.78E-05,24,24,35,,,,,0.000018,23,11,15
2.08E-05,33,30,41,,,,,0.0000181,34,7,15
1.84E-05,37,3,23,,,,,0.0000172,42,4,15
1.88E-05,5,21,30,,,,,0.0000173,27,2,15
1.82E-05,37,13,21,,,,,0.0000176,19,9,15
1.86E-05,5,16,22,,,,,0.0000187,43,10,15
2.01E-05,42,16,18,,,,,0.0000188,36,4,15
2.33E-05,32,6,21,,,,,0.0000256,9,1,15
2.18E-05,40,8,15,,,,,0.0000191,5,10,15
1.67E-05,35,0,12,,,,,0.0000173,16,4,15
1.70E-05,43,5,8,,,,,0.0000185,8,4,16
1.73E-05,93,7,9,,,,,0.0000174,37,9,16
1.79E-05,1,8,10,,,,,0.000017,1,6,16
1.70E-05,95,1,9,,,,,0.0000171,6,14,16
1.73E-05,95,9,12,,,,,0.0000172,41,6,16
1.69E-05,22,2,14,,,,,0.000018,34,4,16
1.72E-05,94,7,11,,,,,0.0000175,6,5,16
1.69E-05,37,1,6,,,,,0.0000174,91,7,16
1.72E-05,45,0,2,,,,,0.0000181,12,4,16
1.70E-05,27,1,13,,,,,0.000017,12,0,16
1.88E-05,28,16,18,,,,,0.0000172,6,2,16
1.72E-05,43,8,18,,,,,0.0000171,30,4,16
1.71E-05,43,6,9,,,,,0.0000175,20,4,16
1.74E-05,19,5,7,,,,,0.0000174,22,11,16
1.69E-05,92,2,6,,,,,0.0000191,2,4,16
1.72E-05,18,1,3,,,,,0.0000169,16,0,16
1.71E-05,43,3,5,,,,,0.000017,92,7,16
1.69E-05,13,0,4,,,,,0.0000176,16,12,16
1.70E-05,22,2,5,,,,,0.0000178,16,15,17
1.68E-05,45,0,1,,,,,0.0000173,20,10,17
1.71E-05,13,0,1,,,,,0.0000267,8,15,17
1.96E-05,44,0,1,,,,,0.000017,21,2,17
1.69E-05,38,0,1,,,,,0.0000183,43,5,17
1.74E-05,37,9,16,,,,,0.0000178,30,4,17
1.72E-05,40,0,6,,,,,0.0000169,94,3,17
2.28E-05,37,2,8,,,,,0.0000175,15,15,17
1.72E-05,15,0,7,,,,,0.0000172,40,8,17
1.69E-05,25,0,1,,,,,0.0000176,91,7,17
1.74E-05,19,0,1,,,,,0.0000187,93,14,17
1.67E-05,36,0,2,,,,,0.0000175,45,8,17
1.74E-05,16,0,1,,,,,0.0000172,92,2,17
2.00E-05,15,0,8,,,,,0.0000179,25,13,17
1.81E-05,39,2,4,,,,,0.0000179,35,7,17
1.70E-05,19,1,5,,,,,0.0000174,22,5,17
1.69E-05,11,0,4,,,,,0.0000172,94,8,17
2.52E-05,37,1,7,,,,,0.0000189,7,11,17
1.84E-05,94,1,9,,,,,0.0000418,39,2,18
1.67E-05,24,0,1,,,,,0.0000657,20,2,18
1.79E-05,25,6,9,,,,,0.0000201,42,16,18
1.71E-05,33,5,10,,,,,0.0000188,28,16,18
1.81E-05,13,7,14,,,,,0.0000172,43,8,18
3.49E-05,18,10,12,,,,,0.0000176,40,12,18
1.70E-05,9,5,14,,,,,0.0000184,38,9,18
1.70E-05,21,2,17,,,,,0.0000169,43,4,18
1.70E-05,1,6,16,,,,,0.0000171,29,7,18
1.68E-05,34,1,13,,,,,0.0000341,44,5,18
1.85E-05,3,12,20,,,,,0.0000174,22,7,18
1.71E-05,6,14,16,,,,,0.0000169,43,1,18
2.81E-05,37,4,20,,,,,0.0000174,12,11,18
1.73E-05,2,10,14,,,,,0.0000174,21,8,19
1.75E-05,35,4,20,,,,,0.0000172,22,2,19
2.71E-05,13,21,26,,,,,0.0000172,27,3,19
1.72E-05,8,4,26,,,,,0.0000182,9,14,19
1.82E-05,32,21,27,,,,,0.0000185,18,11,19
1.72E-05,35,8,29,,,,,0.0000179,43,5,19
1.72E-05,33,3,23,,,,,0.0000172,30,7,19
1.73E-05,18,10,28,,,,,0.0000172,22,10,19
1.77E-05,23,20,54,,,,,0.0000183,25,14,19
1.85E-05,92,7,40,,,,,0.0000188,13,13,19
1.80E-05,41,28,35,,,,,0.0000222,39,17,19
1.82E-05,8,35,39,,,,,0.0000201,91,10,19
1.74E-05,35,5,35,,,,,0.0000171,12,10,19
1.71E-05,35,4,34,,,,,0.0000176,12,14,19
1.74E-05,94,15,33,,,,,0.0000182,6,17,19
1.78E-05,41,24,27,,,,,0.0000203,18,13,19
1.72E-05,14,8,21,,,,,0.0000174,7,10,19
1.69E-05,95,2,8,,,,,0.0000182,24,7,19
1.99E-05,42,0,10,,,,,0.0000172,11,4,20
1.80E-05,33,5,10,,,,,0.0000243,4,6,20
1.70E-05,9,1,7,,,,,0.0000185,3,12,20
1.70E-05,7,0,9,,,,,0.0000281,37,4,20
1.69E-05,93,4,9,,,,,0.0000175,35,4,20
1.71E-05,23,3,5,,,,,0.0000189,12,12,20
1.70E-05,23,2,4,,,,,0.0000181,12,13,20
1.82E-05,9,14,19,,,,,0.0000184,40,16,20
2.14E-05,6,21,24,,,,,0.0000175,8,16,20
1.85E-05,18,11,19,,,,,0.0000172,10,4,20
1.83E-05,43,5,17,,,,,0.0000172,43,12,20
1.78E-05,30,4,17,,,,,0.000017,37,7,20
1.79E-05,43,5,19,,,,,0.0000172,10,3,20
1.72E-05,30,7,19,,,,,0.0000175,20,11,20
1.72E-05,22,10,19,,,,,0.0000175,12,16,20
1.72E-05,29,2,35,,,,,0.0000169,44,4,20
1.72E-05,38,7,34,,,,,0.0000176,31,16,20
1.81E-05,12,23,36,,,,,0.0000174,16,6,20
1.82E-05,10,5,10,,,,,0.0000229,24,1,20
1.88E-05,93,9,13,,,,,0.0000242,26,0,21
1.71E-05,37,9,12,,,,,0.0000171,11,4,21
1.73E-05,36,4,22,,,,,0.0000171,11,6,21
1.75E-05,29,7,25,,,,,0.0000173,95,13,21
1.69E-05,2,0,14,,,,,0.0000182,37,13,21
1.74E-05,5,15,21,,,,,0.0000233,32,6,21
1.93E-05,8,4,7,,,,,0.0000172,14,8,21
1.75E-05,17,0,3,,,,,0.0000174,5,15,21
1.84E-05,43,0,2,,,,,0.0000172,45,4,21
1.68E-05,95,1,3,,,,,0.000018,92,19,21
1.68E-05,95,1,7,,,,,0.0000171,39,0,21
1.71E-05,93,3,6,,,,,0.0000173,12,10,21
1.79E-05,3,3,7,,,,,0.0000187,4,11,21
2.46E-05,94,7,10,,,,,0.0000264,19,2,21
1.83E-05,93,5,10,,,,,0.0000172,43,6,21
1.80E-05,33,0,1,,,,,0.0000173,91,11,21
1.72E-05,41,5,12,,,,,0.0000175,92,6,21
1.75E-05,23,10,12,,,,,0.0000176,8,17,21
1.69E-05,19,0,14,,,,,0.0000172,25,3,21
1.69E-05,35,2,13,,,,,0.0000174,30,8,21
2.24E-05,36,3,11,,,,,0.0000172,20,13,21
1.83E-05,25,14,19,,,,,0.0000175,15,18,21
1.69E-05,19,1,12,,,,,0.0000171,41,10,21
1.69E-05,42,3,14,,,,,0.0000173,40,17,21
1.69E-05,12,1,13,,,,,0.000017,36,1,22
1.72E-05,41,6,16,,,,,0.0000172,45,8,22
1.89E-05,12,12,20,,,,,0.0000189,14,20,22
1.72E-05,45,4,21,,,,,0.0000176,40,4,22
1.69E-05,94,3,17,,,,,0.0000186,5,16,22
1.74E-05,10,6,15,,,,,0.0000173,36,4,22
1.76E-05,40,12,18,,,,,0.0000173,5,11,22
1.80E-05,92,19,21,,,,,0.000018,94,12,22
1.75E-05,15,15,17,,,,,0.0000173,25,17,22
1.71E-05,39,0,21,,,,,0.0000175,3,15,22
5.69E-05,26,2,15,,,,,0.0000169,25,6,22
1.69E-05,39,2,12,,,,,0.0000246,9,13,23
1.84E-05,19,11,13,,,,,0.0000176,92,20,23
2.24E-05,42,5,8,,,,,0.0000177,37,19,23
1.80E-05,2,2,10,,,,,0.0000179,5,1,23
1.80E-05,23,11,15,,,,,0.0000184,37,3,23
1.80E-05,34,4,16,,,,,0.0000172,33,3,23
1.81E-05,34,7,15,,,,,0.0000181,30,17,23
1.71E-05,37,4,14,,,,,0.0000189,27,18,23
1.84E-05,38,9,18,,,,,0.0000177,8,17,23
1.69E-05,43,4,18,,,,,0.0000172,42,8,23
1.81E-05,12,13,20,,,,,0.000019,45,9,23
1.73E-05,12,10,21,,,,,0.0000174,32,6,24
1.79E-05,15,20,35,,,,,0.000025,93,16,24
1.77E-05,43,30,34,,,,,0.0000181,17,2,24
1.70E-05,3,10,29,,,,,0.0000214,6,21,24
1.71E-05,5,5,29,,,,,0.000018,12,20,24
1.74E-05,24,9,45,,,,,0.0000175,91,15,24
1.84E-05,4,39,44,,,,,0.000022,8,19,24
1.75E-05,5,1,54,,,,,0.0000177,8,16,24
1.78E-05,45,32,51,,,,,0.0000181,28,16,24
1.82E-05,29,40,52,,,,,0.0000175,30,16,24
1.78E-05,42,3,54,,,,,0.0000175,2,21,24
1.73E-05,28,2,62,,,,,0.0000171,45,8,24
2.23E-05,41,7,54,,,,,0.0000175,41,19,24
1.82E-05,34,30,52,,,,,0.0000176,17,21,24
1.78E-05,29,25,51,,,,,0.0000173,40,4,24
2.03E-05,19,28,56,,,,,0.0000172,38,11,24
1.75E-05,17,15,69,,,,,0.0000181,20,10,24
1.78E-05,20,24,60,,,,,0.000018,22,11,24
1.79E-05,45,28,57,,,,,0.0000173,13,12,25
