cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,,
1.00E-06,9,9,47,,,,,0.0000007,5,5,7
1.10E-06,6,6,49,,,,,0.0000008,2,2,7
9.00E-07,6,6,51,,,,,0.0000007,4,4,7
3.40E-06,42,42,50,,,,,0.0000006,4,4,7
1.10E-06,11,11,50,,,,,0.0000004,1,1,7
6.00E-07,3,3,49,,,,,0.0000003,0,0,7
1.60E-06,17,17,43,,,,,0.0000004,1,1,7
1.30E-06,15,15,43,,,,,0.0000007,3,3,7
1.50E-06,17,17,42,,,,,0.0000014,3,3,7
2.00E-06,22,22,40,,,,,0.0000009,3,3,7
1.80E-06,22,22,37,,,,,0.0000007,1,1,7
3.30E-06,39,39,43,,,,,0.0000005,1,1,7
2.00E-06,20,20,41,,,,,0.0000006,0,0,7
4.40E-06,34,34,37,,,,,0.0000004,0,0,7
1.70E-06,19,19,39,,,,,0.0000006,5,5,7
1.80E-06,19,19,35,,,,,0.0000008,6,6,7
3.00E-07,0,0,32,,,,,0.0000006,3,3,7
1.50E-06,19,19,32,,,,,0.0000459,4,4,7
1.30E-06,13,13,25,,,,,0.0000004,1,1,7
1.80E-06,18,18,33,,,,,0.0000008,5,5,7
1.90E-06,19,19,34,,,,,0.0000004,1,1,8
5.00E-07,2,2,35,,,,,0.0000005,3,3,8
1.70E-06,21,21,38,,,,,0.0000006,3,3,8
2.40E-06,28,28,45,,,,,0.0000006,4,4,8
5.00E-07,2,2,40,,,,,0.0000005,2,2,8
1.60E-06,17,17,34,,,,,0.0000004,2,2,8
2.10E-06,21,21,30,,,,,0.0000009,7,7,8
1.70E-06,19,19,29,,,,,0.0000009,5,5,8
7.00E-07,5,5,31,,,,,0.0000005,1,1,8
9.00E-07,7,7,33,,,,,0.0000008,5,5,8
1.90E-06,18,18,19,,,,,0.0000006,1,1,8
1.10E-06,10,10,17,,,,,0.0000011,6,6,8
7.00E-07,4,4,21,,,,,0.0000008,7,7,8
1.60E-06,18,18,22,,,,,0.0000007,3,3,8
1.20E-06,13,13,22,,,,,0.0000008,7,7,8
6.00E-07,2,2,23,,,,,0.0000003,0,0,8
8.00E-07,3,3,22,,,,,0.0000007,4,4,8
5.00E-07,0,0,21,,,,,0.0000008,5,5,8
1.00E-06,7,7,21,,,,,0.0000005,1,1,8
1.00E-06,7,7,25,,,,,0.0000007,3,3,8
1.40E-06,11,11,15,,,,,0.0000011,6,6,8
1.00E-06,7,7,12,,,,,0.000001,6,6,8
1.80E-06,9,9,13,,,,,0.0000005,2,2,8
9.00E-07,6,6,13,,,,,0.0000007,5,5,8
7.00E-07,2,2,16,,,,,0.0000005,1,1,8
6.00E-07,2,2,14,,,,,0.0000008,2,2,8
9.00E-07,7,7,11,,,,,0.0000006,2,2,8
4.00E-07,1,1,13,,,,,0.0000007,4,4,8
9.00E-07,8,8,15,,,,,0.0000003,0,0,8
1.00E-06,6,6,11,,,,,0.0000008,4,4,8
8.00E-07,4,4,22,,,,,0.0000009,5,5,8
8.00E-07,1,1,31,,,,,0.0000005,0,0,8
9.00E-07,5,5,30,,,,,0.0000006,4,4,9
1.70E-06,17,17,33,,,,,0.0000003,0,0,9
1.10E-06,9,9,32,,,,,0.0000008,5,5,9
1.90E-06,18,18,40,,,,,0.0000006,0,0,9
5.00E-07,2,2,40,,,,,0.0000008,7,7,9
1.10E-06,11,11,35,,,,,0.0000008,4,4,9
1.60E-06,15,15,37,,,,,0.0000024,8,8,9
6.00E-07,4,4,40,,,,,0.0000005,0,0,9
3.10E-06,33,33,48,,,,,0.0000005,2,2,9
2.80E-06,35,35,52,,,,,0.0000005,3,3,9
2.40E-06,31,31,49,,,,,0.0000009,3,3,9
8.00E-07,6,6,45,,,,,0.0000006,3,3,9
4.20E-06,53,53,58,,,,,0.0000009,8,8,9
2.40E-06,31,31,59,,,,,0.0000004,0,0,9
3.60E-06,44,44,67,,,,,0.0000008,0,0,9
1.20E-06,10,10,75,,,,,0.0000011,3,3,9
2.70E-06,35,35,75,,,,,0.0000011,8,8,9
3.00E-06,36,36,73,,,,,0.0000006,2,2,9
2.30E-06,27,27,80,,,,,0.0000008,6,6,9
9.00E-07,8,8,79,,,,,0.0000005,1,1,9
1.70E-06,19,19,83,,,,,0.0000007,6,6,9
9.00E-07,8,8,84,,,,,0.0000006,2,2,9
1.20E-06,13,13,86,,,,,0.0000008,6,6,9
3.30E-06,38,38,81,,,,,0.0000005,0,0,9
1.40E-06,13,13,76,,,,,0.0000005,2,2,9
1.10E-06,8,8,86,,,,,0.0000012,5,5,9
7.00E-07,4,4,91,,,,,0.0000013,5,5,9
4.20E-06,40,40,94,,,,,0.0000011,6,6,9
1.00E-06,10,10,95,,,,,0.0000008,2,2,9
3.00E-07,0,0,94,,,,,0.0000009,7,7,10
8.40E-06,86,86,93,,,,,0.0000004,1,1,10
2.00E-06,22,22,86,,,,,0.0000005,1,1,10
1.60E-06,15,15,85,,,,,0.0000007,5,5,10
1.20E-06,12,12,82,,,,,0.0000006,1,1,10
1.70E-06,19,19,87,,,,,0.0000012,7,7,10
2.00E-06,21,21,80,,,,,0.0000007,2,2,10
9.00E-07,6,6,74,,,,,0.000001,5,5,10
2.70E-06,27,27,81,,,,,0.0000007,3,3,10
5.80E-06,79,79,82,,,,,0.0000004,0,0,10
1.90E-06,12,12,81,,,,,0.0000007,4,4,10
5.70E-06,79,79,84,,,,,0.0000008,7,7,10
3.50E-06,48,48,86,,,,,0.0000003,0,0,10
1.90E-06,22,22,83,,,,,0.0000004,1,1,10
1.10E-06,12,12,84,,,,,0.0000011,6,6,10
4.60E-06,62,62,86,,,,,0.0000007,3,3,10
1.10E-06,8,8,92,,,,,0.0000006,2,2,10
2.60E-06,32,32,93,,,,,0.0000008,7,7,10
1.10E-06,10,10,92,,,,,0.0000011,7,7,10
3.10E-06,39,39,92,,,,,0.0000009,8,8,10
2.50E-06,29,29,92,,,,,0.0000007,5,5,10
9.00E-07,7,7,94,,,,,0.0000009,7,7,10
2.90E-06,38,38,94,,,,,0.0000006,3,3,10
1.90E-06,22,22,97,,,,,0.0000008,3,3,10
9.00E-07,5,5,92,,,,,0.000001,8,8,10
2.10E-06,24,24,97,,,,,0.0000005,0,0,10
7.00E-07,1,1,103,,,,,0.0000006,2,2,10
2.40E-06,21,21,103,,,,,0.0000006,4,4,10
2.70E-06,35,35,103,,,,,0.0000009,8,8,10
1.90E-06,21,21,109,,,,,0.0000006,4,4,10
1.80E-06,20,20,104,,,,,0.000001,8,8,10
3.50E-06,47,47,105,,,,,0.0000005,1,1,10
2.50E-06,33,33,99,,,,,0.0000008,6,6,10
3.40E-06,48,48,100,,,,,0.0000007,6,6,10
1.60E-06,16,16,102,,,,,0.0000005,1,1,10
4.20E-06,50,50,100,,,,,0.0000006,2,2,10
1.30E-06,14,14,100,,,,,0.0000003,0,0,10
7.00E-07,4,4,98,,,,,0.0000003,0,0,10
1.60E-06,16,16,99,,,,,0.0000006,3,3,10
3.20E-06,44,44,99,,,,,0.0000008,4,4,10
1.40E-06,10,10,95,,,,,0.0000008,4,4,10
2.10E-06,25,25,95,,,,,0.0000007,6,6,10
1.90E-06,23,23,95,,,,,0.0000011,8,8,10
6.00E-07,4,4,96,,,,,0.000001,6,6,10
1.90E-06,20,20,93,,,,,0.0000007,5,5,11
1.80E-06,20,20,94,,,,,0.0000009,7,7,11
7.00E-07,3,3,101,,,,,0.000001,6,6,11
2.10E-06,27,27,93,,,,,0.0000007,5,5,11
5.00E-07,3,3,99,,,,,0.0000006,1,1,11
2.40E-06,25,25,95,,,,,0.0000006,4,4,11
1.50E-06,18,18,93,,,,,0.0000008,6,6,11
2.30E-06,24,24,89,,,,,0.0000005,0,0,11
3.40E-06,45,45,90,,,,,0.0000003,0,0,11
2.10E-06,25,25,89,,,,,0.0000007,5,5,11
2.50E-06,15,15,92,,,,,0.000001,9,9,11
2.50E-06,23,23,83,,,,,0.0000009,7,7,11
2.80E-06,31,31,85,,,,,0.0000009,6,6,11
3.90E-06,49,49,86,,,,,0.0000011,10,10,11
5.70E-06,72,72,84,,,,,0.0000004,1,1,11
4.00E-07,0,0,81,,,,,0.0000008,5,5,11
4.00E-07,0,0,82,,,,,0.0000007,3,3,11
2.90E-06,38,38,94,,,,,0.0000007,2,2,11
1.70E-06,18,18,87,,,,,0.0000008,5,5,11
1.60E-06,17,17,92,,,,,0.0000005,1,1,11
2.80E-06,37,37,93,,,,,0.0000007,4,4,11
2.80E-06,38,38,96,,,,,0.0000006,4,4,11
3.10E-06,37,37,94,,,,,0.0000013,10,10,11
2.30E-06,31,31,98,,,,,0.0000011,10,10,11
2.40E-06,24,24,96,,,,,0.0000007,2,2,11
1.40E-06,7,7,89,,,,,0.000001,9,9,11
3.00E-06,23,23,94,,,,,0.0000005,2,2,11
1.40E-06,8,8,96,,,,,0.0000006,1,1,11
1.50E-06,16,16,96,,,,,0.0000011,9,9,11
2.70E-06,34,34,96,,,,,0.0000007,5,5,11
1.70E-06,21,21,98,,,,,0.0000006,3,3,11
2.70E-06,37,37,100,,,,,0.0000008,6,6,11
5.20E-06,66,66,98,,,,,0.0000012,9,9,11
2.30E-06,28,28,98,,,,,0.0000007,1,1,11
6.00E-07,1,1,98,,,,,0.0000009,2,2,11
3.20E-06,33,33,95,,,,,0.0000004,0,0,11
