cas operacie,index prvku,dlzka zoznamu,,
1.90E-05,9,9,,
2.00E-05,11,11,,
1.93E-05,9,9,,
1.92E-05,11,11,,
1.90E-05,11,11,,
1.88E-05,10,10,,
2.26E-05,11,11,,
2.98E-05,14,14,,
1.90E-05,15,15,,
2.87E-05,15,15,,
1.93E-05,16,16,,
1.78E-05,13,13,,
2.08E-05,12,12,,
1.81E-05,14,14,,
1.83E-05,11,11,,
1.81E-05,15,15,,
2.45E-05,11,11,,
1.80E-05,13,13,,
1.82E-05,13,13,,
1.78E-05,12,12,,
1.82E-05,18,18,,
1.80E-05,17,17,,
1.81E-05,17,17,,
1.79E-05,16,16,,
9.31E-05,21,21,,
2.59E-05,21,21,,
2.00E-05,24,24,,
2.22E-05,23,23,,
2.04E-05,24,24,,
1.94E-05,34,34,,
1.85E-05,33,33,,
1.87E-05,33,33,,
3.05E-05,32,32,,
1.92E-05,32,32,,
2.30E-05,30,30,,
2.05E-05,29,29,,
2.00E-05,29,29,,
1.90E-05,33,33,,
1.91E-05,32,32,,
2.44E-05,32,32,,
1.92E-05,32,32,,
1.87E-05,34,34,,
1.91E-05,34,34,,
2.18E-05,38,38,,
2.05E-05,37,37,,
1.95E-05,35,35,,
1.90E-05,35,35,,
1.93E-05,37,37,,
1.89E-05,41,41,,
1.89E-05,39,39,,
2.01E-05,46,46,,
1.93E-05,47,47,,
1.95E-05,49,49,,
1.91E-05,52,52,,
1.93E-05,51,51,,
1.94E-05,47,47,,
1.92E-05,47,47,,
1.96E-05,51,51,,
2.38E-05,58,58,,
1.94E-05,57,57,,
1.96E-05,57,57,,
1.93E-05,56,56,,
1.94E-05,55,55,,
2.14E-05,60,60,,
2.08E-05,59,59,,
2.47E-05,59,59,,
1.95E-05,57,57,,
2.81E-05,62,62,,
2.21E-05,67,67,,
2.30E-05,66,66,,
2.03E-05,72,72,,
2.01E-05,73,73,,
4.29E-05,73,73,,
2.03E-05,75,75,,
2.02E-05,74,74,,
2.05E-05,78,78,,
2.01E-05,78,78,,
2.02E-05,78,78,,
2.16E-05,79,79,,
2.25E-05,81,81,,
2.07E-05,86,86,,
2.03E-05,80,80,,
2.22E-05,77,77,,
2.05E-05,76,76,,
2.06E-05,76,76,,
2.03E-05,75,75,,
2.19E-05,77,77,,
2.56E-05,78,78,,
2.03E-05,81,81,,
2.12E-05,90,90,,
2.67E-05,87,87,,
2.05E-05,90,90,,
2.16E-05,94,94,,
2.08E-05,94,94,,
2.08E-05,93,93,,
2.05E-05,94,94,,
2.23E-05,94,94,,
3.06E-05,93,93,,
2.39E-05,92,92,,
2.20E-05,91,91,,
2.11E-05,87,87,,
2.08E-05,90,90,,
2.07E-05,88,88,,
2.05E-05,87,87,,
2.05E-05,85,85,,
2.05E-05,83,83,,
2.04E-05,81,81,,
2.01E-05,81,81,,
3.11E-05,84,84,,
2.08E-05,84,84,,
2.04E-05,82,82,,
2.04E-05,82,82,,
2.14E-05,81,81,,
2.30E-05,82,82,,
2.05E-05,85,85,,
2.08E-05,86,86,,
2.05E-05,87,87,,
2.05E-05,88,88,,
2.03E-05,87,87,,
2.21E-05,87,87,,
2.09E-05,86,86,,
2.66E-05,85,85,,
2.10E-05,84,84,,
2.14E-05,80,80,,
2.16E-05,77,77,,
2.07E-05,76,76,,
2.04E-05,75,75,,
2.04E-05,73,73,,
2.01E-05,73,73,,
2.04E-05,74,74,,
2.03E-05,74,74,,
2.01E-05,73,73,,
2.01E-05,73,73,,
2.03E-05,74,74,,
2.22E-05,77,77,,
2.04E-05,78,78,,
2.00E-05,76,76,,
1.99E-05,75,75,,
3.58E-05,82,82,,
3.19E-05,81,81,,
2.20E-05,79,79,,
2.15E-05,82,82,,
2.20E-05,85,85,,
2.14E-05,84,84,,
2.15E-05,82,82,,
2.15E-05,84,84,,
2.67E-05,86,86,,
2.19E-05,86,86,,
2.36E-05,91,91,,
2.19E-05,94,94,,
2.20E-05,92,92,,
8.35E-05,92,92,,
2.80E-05,91,91,,
2.50E-05,90,90,,
2.15E-05,90,90,,
2.08E-05,94,94,,
2.04E-05,93,93,,
2.09E-05,90,90,,
2.20E-05,90,90,,
2.08E-05,92,92,,
2.05E-05,91,91,,
2.08E-05,93,93,,
2.07E-05,92,92,,
2.10E-05,92,92,,
2.12E-05,94,94,,
2.11E-05,95,95,,
2.07E-05,94,94,,
2.09E-05,93,93,,
2.24E-05,94,94,,
2.07E-05,93,93,,
2.49E-05,93,93,,
2.10E-05,94,94,,
2.19E-05,95,95,,
2.23E-05,96,96,,
2.10E-05,97,97,,
2.44E-05,94,94,,
2.17E-05,95,95,,
3.00E-05,92,92,,
2.15E-05,96,96,,
2.09E-05,96,96,,
2.09E-05,96,96,,
2.08E-05,95,95,,
2.38E-05,98,98,,
2.66E-05,108,108,,
2.34E-05,105,105,,
2.13E-05,107,107,,
2.26E-05,109,109,,
2.28E-05,106,106,,
2.21E-05,105,105,,
2.13E-05,105,105,,
2.14E-05,104,104,,
2.12E-05,103,103,,
2.12E-05,104,104,,
2.11E-05,105,105,,
2.13E-05,103,103,,
2.10E-05,102,102,,
2.18E-05,101,101,,
2.10E-05,98,98,,
2.09E-05,99,99,,
2.14E-05,98,98,,
2.24E-05,100,100,,
2.10E-05,99,99,,
2.74E-05,97,97,,
2.63E-05,99,99,,
2.12E-05,101,101,,
2.11E-05,100,100,,
2.12E-05,100,100,,
2.76E-05,98,98,,
2.17E-05,100,100,,
2.30E-05,101,101,,
2.18E-05,100,100,,
2.09E-05,98,98,,
2.11E-05,98,98,,
2.08E-05,96,96,,
2.09E-05,95,95,,
2.80E-05,97,97,,
2.13E-05,97,97,,
2.10E-05,96,96,,
2.12E-05,94,94,,
2.10E-05,100,100,,
2.12E-05,102,102,,
2.10E-05,99,99,,
2.08E-05,97,97,,
2.86E-05,96,96,,
2.12E-05,96,96,,
2.07E-05,96,96,,
2.09E-05,96,96,,
2.09E-05,94,94,,
2.48E-05,94,94,,
2.11E-05,93,93,,
2.08E-05,92,92,,
2.11E-05,95,95,,
2.10E-05,97,97,,
2.08E-05,95,95,,
2.09E-05,95,95,,
2.29E-05,100,100,,
2.13E-05,96,96,,
2.10E-05,95,95,,
2.10E-05,94,94,,
2.08E-05,93,93,,
2.08E-05,92,92,,
2.14E-05,98,98,,
2.73E-05,97,97,,
2.12E-05,94,94,,
2.13E-05,94,94,,
2.10E-05,92,92,,
2.09E-05,92,92,,
2.09E-05,92,92,,
2.11E-05,91,91,,
3.09E-05,93,93,,
2.94E-05,93,93,,
2.57E-05,93,93,,
2.71E-05,93,93,,
2.14E-05,93,93,,
2.10E-05,91,91,,
2.19E-05,89,89,,
2.08E-05,88,88,,
2.72E-05,90,90,,
2.12E-05,89,89,,
2.08E-05,88,88,,
2.05E-05,90,90,,
2.06E-05,90,90,,
2.33E-05,89,89,,
2.95E-05,89,89,,
3.10E-05,84,84,,
2.93E-05,83,83,,
3.59E-05,82,82,,
2.18E-05,85,85,,
2.16E-05,82,82,,
2.14E-05,82,82,,
2.28E-05,81,81,,
2.19E-05,83,83,,
2.15E-05,81,81,,
2.20E-05,78,78,,
2.15E-05,80,80,,
2.16E-05,84,84,,
2.14E-05,81,81,,
2.18E-05,86,86,,
2.16E-05,85,85,,
2.38E-05,90,90,,
2.20E-05,90,90,,
2.16E-05,88,88,,
2.19E-05,82,82,,
2.27E-05,83,83,,
2.79E-05,86,86,,
2.12E-05,89,89,,
2.05E-05,85,85,,
2.09E-05,84,84,,
2.12E-05,81,81,,
2.04E-05,79,79,,
2.26E-05,79,79,,
2.07E-05,85,85,,
2.06E-05,85,85,,
2.04E-05,85,85,,
2.04E-05,84,84,,
2.04E-05,82,82,,
