cas operacie,vybrane cislo,velkost frontu,,,
3.00E-07,23,193,,,
4.00E-07,45,197,,,
3.00E-07,41,199,,,
4.00E-07,40,200,,,
3.00E-07,33,204,,,
4.00E-07,43,204,,,
6.00E-07,41,210,,,
3.00E-07,34,212,,,
3.00E-07,23,220,,,
2.00E-07,14,219,,,
3.00E-07,11,220,,,
2.00E-07,27,221,,,
2.00E-07,6,221,,,
3.00E-07,20,222,,,
3.00E-07,38,221,,,
3.00E-07,36,231,,,
2.00E-07,28,232,,,
2.00E-07,33,231,,,
3.00E-07,17,232,,,
2.00E-07,33,232,,,
3.00E-07,42,232,,,
3.00E-07,47,233,,,
3.00E-07,43,234,,,
4.00E-07,34,235,,,
2.00E-07,10,234,,,
4.00E-07,14,236,,,
3.00E-07,39,236,,,
3.00E-07,33,235,,,
4.00E-07,40,237,,,
4.00E-07,27,237,,,
3.00E-07,25,238,,,
3.00E-07,40,237,,,
3.00E-07,16,242,,,
0.0001257,21,241,,,
3.00E-07,38,240,,,
2.00E-07,29,242,,,
2.00E-07,23,244,,,
2.00E-07,49,248,,,
3.00E-07,28,247,,,
3.00E-07,23,249,,,
3.00E-07,25,248,,,
3.00E-07,48,247,,,
4.00E-07,49,246,,,
3.00E-07,35,252,,,
3.00E-07,29,251,,,
3.00E-07,22,252,,,
3.00E-07,11,251,,,
3.00E-07,11,251,,,
2.00E-07,40,250,,,
3.00E-07,40,250,,,
3.00E-07,1,252,,,
3.00E-07,38,252,,,
3.00E-07,25,255,,,
3.00E-07,8,256,,,
2.00E-07,16,255,,,
4.00E-07,12,260,,,
3.00E-07,34,265,,,
2.00E-07,21,264,,,
3.00E-07,17,263,,,
3.00E-07,21,263,,,
3.00E-07,13,262,,,
3.00E-07,46,262,,,
3.00E-07,6,263,,,
2.00E-07,41,264,,,
3.00E-07,47,263,,,
2.00E-07,35,263,,,
3.00E-07,40,267,,,
4.00E-07,42,267,,,
4.00E-07,29,268,,,
3.00E-07,41,268,,,
3.00E-07,3,268,,,
3.00E-07,42,270,,,
4.00E-07,48,282,,,
3.00E-07,30,281,,,
2.00E-07,46,284,,,
3.00E-07,35,289,,,
2.00E-07,17,292,,,
2.00E-07,15,293,,,
3.00E-07,49,297,,,
4.00E-07,48,297,,,
4.00E-07,15,296,,,
3.00E-07,3,296,,,
3.00E-07,37,296,,,
5.00E-07,1,301,,,
6.00E-07,9,300,,,
6.00E-07,47,305,,,
3.00E-07,8,304,,,
3.00E-07,13,303,,,
2.00E-06,20,302,,,
6.00E-07,29,306,,,
4.00E-07,14,307,,,
5.00E-07,49,309,,,
4.00E-07,50,308,,,
6.00E-07,15,307,,,
3.00E-07,13,309,,,
4.00E-07,45,308,,,
5.00E-07,10,309,,,
5.00E-07,6,308,,,
4.00E-07,29,310,,,
4.00E-07,43,309,,,
5.00E-07,23,310,,,
3.00E-07,36,309,,,
6.00E-07,13,308,,,
7.00E-07,29,307,,,
4.00E-07,29,309,,,
4.00E-07,24,309,,,
3.00E-07,30,308,,,
3.00E-07,34,308,,,
3.00E-07,11,307,,,
3.00E-07,30,308,,,
3.00E-07,39,309,,,
6.00E-07,45,308,,,
3.00E-07,28,308,,,
3.00E-07,49,307,,,
3.00E-07,14,309,,,
4.00E-07,27,310,,,
3.00E-07,10,309,,,
3.00E-07,21,308,,,
0.0001704,23,308,,,
3.00E-07,7,308,,,
3.00E-07,33,308,,,
3.00E-07,19,311,,,
2.00E-07,19,313,,,
3.00E-07,9,313,,,
3.00E-07,14,312,,,
3.00E-07,16,311,,,
3.00E-07,30,310,,,
3.00E-07,17,310,,,
3.00E-07,39,309,,,
3.00E-07,18,308,,,
3.00E-07,32,314,,,
3.00E-07,14,313,,,
3.00E-07,5,314,,,
3.00E-07,35,315,,,
3.00E-07,9,316,,,
3.00E-07,45,316,,,
3.00E-07,17,318,,,
2.00E-07,23,317,,,
3.00E-07,11,317,,,
3.00E-07,12,318,,,
3.00E-07,44,320,,,
3.00E-07,45,326,,,
3.00E-07,39,329,,,
3.00E-07,30,332,,,
2.00E-07,31,331,,,
3.00E-07,1,334,,,
4.00E-07,15,335,,,
4.00E-07,29,335,,,
4.00E-07,18,334,,,
2.00E-07,11,336,,,
4.00E-07,11,337,,,
3.00E-07,14,339,,,
4.00E-07,10,338,,,
3.00E-07,2,337,,,
3.00E-07,24,337,,,
4.00E-07,25,336,,,
3.00E-07,12,338,,,
3.00E-07,12,343,,,
3.00E-07,37,342,,,
3.00E-07,16,342,,,
2.00E-07,32,342,,,
3.00E-07,18,342,,,
3.00E-07,18,343,,,
2.00E-07,21,346,,,
2.00E-07,38,345,,,
3.00E-07,13,349,,,
3.00E-07,13,350,,,
3.00E-07,50,351,,,
2.00E-07,12,350,,,
3.00E-07,37,349,,,
4.00E-07,17,349,,,
3.00E-07,25,349,,,
3.00E-07,19,348,,,
2.00E-07,33,349,,,
3.00E-07,3,351,,,
3.00E-07,24,351,,,
3.00E-07,15,350,,,
3.00E-07,27,349,,,
3.00E-07,21,350,,,
4.00E-07,33,349,,,
3.00E-07,16,348,,,
2.00E-07,41,353,,,
3.00E-07,28,352,,,
3.00E-07,27,352,,,
2.00E-07,50,354,,,
3.00E-07,12,353,,,
3.00E-07,12,353,,,
3.00E-07,29,355,,,
3.00E-07,46,354,,,
4.00E-07,37,353,,,
3.00E-07,26,353,,,
3.00E-07,14,354,,,
