cas operacie,vlozene cislo,priorita,velkost frontu,,,
5.00E-07,6,7010,123,,,
5.00E-07,20,6794,124,,,
6.00E-07,23,8847,123,,,
5.00E-07,4,7835,123,,,
5.00E-07,45,1709,124,,,
4.00E-07,44,7623,125,,,
6.00E-07,18,5240,126,,,
5.00E-07,37,7089,127,,,
4.00E-07,2,7678,128,,,
6.00E-07,46,2744,128,,,
6.00E-07,44,3437,129,,,
4.00E-07,32,5831,130,,,
5.00E-07,2,643,131,,,
5.00E-07,49,7120,129,,,
4.00E-07,30,6699,129,,,
5.00E-07,14,8291,126,,,
6.00E-07,24,3387,126,,,
4.00E-07,13,2579,127,,,
5.00E-07,8,4804,126,,,
4.00E-07,9,9037,127,,,
5.00E-07,37,7837,128,,,
6.00E-07,38,1429,129,,,
8.00E-07,3,4154,130,,,
6.00E-07,11,8903,131,,,
8.00E-07,43,1233,132,,,
6.00E-07,50,826,133,,,
8.00E-07,26,2332,134,,,
6.00E-07,5,3092,135,,,
6.00E-07,17,2137,135,,,
9.00E-07,19,981,136,,,
8.00E-07,45,710,137,,,
6.00E-07,34,1873,137,,,
4.00E-07,40,6930,138,,,
5.00E-07,25,9701,138,,,
7.00E-07,4,3956,138,,,
5.00E-07,35,7121,139,,,
8.00E-07,39,5310,140,,,
8.00E-07,11,6707,141,,,
6.00E-07,14,1666,141,,,
7.00E-07,32,1466,142,,,
5.00E-07,45,5757,142,,,
7.00E-07,41,4117,140,,,
4.00E-07,18,9035,139,,,
5.00E-07,35,463,139,,,
6.00E-07,14,1985,140,,,
5.00E-07,1,2311,138,,,
5.00E-07,36,3383,136,,,
5.00E-07,7,3025,136,,,
5.00E-07,48,8891,137,,,
6.00E-07,44,4843,138,,,
6.00E-07,32,2730,139,,,
5.00E-07,39,1172,140,,,
5.00E-07,22,8225,141,,,
6.00E-07,10,1473,142,,,
6.00E-07,38,4242,140,,,
5.00E-07,6,684,141,,,
7.00E-07,12,6600,142,,,
5.00E-07,35,7300,142,,,
4.00E-07,13,305,141,,,
6.00E-07,24,3615,142,,,
5.00E-07,25,387,143,,,
5.00E-07,8,2859,144,,,
7.00E-07,19,6472,145,,,
5.00E-07,17,1499,144,,,
5.00E-07,32,3323,145,,,
4.00E-07,29,416,144,,,
7.00E-07,27,9836,145,,,
5.00E-07,34,2844,146,,,
8.00E-07,13,4154,147,,,
2.00E-06,26,9068,148,,,
6.00E-07,44,657,149,,,
5.00E-07,2,1014,150,,,
5.00E-07,16,947,151,,,
4.00E-07,11,7323,152,,,
5.00E-07,43,3550,152,,,
5.00E-07,37,9464,153,,,
5.00E-07,4,7648,154,,,
8.00E-07,49,2125,155,,,
9.00E-07,15,2276,156,,,
7.00E-07,48,2267,154,,,
6.00E-07,2,3291,155,,,
5.00E-07,8,9831,155,,,
5.00E-07,10,6872,156,,,
5.00E-07,20,7155,156,,,
7.00E-07,30,2883,157,,,
7.00E-07,40,2125,158,,,
5.00E-07,13,5227,159,,,
6.00E-07,44,1869,160,,,
6.00E-07,23,6576,161,,,
5.00E-07,4,8706,162,,,
5.00E-07,26,9302,160,,,
5.00E-07,30,2358,161,,,
4.00E-07,11,4748,162,,,
4.00E-07,2,5460,163,,,
5.00E-07,21,9726,164,,,
5.00E-07,17,4551,165,,,
5.00E-07,9,9277,165,,,
5.00E-07,39,4284,164,,,
6.00E-07,1,763,163,,,
5.00E-07,10,9403,164,,,
5.00E-07,12,8884,165,,,
6.00E-07,21,1286,166,,,
5.00E-07,46,8342,165,,,
6.00E-07,39,8907,165,,,
6.00E-07,4,7569,166,,,
5.00E-07,22,8779,166,,,
4.00E-07,49,1229,167,,,
6.00E-07,48,3537,167,,,
5.00E-07,45,6717,166,,,
5.00E-07,3,8552,167,,,
8.00E-07,31,3523,168,,,
7.00E-07,38,500,169,,,
4.00E-07,2,9042,168,,,
4.00E-07,44,3063,167,,,
4.00E-07,6,745,167,,,
4.00E-07,50,7536,168,,,
6.00E-07,33,7379,169,,,
6.00E-07,11,5036,170,,,
7.00E-07,21,806,171,,,
6.00E-07,25,2756,171,,,
5.00E-07,24,3031,172,,,
4.00E-07,29,1635,172,,,
4.00E-07,15,9901,172,,,
7.00E-07,48,5450,173,,,
4.00E-07,4,6683,174,,,
5.00E-07,46,399,174,,,
9.00E-07,7,725,175,,,
5.00E-07,42,403,175,,,
5.00E-07,34,6765,176,,,
5.00E-07,23,6390,176,,,
5.00E-07,46,8804,176,,,
8.00E-07,24,8525,175,,,
5.00E-07,50,325,176,,,
7.00E-07,34,1519,177,,,
8.00E-07,36,1665,178,,,
6.00E-07,39,4570,179,,,
1.10E-06,3,4087,180,,,
7.00E-07,6,2540,177,,,
5.00E-07,5,293,178,,,
1.00E-06,10,9402,179,,,
1.18E-05,50,6786,180,,,
6.00E-07,45,2007,180,,,
5.00E-07,19,1046,181,,,
7.00E-07,42,840,176,,,
4.00E-07,44,34,177,,,
6.00E-07,21,2635,178,,,
5.00E-07,10,5087,179,,,
6.00E-07,35,3317,180,,,
5.00E-07,36,6207,180,,,
7.00E-07,13,1344,181,,,
5.00E-07,1,7134,182,,,
6.00E-07,17,6486,181,,,
5.00E-07,16,5898,182,,,
7.00E-07,16,4959,183,,,
7.00E-07,19,4101,184,,,
5.00E-07,24,6137,184,,,
6.00E-07,2,1142,185,,,
5.00E-07,27,7954,186,,,
6.00E-07,19,911,187,,,
7.00E-07,49,1549,188,,,
9.00E-07,38,1444,189,,,
5.00E-07,13,8012,189,,,
7.00E-07,29,4661,190,,,
5.00E-07,20,6035,191,,,
8.00E-07,26,3511,192,,,
7.00E-07,27,263,193,,,
1.00E-06,44,2052,193,,,
5.00E-07,15,7781,192,,,
4.00E-07,40,8784,191,,,
5.00E-07,8,1571,192,,,
5.00E-07,12,1194,193,,,
4.00E-07,44,916,194,,,
5.00E-07,35,7605,193,,,
6.00E-07,37,4380,194,,,
4.00E-07,30,898,192,,,
5.00E-07,12,6654,193,,,
5.00E-07,50,6691,193,,,
5.00E-07,45,7779,193,,,
5.00E-07,23,670,193,,,
6.00E-07,45,1181,194,,,
7.00E-07,18,4756,194,,,
5.00E-07,17,5373,195,,,
6.00E-07,40,3069,196,,,
5.00E-07,26,5658,197,,,
5.00E-07,41,1946,198,,,
5.00E-07,35,8007,198,,,
