cas operacie,index prvku,dlzka zoznamu,,,sum,pocet
9.51E-05,16,18,,,,
8.44E-05,0,19,,,,
9.10E-05,11,21,,,,
8.43E-05,9,20,,,,
8.37E-05,7,22,,,,
8.29E-05,3,19,,,,
8.35E-05,3,18,,,,
8.82E-05,5,21,,,,
8.34E-05,12,27,,,,
8.35E-05,14,25,,,,
8.38E-05,0,24,,,,
8.31E-05,18,24,,,,
8.40E-05,8,23,,,,
8.34E-05,19,23,,,,
8.40E-05,2,26,,,,
8.39E-05,23,27,,,,
9.39E-05,4,26,,,,
9.08E-05,20,23,,,,
8.61E-05,15,26,,,,
0.0001653,6,23,,,,
8.49E-05,11,26,,,,
8.40E-05,4,25,,,,
8.52E-05,25,28,,,,
8.38E-05,32,34,,,,
8.40E-05,0,36,,,,
8.38E-05,16,35,,,,
8.40E-05,29,35,,,,
0.0007834,9,35,,,,
8.41E-05,6,35,,,,
8.34E-05,22,34,,,,
8.59E-05,4,33,,,,
8.36E-05,16,33,,,,
8.37E-05,31,37,,,,
8.40E-05,32,39,,,,
8.58E-05,5,36,,,,
8.37E-05,26,44,,,,
8.36E-05,9,44,,,,
8.42E-05,19,44,,,,
8.36E-05,38,42,,,,
8.38E-05,29,41,,,,
8.38E-05,29,42,,,,
8.41E-05,16,44,,,,
8.41E-05,5,48,,,,
8.41E-05,16,48,,,,
8.40E-05,15,53,,,,
0.0004038,25,51,,,,
8.41E-05,38,52,,,,
8.32E-05,15,49,,,,
0.000167,44,48,,,,
8.51E-05,25,44,,,,
8.35E-05,34,43,,,,
8.41E-05,25,47,,,,
8.40E-05,23,53,,,,
8.41E-05,45,54,,,,
8.41E-05,45,55,,,,
8.57E-05,20,54,,,,
8.47E-05,47,53,,,,
8.41E-05,21,54,,,,
8.36E-05,35,56,,,,
8.39E-05,54,57,,,,
8.38E-05,35,56,,,,
9.17E-05,20,56,,,,
8.65E-05,7,56,,,,
0.0001525,50,61,,,,
8.40E-05,33,60,,,,
0.0002546,33,60,,,,
8.52E-05,25,58,,,,
8.45E-05,55,57,,,,
9.16E-05,27,56,,,,
8.60E-05,45,55,,,,
0.0001039,9,59,,,,
0.0001356,4,59,,,,
0.0001689,27,58,,,,
8.48E-05,10,62,,,,
0.0003185,47,67,,,,
8.49E-05,23,67,,,,
8.34E-05,4,61,,,,
9.02E-05,66,71,,,,
8.51E-05,26,73,,,,
8.99E-05,72,75,,,,
8.38E-05,72,78,,,,
8.41E-05,68,75,,,,
8.49E-05,47,74,,,,
8.36E-05,16,76,,,,
8.28E-05,24,75,,,,
8.39E-05,5,75,,,,
8.39E-05,47,73,,,,
8.39E-05,52,73,,,,
8.59E-05,43,75,,,,
8.91E-05,47,79,,,,
8.41E-05,25,78,,,,
8.38E-05,58,77,,,,
8.47E-05,61,77,,,,
8.36E-05,64,76,,,,
9.06E-05,69,81,,,,
8.42E-05,24,81,,,,
8.40E-05,42,84,,,,
8.37E-05,2,83,,,,
8.41E-05,14,81,,,,
8.33E-05,1,79,,,,
8.35E-05,58,77,,,,
8.44E-05,56,74,,,,
8.40E-05,18,77,,,,
8.49E-05,22,75,,,,
8.44E-05,71,74,,,,
8.40E-05,0,72,,,,
8.40E-05,25,72,,,,
8.45E-05,9,73,,,,
8.40E-05,26,71,,,,
8.47E-05,6,70,,,,
0.0001172,67,72,,,,
0.0001019,48,71,,,,
0.0001578,42,70,,,,
8.42E-05,30,67,,,,
8.43E-05,4,67,,,,
8.38E-05,48,67,,,,
8.37E-05,29,66,,,,
8.35E-05,5,65,,,,
8.47E-05,15,65,,,,
8.43E-05,54,64,,,,
8.47E-05,45,63,,,,
8.41E-05,53,63,,,,
8.50E-05,39,62,,,,
