cas operacie,cislo,index prvku,dlzka zoznamu,,sum,pocet
2.45E-05,88,42,63,,,
2.87E-05,82,4,62,,,
2.47E-05,88,28,61,,,
2.65E-05,77,11,63,,,
2.46E-05,89,15,64,,,
2.99E-05,74,41,68,,,
2.63E-05,89,31,69,,,
2.57E-05,85,7,70,,,
2.55E-05,78,22,68,,,
2.55E-05,86,42,67,,,
3.51E-05,81,2,68,,,
3.33E-05,76,60,71,,,
2.55E-05,75,26,69,,,
2.54E-05,82,56,69,,,
4.30E-05,80,14,71,,,
2.56E-05,87,26,70,,,
3.02E-05,76,18,69,,,
2.55E-05,85,62,70,,,
2.46E-05,86,12,72,,,
2.46E-05,88,63,74,,,
2.46E-05,89,55,68,,,
2.90E-05,84,8,71,,,
2.92E-05,85,5,75,,,
2.87E-05,72,75,77,,,
2.47E-05,87,44,75,,,
2.49E-05,85,58,77,,,
2.46E-05,87,4,77,,,
2.88E-05,86,59,77,,,
3.12E-05,84,47,76,,,
2.48E-05,83,75,77,,,
2.63E-05,84,53,77,,,
2.48E-05,82,20,80,,,
2.73E-05,73,14,71,,,
4.40E-05,86,20,71,,,
2.55E-05,76,44,69,,,
2.55E-05,72,56,69,,,
2.46E-05,74,33,64,,,
2.44E-05,88,38,61,,,
2.47E-05,86,37,57,,,
3.01E-05,75,15,49,,,
4.06E-05,74,7,52,,,
2.55E-05,81,9,46,,,
2.54E-05,75,40,46,,,
2.58E-05,80,26,48,,,
2.54E-05,84,22,49,,,
2.56E-05,90,22,41,,,
3.21E-05,90,10,38,,,
2.48E-05,78,3,35,,,
2.50E-05,76,10,34,,,
2.47E-05,83,31,36,,,
2.55E-05,74,30,32,,,
2.91E-05,78,17,32,,,
2.46E-05,88,11,33,,,
2.45E-05,79,3,32,,,
2.43E-05,87,7,31,,,
2.44E-05,71,8,29,,,
3.22E-05,83,24,29,,,
2.48E-05,77,13,28,,,
2.47E-05,77,24,31,,,
2.46E-05,85,10,30,,,
2.45E-05,86,24,31,,,
2.45E-05,85,7,31,,,
2.46E-05,71,17,28,,,
3.21E-05,88,29,31,,,
2.47E-05,75,18,31,,,
2.45E-05,74,19,27,,,
2.45E-05,79,14,28,,,
2.50E-05,84,0,26,,,
2.47E-05,88,10,27,,,
2.46E-05,90,12,28,,,
2.44E-05,78,18,27,,,
2.45E-05,77,3,29,,,
2.47E-05,73,11,29,,,
2.46E-05,76,0,29,,,
2.45E-05,89,24,33,,,
2.49E-05,75,23,38,,,
2.43E-05,89,28,41,,,
2.47E-05,71,27,41,,,
2.47E-05,81,6,40,,,
2.48E-05,90,31,39,,,
2.48E-05,73,41,44,,,
3.00E-05,76,24,48,,,
2.48E-05,75,2,49,,,
2.56E-05,71,41,48,,,
2.90E-05,88,1,48,,,
2.49E-05,82,16,49,,,
2.48E-05,71,11,52,,,
2.46E-05,87,21,52,,,
2.67E-05,83,1,48,,,
3.08E-05,79,21,48,,,
3.32E-05,78,2,48,,,
2.49E-05,77,12,49,,,
2.46E-05,88,6,47,,,
2.47E-05,87,27,42,,,
2.43E-05,88,6,43,,,
2.64E-05,87,40,48,,,
2.55E-05,79,13,47,,,
2.72E-05,76,20,43,,,
2.52E-05,79,13,43,,,
2.49E-05,73,32,44,,,
2.45E-05,83,0,46,,,
2.46E-05,78,16,46,,,
2.54E-05,82,22,40,,,
2.48E-05,90,32,38,,,
2.46E-05,89,9,41,,,
2.45E-05,78,15,40,,,
2.44E-05,85,2,41,,,
2.46E-05,78,6,43,,,
2.44E-05,81,12,43,,,
2.56E-05,83,0,43,,,
3.00E-05,82,1,42,,,
2.53E-05,79,36,42,,,
2.44E-05,88,10,40,,,
2.48E-05,80,37,42,,,
2.48E-05,80,14,42,,,
2.47E-05,76,31,42,,,
2.49E-05,76,29,43,,,
2.46E-05,90,25,43,,,
2.48E-05,73,33,41,,,
4.25E-05,90,20,42,,,
2.47E-05,72,38,41,,,
2.47E-05,86,25,38,,,
2.44E-05,75,35,38,,,
2.47E-05,84,26,38,,,
2.65E-05,90,17,36,,,
2.58E-05,75,13,36,,,
2.56E-05,88,10,33,,,
2.57E-05,84,5,30,,,
2.56E-05,74,11,21,,,
3.52E-05,89,17,26,,,
2.92E-05,79,10,27,,,
2.93E-05,82,23,27,,,
3.42E-05,79,7,23,,,
2.80E-05,82,14,22,,,
2.58E-05,86,15,23,,,
2.59E-05,90,14,21,,,
2.59E-05,90,15,19,,,
2.55E-05,73,14,19,,,
2.49E-05,79,14,24,,,
2.47E-05,72,8,23,,,
2.46E-05,79,6,22,,,
4.63E-05,76,13,23,,,
2.56E-05,78,5,19,,,
2.80E-05,80,9,14,,,
2.58E-05,73,1,14,,,
3.51E-05,85,10,21,,,
2.54E-05,79,18,20,,,
3.16E-05,79,12,18,,,
2.44E-05,86,0,15,,,
2.42E-05,73,11,18,,,
2.45E-05,86,3,14,,,
2.44E-05,75,5,15,,,
2.47E-05,77,5,13,,,
2.45E-05,89,9,13,,,
2.45E-05,88,14,16,,,
2.48E-05,81,3,18,,,
2.50E-05,77,7,18,,,
2.45E-05,82,12,18,,,
2.45E-05,80,1,19,,,
