cas operacie,index prvku,dlzka zoznamu,,,sum,pocet
2.46E-05,58,58,,,,
2.46E-05,57,57,,,,
3.76E-05,56,56,,,,
2.95E-05,53,53,,,,
3.68E-05,52,52,,,,
2.97E-05,57,57,,,,
2.61E-05,57,57,,,,
2.58E-05,57,57,,,,
4.15E-05,57,57,,,,
2.57E-05,58,58,,,,
2.59E-05,58,58,,,,
2.57E-05,56,56,,,,
2.53E-05,56,56,,,,
2.46E-05,55,55,,,,
2.46E-05,54,54,,,,
3.73E-05,51,51,,,,
2.60E-05,50,50,,,,
2.60E-05,49,49,,,,
3.10E-05,47,47,,,,
3.17E-05,50,50,,,,
2.58E-05,49,49,,,,
7.53E-05,49,49,,,,
2.60E-05,48,48,,,,
2.48E-05,49,49,,,,
2.53E-05,49,49,,,,
3.32E-05,48,48,,,,
2.56E-05,48,48,,,,
2.48E-05,46,46,,,,
2.47E-05,38,38,,,,
2.47E-05,35,35,,,,
2.52E-05,38,38,,,,
2.47E-05,39,39,,,,
2.58E-05,41,41,,,,
2.47E-05,40,40,,,,
2.49E-05,38,38,,,,
3.16E-05,37,37,,,,
2.48E-05,35,35,,,,
2.46E-05,34,34,,,,
2.49E-05,31,31,,,,
2.50E-05,28,28,,,,
3.28E-05,26,26,,,,
2.47E-05,29,29,,,,
2.49E-05,30,30,,,,
2.85E-05,31,31,,,,
2.49E-05,33,33,,,,
2.50E-05,34,34,,,,
2.60E-05,33,33,,,,
2.60E-05,32,32,,,,
2.59E-05,31,31,,,,
2.61E-05,31,31,,,,
2.57E-05,29,29,,,,
2.57E-05,32,32,,,,
2.73E-05,31,31,,,,
2.59E-05,32,32,,,,
4.00E-05,30,30,,,,
3.44E-05,31,31,,,,
2.60E-05,32,32,,,,
4.10E-05,25,25,,,,
3.42E-05,29,29,,,,
3.76E-05,32,32,,,,
3.38E-05,30,30,,,,
3.10E-05,29,29,,,,
2.57E-05,32,32,,,,
2.58E-05,31,31,,,,
2.56E-05,30,30,,,,
2.63E-05,30,30,,,,
2.62E-05,29,29,,,,
2.58E-05,29,29,,,,
2.57E-05,28,28,,,,
2.97E-05,29,29,,,,
2.46E-05,30,30,,,,
2.48E-05,29,29,,,,
2.60E-05,29,29,,,,
2.48E-05,28,28,,,,
2.45E-05,26,26,,,,
2.47E-05,27,27,,,,
2.69E-05,27,27,,,,
2.54E-05,35,35,,,,
2.45E-05,34,34,,,,
2.77E-05,37,37,,,,
2.47E-05,39,39,,,,
2.50E-05,38,38,,,,
2.45E-05,36,36,,,,
2.48E-05,36,36,,,,
2.59E-05,32,32,,,,
2.46E-05,29,29,,,,
2.48E-05,28,28,,,,
2.48E-05,29,29,,,,
2.63E-05,27,27,,,,
2.73E-05,35,35,,,,
2.47E-05,33,33,,,,
2.46E-05,31,31,,,,
2.45E-05,30,30,,,,
2.47E-05,30,30,,,,
2.47E-05,32,32,,,,
2.49E-05,30,30,,,,
2.47E-05,28,28,,,,
2.60E-05,25,25,,,,
2.56E-05,24,24,,,,
2.57E-05,22,22,,,,
2.80E-05,22,22,,,,
3.24E-05,21,21,,,,
3.02E-05,20,20,,,,
