cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,sum,pocet
8.55E-05,26,63,87,,,
8.37E-05,31,69,81,,,
8.35E-05,21,38,85,,,
9.14E-05,32,37,82,,,
8.81E-05,15,16,84,,,
8.83E-05,8,79,83,,,
8.48E-05,4,7,85,,,
8.45E-05,33,41,87,,,
8.43E-05,13,35,88,,,
8.57E-05,1,61,86,,,
8.43E-05,7,57,84,,,
8.45E-05,31,38,86,,,
8.75E-05,27,28,86,,,
0.0001204,2,67,86,,,
0.0001192,15,35,87,,,
8.94E-05,6,11,88,,,
8.41E-05,10,8,90,,,
8.62E-05,31,31,91,,,
8.49E-05,17,42,90,,,
0.0001254,22,20,89,,,
0.000212,3,12,90,,,
0.0001204,25,79,92,,,
8.40E-05,34,78,88,,,
0.0001302,11,16,89,,,
9.10E-05,25,7,89,,,
8.44E-05,8,73,88,,,
8.52E-05,3,15,90,,,
8.45E-05,8,82,92,,,
9.53E-05,14,77,93,,,
0.0001241,29,25,88,,,
9.69E-05,26,6,89,,,
8.49E-05,32,57,90,,,
8.50E-05,33,20,90,,,
8.62E-05,33,80,91,,,
8.45E-05,1,71,88,,,
0.000119,17,34,81,,,
0.0001211,31,66,80,,,
0.000123,25,9,83,,,
8.49E-05,26,33,79,,,
8.41E-05,21,4,81,,,
8.41E-05,23,14,83,,,
8.40E-05,1,20,85,,,
8.32E-05,19,51,85,,,
8.53E-05,34,75,81,,,
9.41E-05,19,22,79,,,
8.41E-05,6,54,80,,,
8.37E-05,17,45,82,,,
8.43E-05,6,80,83,,,
8.42E-05,21,36,79,,,
8.36E-05,18,29,81,,,
8.38E-05,32,7,82,,,
8.39E-05,10,6,85,,,
8.35E-05,25,41,86,,,
8.88E-05,7,38,86,,,
8.31E-05,21,79,82,,,
8.37E-05,14,40,82,,,
8.42E-05,1,15,85,,,
8.40E-05,24,45,85,,,
8.45E-05,15,77,86,,,
9.17E-05,23,2,84,,,
8.38E-05,11,69,82,,,
8.34E-05,17,25,81,,,
0.0001662,18,36,82,,,
8.74E-05,22,23,77,,,
0.0001284,28,48,79,,,
8.56E-05,23,51,80,,,
9.27E-05,32,20,81,,,
0.0001144,9,44,80,,,
0.0001145,34,59,79,,,
8.55E-05,17,21,80,,,
8.52E-05,28,50,77,,,
9.63E-05,18,62,79,,,
8.42E-05,32,55,78,,,
8.42E-05,22,62,83,,,
8.32E-05,9,50,84,,,
0.0001782,21,74,84,,,
8.87E-05,28,18,86,,,
8.34E-05,3,28,85,,,
8.40E-05,32,51,78,,,
9.08E-05,14,35,74,,,
8.39E-05,18,62,73,,,
8.40E-05,8,41,72,,,
8.39E-05,11,4,69,,,
8.42E-05,14,58,69,,,
8.55E-05,1,38,70,,,
8.40E-05,14,70,73,,,
8.45E-05,27,9,72,,,
8.40E-05,6,0,73,,,
8.38E-05,23,12,78,,,
8.38E-05,6,57,79,,,
8.34E-05,14,66,78,,,
8.38E-05,32,26,78,,,
0.0001319,29,30,84,,,
8.48E-05,15,47,84,,,
9.21E-05,19,55,86,,,
8.44E-05,24,27,81,,,
8.41E-05,21,55,82,,,
8.34E-05,8,43,84,,,
8.35E-05,24,50,84,,,
8.43E-05,29,52,82,,,
0.0001066,25,44,80,,,
0.0001412,1,25,81,,,
0.0001095,1,66,82,,,
8.41E-05,25,5,79,,,
8.42E-05,30,51,80,,,
0.0001368,26,27,77,,,
0.0001567,22,45,78,,,
8.37E-05,17,22,78,,,
8.47E-05,8,25,76,,,
8.41E-05,8,6,71,,,
8.51E-05,19,29,71,,,
9.05E-05,14,17,65,,,
8.65E-05,5,10,68,,,
0.0001444,33,59,64,,,
8.40E-05,6,60,62,,,
8.41E-05,6,55,64,,,
8.43E-05,18,28,61,,,
9.94E-05,33,9,62,,,
8.57E-05,21,11,61,,,
8.37E-05,20,50,63,,,
8.39E-05,9,49,62,,,
8.36E-05,31,58,63,,,
0.0001665,33,17,62,,,
8.47E-05,21,2,58,,,
8.50E-05,31,0,56,,,
8.49E-05,1,46,56,,,
9.15E-05,3,30,54,,,
0.0001027,34,1,55,,,
8.43E-05,26,49,56,,,
8.96E-05,20,40,58,,,
8.58E-05,8,11,58,,,
0.0001206,20,56,59,,,
0.0003918,4,32,56,,,
0.0001234,24,7,57,,,
9.23E-05,17,54,57,,,
8.57E-05,20,52,57,,,
8.43E-05,23,46,57,,,
8.38E-05,16,24,56,,,
0.0001028,14,31,51,,,
8.51E-05,17,4,52,,,
0.0001084,32,28,48,,,
8.48E-05,8,34,51,,,
8.49E-05,24,7,49,,,
8.53E-05,3,17,51,,,
8.43E-05,14,9,50,,,
8.38E-05,12,32,51,,,
8.71E-05,35,32,49,,,
8.39E-05,13,23,37,,,
8.33E-05,17,29,39,,,
8.95E-05,8,27,38,,,
8.45E-05,6,22,39,,,
8.43E-05,13,18,42,,,
9.20E-05,18,6,37,,,
8.47E-05,5,13,28,,,
8.83E-05,29,16,28,,,
9.21E-05,6,5,35,,,
8.57E-05,9,6,35,,,
8.54E-05,7,33,35,,,
8.34E-05,17,24,34,,,
8.41E-05,2,1,35,,,
8.36E-05,14,19,36,,,
8.54E-05,13,9,33,,,
8.48E-05,10,15,31,,,
9.29E-05,1,21,30,,,
8.47E-05,2,18,28,,,
8.42E-05,26,2,33,,,
8.49E-05,23,10,32,,,
0.0001247,15,26,32,,,
8.57E-05,34,15,27,,,
8.94E-05,32,2,28,,,
0.0001181,12,10,28,,,
0.0001188,11,18,29,,,
0.0001033,11,15,30,,,
0.0001158,12,0,31,,,
0.0001015,20,3,31,,,
0.0001378,28,10,30,,,
