cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,sum,pocet
0.0008723,38,38,56,,,,
6.72E-05,2,2,55,,,,
0.0003787,16,16,55,,,,
0.0010223,45,45,52,,,,
0.0008024,31,31,50,,,,
0.000858,37,37,48,,,,
0.0006331,20,20,48,,,,
0.0006968,30,30,47,,,,
0.0002642,11,11,48,,,,
0.0003043,8,8,47,,,,
0.0002877,12,12,48,,,,
0.0001438,4,4,48,,,,
0.0005011,21,21,50,,,,
4.56E-05,1,1,49,,,,
0.0009145,40,40,47,,,,
0.000178,7,7,46,,,,
8.92E-05,3,3,44,,,,
0.0006241,20,20,39,,,,
0.0004007,17,17,39,,,,
0.000398,17,17,41,,,,
0.0003731,15,15,40,,,,
3.52E-05,0,0,36,,,,
2.30E-05,0,0,35,,,,
4.54E-05,1,1,32,,,,
0.0002218,9,9,27,,,,
0.0004678,20,20,27,,,,
0.0004232,18,18,33,,,,
0.0002157,6,6,28,,,,
0.0003516,11,11,30,,,,
0.0006618,29,29,33,,,,
8.90E-05,3,3,33,,,,
2.38E-05,0,0,32,,,,
0.0002001,8,8,33,,,,
0.0002253,9,9,28,,,,
0.0001176,3,3,29,,,,
0.000375,11,11,30,,,,
0.0001282,3,3,30,,,,
0.0004104,12,12,30,,,,
0.0003059,9,9,29,,,,
0.0001284,3,3,30,,,,
0.0004251,13,13,30,,,,
9.00E-05,3,3,29,,,,
0.0002994,9,9,29,,,,
2.26E-05,0,0,26,,,,
0.0002067,8,8,27,,,,
6.67E-05,2,2,30,,,,
0.0006009,25,25,30,,,,
0.0001331,5,5,30,,,,
0.0002216,9,9,30,,,,
0.0004616,20,20,30,,,,
0.000644,20,20,31,,,,
0.000476,15,15,31,,,,
0.0003143,13,13,35,,,,
0.0003552,15,15,30,,,,
0.0003541,13,13,27,,,,
0.000425,18,18,24,,,,
0.000379,16,16,29,,,,
0.0005211,22,22,30,,,,
0.000424,18,18,31,,,,
0.0002556,10,10,31,,,,
0.0004987,21,21,32,,,,
0.0006036,26,26,31,,,,
9.95E-05,3,3,32,,,,
0.0003541,15,15,35,,,,
0.0001779,7,7,38,,,,
0.0001341,5,5,37,,,,
0.0002671,11,11,38,,,,
0.000711,31,31,37,,,,
0.0001341,5,5,30,,,,
0.000399,17,17,28,,,,
9.16E-05,3,3,29,,,,
0.0002001,8,8,31,,,,
0.0004239,18,18,32,,,,
0.0002244,9,9,32,,,,
0.0001864,7,7,34,,,,
0.0001334,5,5,29,,,,
0.0003328,14,14,25,,,,
0.0001323,5,5,23,,,,
5.78E-05,1,1,17,,,,
7.06E-05,2,2,17,,,,
0.0001048,3,3,13,,,,
0.0003029,11,11,13,,,,
7.97E-05,1,1,13,,,,
4.86E-05,0,0,13,,,,
2.27E-05,0,0,14,,,,
0.0001545,4,4,12,,,,
0.0003756,10,10,11,,,,
2.29E-05,0,0,12,,,,
0.0002443,10,10,14,,,,
0.000225,9,9,14,,,,
0.0001556,6,6,15,,,,
0.0001334,5,5,15,,,,
0.0002717,11,11,17,,,,
0.0001995,8,8,18,,,,
0.0003107,13,13,18,,,,
0.0001339,5,5,18,,,,
4.56E-05,1,1,18,,,,
8.92E-05,3,3,19,,,,
0.0003748,9,9,19,,,,
0.0005075,20,20,23,,,,
0.0001616,6,6,19,,,,
0.0004056,17,17,18,,,,
0.0003157,13,13,16,,,,
