cas operacie,cislo,velkost frontu,,,
3.20E-05,48,432,,,
3.07E-05,48,432,,,
3.02E-05,12,433,,,
3.19E-05,23,436,,,
3.08E-05,23,436,,,
4.94E-05,28,438,,,
3.07E-05,28,439,,,
9.69E-05,28,439,,,
3.34E-05,17,441,,,
3.30E-05,10,438,,,
2.97E-05,48,438,,,
3.03E-05,49,443,,,
3.89E-05,49,446,,,
3.19E-05,22,446,,,
3.08E-05,22,446,,,
3.24E-05,22,447,,,
2.98E-05,22,447,,,
2.75E-05,22,449,,,
2.34E-05,49,452,,,
3.70E-05,49,459,,,
3.70E-05,46,458,,,
3.19E-05,35,460,,,
2.95E-05,35,462,,,
3.05E-05,3,467,,,
3.93E-05,3,467,,,
3.04E-05,26,467,,,
2.96E-05,26,467,,,
3.43E-05,25,466,,,
3.27E-05,44,467,,,
2.95E-05,15,470,,,
0.0001163,48,468,,,
3.03E-05,48,469,,,
2.89E-05,48,469,,,
2.86E-05,40,474,,,
2.93E-05,6,474,,,
2.92E-05,3,477,,,
2.37E-05,40,477,,,
2.38E-05,45,476,,,
2.92E-05,42,478,,,
2.87E-05,46,482,,,
3.28E-05,46,485,,,
3.22E-05,27,491,,,
3.11E-05,27,491,,,
3.16E-05,27,493,,,
3.06E-05,27,493,,,
3.23E-05,27,494,,,
3.19E-05,27,495,,,
3.21E-05,36,494,,,
3.16E-05,2,493,,,
3.19E-05,22,493,,,
3.10E-05,49,494,,,
3.19E-05,49,498,,,
3.17E-05,49,498,,,
3.17E-05,14,499,,,
3.13E-05,45,500,,,
3.14E-05,45,501,,,
3.14E-05,45,501,,,
3.21E-05,44,500,,,
3.19E-05,50,507,,,
3.17E-05,50,507,,,
3.04E-05,16,510,,,
3.17E-05,44,510,,,
2.78E-05,3,514,,,
3.61E-05,36,515,,,
3.33E-05,36,526,,,
3.08E-05,36,527,,,
3.10E-05,1,526,,,
3.12E-05,1,527,,,
3.22E-05,40,528,,,
2.81E-05,13,529,,,
2.91E-05,14,532,,,
2.75E-05,17,532,,,
2.96E-05,41,535,,,
2.37E-05,38,537,,,
3.17E-05,32,537,,,
2.33E-05,32,542,,,
2.34E-05,43,544,,,
2.35E-05,48,543,,,
2.36E-05,48,546,,,
2.32E-05,6,545,,,
3.92E-05,16,552,,,
2.37E-05,10,559,,,
2.47E-05,34,567,,,
0.0002051,32,566,,,
2.80E-05,8,568,,,
3.06E-05,22,570,,,
3.06E-05,11,573,,,
3.03E-05,48,574,,,
2.38E-05,12,572,,,
2.36E-05,13,571,,,
2.33E-05,44,572,,,
2.32E-05,44,572,,,
2.35E-05,25,573,,,
2.34E-05,10,572,,,
3.21E-05,32,575,,,
3.14E-05,32,575,,,
2.36E-05,36,580,,,
2.34E-05,12,581,,,
2.33E-05,12,581,,,
2.34E-05,12,581,,,
3.55E-05,12,581,,,
2.38E-05,48,587,,,
2.88E-05,9,586,,,
3.35E-05,44,586,,,
2.78E-05,10,585,,,
2.34E-05,45,595,,,
2.94E-05,45,598,,,
3.26E-05,45,598,,,
2.35E-05,48,597,,,
2.34E-05,48,601,,,
2.34E-05,48,602,,,
2.79E-05,4,606,,,
2.81E-05,37,608,,,
2.36E-05,31,606,,,
2.36E-05,20,607,,,
2.33E-05,10,611,,,
2.98E-05,38,617,,,
2.96E-05,38,617,,,
3.11E-05,32,621,,,
3.15E-05,32,621,,,
3.12E-05,31,618,,,
3.18E-05,11,616,,,
3.15E-05,22,610,,,
3.26E-05,49,609,,,
3.07E-05,37,608,,,
2.34E-05,38,615,,,
2.34E-05,38,615,,,
2.35E-05,38,615,,,
2.35E-05,38,617,,,
2.88E-05,21,618,,,
2.37E-05,44,617,,,
2.34E-05,44,617,,,
2.35E-05,2,618,,,
2.36E-05,2,618,,,
2.33E-05,2,618,,,
2.37E-05,37,620,,,
2.35E-05,12,618,,,
2.37E-05,5,621,,,
2.36E-05,16,622,,,
2.33E-05,16,622,,,
