cas operacie,vybrane cislo,velkost frontu,,,
3.19E-05,48,390,,,
2.61E-05,43,390,,,
3.43E-05,31,395,,,
2.43E-05,27,395,,,
2.41E-05,47,395,,,
2.50E-05,25,401,,,
2.46E-05,10,400,,,
2.41E-05,49,399,,,
2.40E-05,30,399,,,
3.21E-05,14,400,,,
3.37E-05,18,404,,,
2.43E-05,22,410,,,
2.42E-05,34,411,,,
2.42E-05,28,410,,,
2.41E-05,39,410,,,
2.44E-05,29,414,,,
3.22E-05,25,414,,,
3.42E-05,12,422,,,
3.04E-05,46,425,,,
3.22E-05,25,424,,,
3.09E-05,10,426,,,
3.28E-05,39,428,,,
3.15E-05,40,428,,,
3.26E-05,29,427,,,
3.27E-05,8,430,,,
3.48E-05,21,429,,,
3.26E-05,48,428,,,
3.15E-05,29,431,,,
2.97E-05,16,430,,,
3.07E-05,10,429,,,
3.25E-05,11,430,,,
3.44E-05,8,431,,,
3.27E-05,16,431,,,
3.08E-05,42,433,,,
3.26E-05,31,432,,,
3.21E-05,37,436,,,
3.31E-05,27,437,,,
3.27E-05,23,436,,,
3.29E-05,33,435,,,
3.11E-05,10,434,,,
3.05E-05,44,433,,,
3.25E-05,9,435,,,
3.13E-05,13,434,,,
2.96E-05,28,433,,,
2.97E-05,48,432,,,
2.97E-05,2,431,,,
3.06E-05,40,431,,,
4.22E-05,47,430,,,
3.09E-05,3,431,,,
3.11E-05,22,430,,,
3.10E-05,28,430,,,
3.11E-05,25,430,,,
3.10E-05,3,429,,,
3.30E-05,23,428,,,
3.02E-05,25,431,,,
3.11E-05,20,430,,,
3.12E-05,48,430,,,
3.90E-05,45,432,,,
2.93E-05,15,431,,,
2.97E-05,31,430,,,
3.34E-05,4,432,,,
3.03E-05,31,432,,,
3.34E-05,12,435,,,
3.46E-05,17,440,,,
4.05E-05,28,439,,,
3.10E-05,23,438,,,
3.29E-05,26,437,,,
3.51E-05,10,437,,,
4.52E-05,10,439,,,
3.46E-05,49,445,,,
3.02E-05,22,450,,,
3.40E-05,8,450,,,
3.36E-05,1,449,,,
2.39E-05,15,450,,,
2.39E-05,31,454,,,
3.28E-05,49,458,,,
3.81E-05,46,457,,,
3.28E-05,30,457,,,
3.04E-05,35,461,,,
3.06E-05,36,463,,,
3.18E-05,6,462,,,
3.26E-05,17,467,,,
3.28E-05,3,466,,,
3.16E-05,26,466,,,
3.09E-05,48,466,,,
3.34E-05,25,466,,,
3.23E-05,6,465,,,
3.15E-05,13,468,,,
3.13E-05,44,468,,,
4.88E-05,2,467,,,
4.42E-05,15,469,,,
3.89E-05,33,468,,,
2.85E-05,32,468,,,
3.24E-05,48,469,,,
4.08E-05,22,469,,,
4.01E-05,3,470,,,
3.61E-05,44,473,,,
3.75E-05,47,472,,,
4.07E-05,36,471,,,
2.93E-05,16,475,,,
3.16E-05,40,475,,,
3.17E-05,35,474,,,
3.25E-05,33,473,,,
3.33E-05,37,472,,,
3.61E-05,16,472,,,
3.23E-05,35,472,,,
3.03E-05,19,474,,,
2.96E-05,36,474,,,
3.43E-05,3,477,,,
3.49E-05,6,476,,,
2.43E-05,40,476,,,
2.41E-05,46,475,,,
2.42E-05,45,476,,,
2.41E-05,42,477,,,
3.75E-05,46,486,,,
3.39E-05,48,490,,,
3.31E-05,27,494,,,
3.30E-05,39,495,,,
3.20E-05,32,494,,,
3.23E-05,36,493,,,
3.24E-05,8,493,,,
3.26E-05,2,492,,,
3.11E-05,37,495,,,
3.23E-05,22,494,,,
3.23E-05,49,497,,,
3.27E-05,20,497,,,
3.22E-05,33,497,,,
3.19E-05,50,497,,,
3.21E-05,14,500,,,
3.20E-05,47,499,,,
3.21E-05,45,500,,,
3.22E-05,43,500,,,
3.19E-05,31,499,,,
3.38E-05,44,506,,,
3.23E-05,26,507,,,
3.19E-05,50,507,,,
3.22E-05,30,508,,,
3.20E-05,20,510,,,
2.96E-05,2,512,,,
3.04E-05,17,511,,,
3.03E-05,44,510,,,
5.55E-05,24,511,,,
4.57E-05,13,510,,,
2.98E-05,16,509,,,
3.25E-05,40,509,,,
4.30E-05,3,513,,,
3.21E-05,36,515,,,
3.05E-05,19,517,,,
3.18E-05,15,518,,,
3.14E-05,27,521,,,
3.11E-05,10,520,,,
3.52E-05,45,527,,,
3.06E-05,17,526,,,
2.94E-05,9,525,,,
2.83E-05,48,526,,,
2.93E-05,36,526,,,
2.97E-05,29,525,,,
2.90E-05,1,526,,,
3.10E-05,36,527,,,
3.38E-05,44,527,,,
3.30E-05,40,528,,,
3.13E-05,4,527,,,
2.95E-05,13,529,,,
2.99E-05,8,528,,,
3.20E-05,1,528,,,
2.86E-05,19,527,,,
2.83E-05,14,532,,,
2.42E-05,41,535,,,
2.41E-05,38,536,,,
2.40E-05,17,535,,,
2.43E-05,37,535,,,
2.38E-05,44,535,,,
2.40E-05,32,544,,,
2.39E-05,43,543,,,
2.39E-05,48,546,,,
2.39E-05,42,545,,,
3.27E-05,16,551,,,
3.18E-05,18,550,,,
2.43E-05,6,553,,,
2.42E-05,10,559,,,
2.39E-05,35,560,,,
2.44E-05,34,566,,,
2.43E-05,19,565,,,
2.92E-05,32,568,,,
2.83E-05,22,571,,,
3.06E-05,11,572,,,
3.05E-05,26,572,,,
2.48E-05,48,574,,,
2.45E-05,8,573,,,
2.41E-05,33,572,,,
2.44E-05,12,571,,,
2.40E-05,30,570,,,
2.40E-05,46,569,,,
2.43E-05,13,571,,,
2.42E-05,44,571,,,
2.41E-05,25,572,,,
2.41E-05,17,571,,,
2.40E-05,30,571,,,
3.32E-05,30,573,,,
3.32E-05,10,572,,,
3.57E-05,32,575,,,
3.01E-05,49,576,,,
2.43E-05,6,577,,,
2.39E-05,36,580,,,
2.40E-05,13,581,,,
2.39E-05,42,580,,,
2.43E-05,34,590,,,
2.39E-05,48,590,,,
2.41E-05,11,589,,,
2.41E-05,12,588,,,
2.43E-05,36,587,,,
2.39E-05,48,586,,,
2.41E-05,44,585,,,
2.43E-05,14,584,,,
2.84E-05,9,586,,,
2.84E-05,35,585,,,
3.30E-05,44,585,,,
2.42E-05,48,594,,,
2.68E-05,45,597,,,
