cas operacie,vybrane cislo,velkost frontu,,,
3.23E-05,4,247,,,
3.15E-05,8,247,,,
3.18E-05,42,246,,,
2.44E-05,1,246,,,
2.40E-05,31,245,,,
2.41E-05,44,244,,,
3.37E-05,20,244,,,
6.27E-05,47,244,,,
3.31E-05,27,245,,,
3.38E-05,4,244,,,
3.21E-05,33,243,,,
2.53E-05,35,243,,,
2.40E-05,35,242,,,
2.41E-05,13,242,,,
2.46E-05,20,243,,,
2.39E-05,40,245,,,
2.38E-05,24,244,,,
2.39E-05,32,244,,,
2.39E-05,15,243,,,
2.87E-05,8,242,,,
2.40E-05,39,243,,,
2.40E-05,5,242,,,
2.42E-05,4,243,,,
2.97E-05,47,245,,,
3.13E-05,31,246,,,
3.12E-05,20,248,,,
3.10E-05,34,247,,,
3.07E-05,10,246,,,
3.09E-05,24,245,,,
3.08E-05,43,244,,,
3.06E-05,4,245,,,
3.04E-05,7,246,,,
2.41E-05,44,249,,,
2.40E-05,6,249,,,
2.40E-05,38,248,,,
2.40E-05,49,248,,,
2.40E-05,15,247,,,
2.41E-05,34,246,,,
2.42E-05,2,245,,,
2.42E-05,47,248,,,
2.40E-05,23,247,,,
2.38E-05,24,246,,,
2.41E-05,24,245,,,
2.86E-05,23,244,,,
3.43E-05,6,244,,,
2.40E-05,31,245,,,
2.40E-05,6,246,,,
3.09E-05,31,249,,,
3.11E-05,39,250,,,
3.09E-05,49,250,,,
4.27E-05,20,253,,,
3.34E-05,22,252,,,
2.48E-05,8,252,,,
4.23E-05,23,252,,,
4.30E-05,9,253,,,
4.86E-05,48,253,,,
3.76E-05,6,253,,,
3.72E-05,9,253,,,
3.79E-05,44,252,,,
3.35E-05,8,255,,,
3.75E-05,22,255,,,
3.08E-05,1,257,,,
3.06E-05,46,256,,,
3.14E-05,27,259,,,
3.47E-05,31,262,,,
0.0002743,37,262,,,
2.85E-05,23,266,,,
2.78E-05,7,265,,,
2.94E-05,20,266,,,
2.88E-05,41,265,,,
2.89E-05,18,265,,,
2.91E-05,48,264,,,
2.86E-05,20,263,,,
2.88E-05,22,263,,,
2.43E-05,10,266,,,
2.42E-05,18,265,,,
3.39E-05,11,266,,,
3.34E-05,1,265,,,
2.43E-05,33,266,,,
2.43E-05,31,265,,,
3.25E-05,20,264,,,
2.40E-05,10,264,,,
2.38E-05,17,264,,,
3.18E-05,11,264,,,
3.21E-05,15,263,,,
3.25E-05,36,264,,,
3.19E-05,32,268,,,
3.88E-05,2,267,,,
3.16E-05,41,270,,,
3.36E-05,12,270,,,
3.13E-05,48,269,,,
3.08E-05,16,269,,,
3.12E-05,44,270,,,
3.14E-05,47,269,,,
3.12E-05,25,268,,,
2.39E-05,14,270,,,
2.39E-05,6,269,,,
2.39E-05,2,270,,,
3.89E-05,27,273,,,
4.15E-05,39,273,,,
3.89E-05,35,272,,,
3.69E-05,47,271,,,
2.50E-05,46,273,,,
2.46E-05,36,272,,,
2.46E-05,37,271,,,
2.84E-05,12,270,,,
3.51E-05,38,270,,,
3.21E-05,2,272,,,
2.49E-05,50,275,,,
4.31E-05,34,276,,,
3.56E-05,5,275,,,
3.56E-05,32,275,,,
3.62E-05,3,277,,,
3.62E-05,9,277,,,
3.24E-05,41,276,,,
3.81E-05,19,275,,,
2.47E-05,40,276,,,
3.15E-05,20,277,,,
2.71E-05,19,278,,,
2.64E-05,36,278,,,
2.76E-05,40,278,,,
3.36E-05,29,280,,,
3.14E-05,1,281,,,
3.14E-05,23,280,,,
3.19E-05,43,280,,,
2.41E-05,43,283,,,
2.41E-05,32,282,,,
2.41E-05,35,282,,,
2.42E-05,22,283,,,
2.41E-05,47,282,,,
2.37E-05,28,283,,,
2.39E-05,19,282,,,
2.40E-05,17,283,,,
2.41E-05,46,284,,,
2.39E-05,17,283,,,
2.39E-05,50,283,,,
2.38E-05,24,283,,,
2.37E-05,36,286,,,
2.39E-05,17,287,,,
2.38E-05,40,288,,,
2.93E-05,8,290,,,
3.03E-05,29,292,,,
3.07E-05,11,291,,,
3.07E-05,39,291,,,
3.06E-05,36,290,,,
3.04E-05,45,290,,,
2.49E-05,46,291,,,
2.38E-05,48,291,,,
2.39E-05,19,292,,,
2.38E-05,43,291,,,
2.42E-05,21,290,,,
2.40E-05,3,289,,,
2.58E-05,26,288,,,
2.39E-05,8,290,,,
2.41E-05,19,289,,,
2.41E-05,15,292,,,
2.41E-05,45,295,,,
2.38E-05,50,294,,,
4.05E-05,35,295,,,
2.54E-05,30,294,,,
2.41E-05,15,293,,,
2.40E-05,50,294,,,
2.41E-05,31,293,,,
3.55E-05,4,293,,,
3.82E-05,46,292,,,
3.21E-05,30,299,,,
3.20E-05,30,298,,,
2.45E-05,27,302,,,
2.41E-05,5,301,,,
3.64E-05,30,301,,,
3.05E-05,40,301,,,
3.18E-05,20,300,,,
2.91E-05,7,299,,,
3.15E-05,49,300,,,
3.19E-05,6,301,,,
3.09E-05,50,300,,,
3.61E-05,6,299,,,
3.72E-05,22,300,,,
3.10E-05,10,302,,,
3.03E-05,44,301,,,
3.30E-05,27,301,,,
3.29E-05,42,301,,,
3.69E-05,17,302,,,
3.13E-05,5,302,,,
2.92E-05,35,301,,,
3.08E-05,16,301,,,
3.46E-05,29,302,,,
