cas operacie,vlozene cislo,priorita,velkost frontu,,,
2.30E-06,16,5264,106,,,
2.90E-06,1,2776,107,,,
2.60E-06,5,3511,108,,,
2.50E-06,19,4001,108,,,
2.10E-06,4,2397,109,,,
2.70E-06,28,1981,110,,,
1.50E-06,33,9324,111,,,
2.60E-06,39,2428,111,,,
2.70E-06,11,502,111,,,
1.50E-06,34,7948,111,,,
1.80E-06,23,9624,110,,,
2.20E-06,43,2226,111,,,
2.80E-06,36,2278,112,,,
2.60E-06,15,3705,112,,,
2.60E-06,19,2075,113,,,
6.36E-05,26,7027,114,,,
6.90E-06,46,8955,115,,,
1.80E-06,28,6678,116,,,
1.80E-06,18,8525,115,,,
4.00E-06,17,4411,116,,,
3.70E-06,2,6290,117,,,
3.20E-06,49,2280,118,,,
3.40E-06,44,4937,119,,,
3.40E-06,27,5590,119,,,
1.80E-06,14,8637,120,,,
1.90E-06,36,6685,121,,,
1.70E-06,41,9870,122,,,
1.70E-06,38,9330,121,,,
3.10E-06,24,2675,121,,,
3.40E-06,31,5396,120,,,
3.10E-06,32,2580,121,,,
2.90E-06,22,799,121,,,
3.10E-06,24,3299,122,,,
3.50E-06,1,5342,122,,,
2.90E-06,21,3032,123,,,
7.50E-06,13,5849,124,,,
4.00E-06,44,745,125,,,
4.30E-06,15,4070,126,,,
2.90E-06,2,1746,126,,,
4.30E-06,48,3449,127,,,
4.30E-06,29,5905,128,,,
4.10E-06,15,3308,129,,,
3.20E-06,30,4613,129,,,
4.00E-06,36,2730,130,,,
4.60E-06,45,949,131,,,
3.70E-06,31,4462,131,,,
2.40E-06,43,6759,132,,,
4.90E-06,33,687,133,,,
4.90E-06,42,5074,133,,,
3.90E-06,39,8808,134,,,
3.60E-06,11,2031,133,,,
3.60E-06,29,5776,134,,,
5.50E-06,40,5012,135,,,
2.50E-06,46,9176,135,,,
2.02E-05,40,8783,136,,,
2.00E-06,29,8036,135,,,
2.80E-06,36,1280,134,,,
1.70E-06,32,6405,132,,,
1.80E-06,32,9034,132,,,
2.60E-06,43,3325,133,,,
3.20E-06,16,5660,134,,,
1.70E-06,50,8241,134,,,
2.60E-06,32,932,135,,,
2.30E-06,43,7837,136,,,
1.80E-06,5,9306,137,,,
1.60E-06,28,7703,138,,,
1.80E-06,20,8302,139,,,
3.20E-06,49,1745,140,,,
2.90E-06,24,1442,141,,,
3.00E-06,40,4301,142,,,
3.00E-06,10,2399,143,,,
2.90E-06,12,4858,144,,,
2.90E-06,27,3689,144,,,
4.30E-06,9,2412,144,,,
3.10E-06,42,4905,145,,,
2.70E-06,7,323,145,,,
2.70E-06,12,2044,144,,,
1.70E-06,5,7864,145,,,
2.50E-06,18,1399,145,,,
3.50E-06,49,4657,146,,,
1.80E-06,16,6751,146,,,
3.20E-06,36,4304,147,,,
1.80E-06,46,8106,147,,,
1.80E-06,39,8449,148,,,
3.00E-06,25,1332,149,,,
4.60E-06,36,3065,150,,,
1.90E-06,42,6075,151,,,
4.50E-06,10,4747,152,,,
4.60E-06,17,1281,153,,,
4.40E-06,30,3210,154,,,
2.90E-06,31,833,154,,,
4.20E-06,12,3176,155,,,
2.20E-06,1,9288,156,,,
7.10E-06,34,3118,157,,,
2.70E-06,47,879,157,,,
3.00E-06,11,2089,157,,,
2.70E-06,9,1481,157,,,
1.80E-06,43,7531,155,,,
1.60E-06,22,8965,155,,,
1.60E-06,5,6049,156,,,
1.60E-06,45,9549,156,,,
2.90E-06,1,3380,157,,,
1.70E-06,18,8490,156,,,
2.90E-06,44,3970,157,,,
2.50E-06,35,2528,158,,,
2.60E-06,13,1196,159,,,
4.10E-06,20,4539,160,,,
2.30E-06,38,9457,161,,,
2.50E-06,48,5619,162,,,
3.30E-06,32,676,162,,,
4.80E-06,16,4391,162,,,
2.60E-06,34,9077,163,,,
3.60E-06,2,1963,163,,,
3.30E-06,20,1511,163,,,
2.40E-06,32,8497,163,,,
3.20E-06,14,8535,164,,,
5.30E-06,47,5314,165,,,
3.50E-06,24,8410,166,,,
5.20E-06,14,4660,167,,,
4.10E-06,49,2692,167,,,
2.20E-06,6,5704,168,,,
3.70E-06,31,5019,169,,,
2.00E-06,19,9072,170,,,
2.10E-06,44,8134,171,,,
5.10E-06,36,3042,172,,,
2.40E-06,22,524,172,,,
1.50E-06,15,5578,173,,,
4.20E-06,17,2178,174,,,
3.60E-06,4,1232,175,,,
2.40E-06,26,1054,173,,,
2.30E-06,36,2465,173,,,
2.70E-06,23,5357,173,,,
2.70E-06,50,2109,174,,,
