cas operacie,vybrane cislo,velkost frontu,,,
2.10E-06,20,357,,,
1.50E-06,43,358,,,
1.40E-06,41,358,,,
1.40E-06,44,359,,,
1.80E-06,30,359,,,
1.80E-06,33,360,,,
1.60E-06,30,362,,,
1.50E-06,23,362,,,
1.40E-06,42,362,,,
1.90E-06,28,365,,,
1.40E-06,44,365,,,
1.30E-06,22,365,,,
1.40E-06,21,366,,,
1.70E-06,22,367,,,
2.00E-06,17,366,,,
2.00E-06,50,369,,,
1.70E-06,44,368,,,
2.60E-06,17,370,,,
2.30E-06,20,369,,,
1.70E-06,34,373,,,
1.40E-06,36,373,,,
1.40E-06,31,373,,,
1.30E-06,40,372,,,
1.40E-06,49,372,,,
1.70E-06,46,374,,,
1.40E-06,2,375,,,
1.30E-06,37,374,,,
1.40E-06,32,373,,,
1.40E-06,4,373,,,
1.30E-06,40,372,,,
1.40E-06,36,371,,,
1.50E-06,36,374,,,
1.40E-06,18,373,,,
1.40E-06,39,372,,,
1.30E-06,35,373,,,
1.40E-06,7,372,,,
1.40E-06,12,371,,,
1.40E-06,24,375,,,
1.40E-06,8,377,,,
1.40E-06,17,378,,,
1.40E-06,21,377,,,
1.40E-06,20,377,,,
1.30E-06,42,376,,,
1.40E-06,29,376,,,
2.00E-06,35,378,,,
1.60E-06,32,377,,,
2.00E-06,8,378,,,
1.70E-06,18,381,,,
1.30E-06,3,381,,,
1.50E-06,25,384,,,
1.40E-06,39,384,,,
1.40E-06,12,384,,,
1.40E-06,37,383,,,
1.40E-06,25,385,,,
1.50E-06,46,384,,,
1.40E-06,12,386,,,
1.40E-06,27,389,,,
1.70E-06,31,389,,,
2.30E-06,45,397,,,
2.10E-06,39,396,,,
2.50E-06,11,398,,,
2.60E-06,18,400,,,
2.10E-06,43,399,,,
2.40E-06,39,400,,,
2.30E-06,16,400,,,
2.00E-06,29,399,,,
1.70E-06,16,399,,,
2.30E-06,10,402,,,
2.40E-06,46,403,,,
1.50E-06,31,409,,,
1.40E-06,18,411,,,
1.50E-06,24,410,,,
1.40E-06,28,409,,,
2.40E-06,39,409,,,
3.10E-06,8,408,,,
1.50E-06,43,408,,,
1.50E-06,46,408,,,
1.50E-06,21,409,,,
1.30E-06,38,408,,,
1.40E-06,24,408,,,
1.40E-06,7,410,,,
1.60E-06,12,411,,,
1.50E-06,29,412,,,
1.40E-06,39,411,,,
1.50E-06,38,413,,,
2.20E-06,19,412,,,
1.40E-06,38,416,,,
1.40E-06,42,415,,,
1.40E-06,19,417,,,
1.40E-06,24,417,,,
1.30E-06,27,416,,,
1.40E-06,20,416,,,
1.40E-06,16,415,,,
3.70E-06,13,415,,,
2.10E-06,14,415,,,
1.90E-06,27,414,,,
1.50E-06,18,415,,,
1.30E-06,7,414,,,
1.50E-06,31,417,,,
1.70E-06,34,416,,,
2.00E-06,19,416,,,
2.00E-06,42,415,,,
1.90E-06,2,414,,,
1.60E-06,43,413,,,
1.40E-06,42,412,,,
1.40E-06,7,417,,,
1.40E-06,41,416,,,
1.70E-06,36,417,,,
1.50E-06,42,418,,,
1.30E-06,18,418,,,
1.50E-06,30,417,,,
1.80E-06,44,421,,,
1.40E-06,26,421,,,
1.40E-06,23,421,,,
1.40E-06,2,420,,,
1.60E-06,34,425,,,
1.40E-06,50,425,,,
1.40E-06,33,426,,,
1.40E-06,47,429,,,
1.40E-06,13,431,,,
1.70E-06,48,431,,,
1.50E-06,45,432,,,
1.40E-06,34,431,,,
1.40E-06,16,431,,,
1.30E-06,33,432,,,
1.40E-06,4,431,,,
1.50E-06,13,430,,,
1.40E-06,32,431,,,
1.40E-06,42,430,,,
1.40E-06,18,429,,,
2.00E-06,32,428,,,
2.30E-06,45,431,,,
1.90E-06,20,430,,,
2.10E-06,20,430,,,
2.30E-06,35,429,,,
1.70E-06,21,428,,,
2.00E-06,16,427,,,
2.20E-06,43,428,,,
2.70E-06,23,429,,,
2.20E-06,34,429,,,
2.40E-06,38,429,,,
1.80E-06,12,428,,,
1.80E-06,26,427,,,
3.20E-06,27,427,,,
2.80E-06,3,427,,,
1.50E-06,14,430,,,
1.50E-06,15,429,,,
2.00E-06,23,429,,,
2.20E-06,16,428,,,
2.20E-06,19,438,,,
1.70E-06,3,442,,,
2.10E-06,49,441,,,
2.30E-06,46,441,,,
2.00E-06,21,441,,,
2.40E-06,20,446,,,
2.30E-06,27,446,,,
1.90E-06,37,449,,,
2.30E-06,11,448,,,
2.10E-06,48,448,,,
2.70E-06,6,452,,,
2.00E-06,7,451,,,
2.20E-06,8,451,,,
2.10E-06,36,450,,,
2.30E-06,24,451,,,
2.20E-06,26,450,,,
2.20E-06,5,449,,,
2.30E-06,21,448,,,
2.20E-06,28,448,,,
2.20E-06,18,447,,,
2.00E-06,26,448,,,
2.50E-06,7,447,,,
2.40E-06,21,447,,,
2.30E-06,20,446,,,
2.30E-06,38,445,,,
2.20E-06,38,444,,,
2.30E-06,34,443,,,
2.00E-06,41,443,,,
2.40E-06,18,443,,,
2.50E-06,31,445,,,
8.40E-06,17,447,,,
2.30E-06,48,446,,,
2.40E-06,43,450,,,
2.20E-06,23,452,,,
2.00E-06,24,451,,,
2.00E-06,2,450,,,
2.00E-06,32,449,,,
1.90E-06,21,448,,,
2.20E-06,22,453,,,
2.10E-06,20,454,,,
2.20E-06,20,453,,,
