cas operacie,vybrane cislo,velkost frontu,,,,,,,
3.84E-05,33,5,,,,,0.0000427,2,7
4.41E-05,24,4,,,,,0.0000289,21,7
2.99E-05,30,3,,,,,0.0000385,13,7
2.91E-05,11,3,,,,,0.0000289,22,7
3.11E-05,22,3,,,,,0.0000362,29,7
2.98E-05,5,2,,,,,0.0000289,23,7
3.34E-05,21,2,,,,,0.000029,17,7
2.90E-05,15,3,,,,,0.0000398,14,7
2.92E-05,10,2,,,,,0.000029,19,7
2.92E-05,33,3,,,,,0.0001191,28,7
2.91E-05,8,2,,,,,0.0000291,6,7
2.91E-05,34,1,,,,,0.0000407,28,7
2.90E-05,26,1,,,,,0.0000381,24,7
2.79E-05,2,3,,,,,0.0000392,17,7
2.76E-05,19,3,,,,,0.0000414,8,7
2.81E-05,10,2,,,,,0.0000392,21,7
2.95E-05,29,1,,,,,0.0000392,31,7
9.98E-05,25,2,,,,,0.0000287,30,7
2.96E-05,5,2,,,,,0.0000293,2,7
0.0001595,10,2,,,,,0.0000334,3,7
3.10E-05,31,3,,,,,0.0000291,32,7
2.93E-05,22,2,,,,,0.0002873,19,7
2.87E-05,31,1,,,,,0.0000309,3,7
0.000168,17,1,,,,,0.0001003,19,7
3.38E-05,3,1,,,,,0.0000294,32,7
3.79E-05,34,2,,,,,0.0000291,11,7
2.95E-05,18,2,,,,,0.00003,23,7
2.82E-05,23,4,,,,,0.000029,21,7
3.90E-05,1,6,,,,,0.0000295,33,7
3.75E-05,25,5,,,,,0.0000294,35,7
0.0002406,14,4,,,,,0.0000293,26,7
2.93E-05,25,4,,,,,0.0000295,2,7
2.92E-05,12,3,,,,,0.0000384,8,7
3.69E-05,10,3,,,,,0.0000854,32,7
3.38E-05,1,2,,,,,0.0000291,2,7
2.98E-05,4,1,,,,,0.0000421,30,8
2.95E-05,17,2,,,,,0.0000293,11,8
2.92E-05,33,2,,,,,0.000038,35,8
2.87E-05,19,1,,,,,0.000029,21,8
2.89E-05,11,1,,,,,0.0000379,9,8
2.88E-05,15,1,,,,,0.0000294,20,8
2.95E-05,19,2,,,,,0.0000382,6,8
2.89E-05,11,1,,,,,0.0000367,7,8
2.94E-05,30,1,,,,,0.0000292,16,8
2.89E-05,9,2,,,,,0.0000293,31,8
2.92E-05,25,2,,,,,0.000029,17,8
4.22E-05,11,1,,,,,0.0000446,33,8
2.98E-05,9,3,,,,,0.0000414,10,8
2.94E-05,12,4,,,,,0.0000341,5,8
