cas operacie,vlozene cislo,priorita,velkost frontu,,,
2.30E-06,8,1019,102,,,
2.20E-06,11,1676,102,,,
1.50E-06,17,9970,102,,,
1.50E-06,1,8360,102,,,
2.30E-06,44,3939,102,,,
2.30E-06,29,1501,103,,,
1.50E-06,42,8859,103,,,
1.50E-06,32,8787,104,,,
2.40E-06,18,2170,105,,,
2.80E-06,37,6897,106,,,
2.30E-06,40,1236,105,,,
2.70E-06,26,4362,106,,,
2.70E-06,49,3371,107,,,
3.70E-06,6,3590,108,,,
3.30E-06,16,599,109,,,
1.50E-06,44,8832,110,,,
3.70E-06,19,5376,111,,,
1.50E-06,35,9100,110,,,
2.70E-06,18,6158,110,,,
2.70E-06,38,3670,111,,,
2.30E-06,4,1309,112,,,
3.60E-06,22,5606,113,,,
1.50E-06,24,9001,113,,,
2.40E-06,21,3304,114,,,
3.60E-06,27,3481,115,,,
1.50E-06,50,9510,115,,,
2.20E-06,35,3343,114,,,
2.30E-06,25,3285,112,,,
1.60E-06,30,8109,113,,,
2.30E-06,19,2455,114,,,
1.40E-06,11,7520,115,,,
2.20E-06,17,763,116,,,
1.40E-06,47,8647,115,,,
2.20E-06,34,1035,114,,,
2.30E-06,5,514,114,,,
2.50E-06,12,3197,115,,,
2.50E-06,36,995,116,,,
2.40E-06,44,5240,117,,,
2.60E-06,18,2662,118,,,
1.40E-06,36,7933,119,,,
2.70E-06,21,2086,119,,,
2.70E-06,30,2477,120,,,
3.90E-06,4,5038,121,,,
2.30E-06,23,1089,121,,,
1.50E-06,3,8956,122,,,
1.53E-05,21,6052,123,,,
1.40E-06,33,8208,124,,,
1.50E-06,44,9443,125,,,
3.70E-06,43,2434,126,,,
3.80E-06,49,6738,127,,,
1.50E-06,46,8656,125,,,
1.40E-06,28,9541,125,,,
1.80E-06,35,7073,125,,,
2.40E-06,17,2147,125,,,
1.40E-06,29,8105,126,,,
2.30E-06,15,265,126,,,
2.60E-06,42,5327,124,,,
2.30E-06,32,147,125,,,
1.40E-06,16,8278,126,,,
2.70E-06,23,6274,124,,,
2.30E-06,28,2674,124,,,
2.20E-06,28,1920,123,,,
2.50E-06,5,4781,124,,,
1.50E-06,24,8531,125,,,
2.20E-06,37,4664,125,,,
2.20E-06,2,538,126,,,
2.20E-06,24,724,124,,,
2.30E-06,42,3788,124,,,
1.50E-06,4,9695,125,,,
1.50E-06,34,9741,122,,,
2.30E-06,36,3897,123,,,
2.50E-06,18,4232,124,,,
2.70E-06,25,5515,125,,,
1.40E-06,24,7224,125,,,
2.40E-06,9,1112,126,,,
1.50E-06,48,8124,123,,,
1.50E-06,16,8620,124,,,
2.30E-06,17,2538,125,,,
2.30E-06,45,3484,125,,,
2.30E-06,3,1405,126,,,
2.60E-06,50,4099,127,,,
2.60E-06,8,5762,123,,,
1.50E-06,23,8725,122,,,
2.30E-06,5,2893,123,,,
2.50E-06,25,6122,124,,,
1.50E-06,18,7609,124,,,
2.30E-06,48,89,125,,,
2.50E-06,23,1775,126,,,
2.80E-06,1,5969,127,,,
2.60E-06,8,5600,127,,,
2.30E-06,15,1561,127,,,
1.70E-06,37,7703,127,,,
1.50E-06,46,9950,127,,,
1.40E-06,4,9625,126,,,
2.30E-06,50,2423,127,,,
2.30E-06,19,600,128,,,
2.20E-06,44,826,126,,,
2.20E-06,30,1813,126,,,
2.60E-06,7,6252,126,,,
2.30E-06,3,4479,126,,,
2.10E-06,25,4362,124,,,
1.80E-06,33,7396,123,,,
1.50E-06,48,7258,124,,,
1.50E-06,13,8079,125,,,
2.20E-06,32,3927,126,,,
2.10E-06,3,1265,127,,,
2.10E-06,20,3435,125,,,
2.20E-06,12,2365,126,,,
1.80E-06,22,7606,127,,,
2.10E-06,26,1860,128,,,
2.60E-06,30,6708,129,,,
1.50E-06,19,9616,128,,,
2.20E-06,20,20,129,,,
1.50E-06,14,8394,130,,,
2.10E-06,43,1641,126,,,
2.80E-06,2,4365,127,,,
2.30E-06,33,5891,126,,,
1.50E-06,13,8185,127,,,
2.10E-06,24,700,127,,,
1.60E-06,37,8921,125,,,
2.10E-06,22,808,126,,,
2.40E-06,30,1734,127,,,
1.70E-06,28,9272,128,,,
2.50E-06,9,4847,129,,,
1.70E-06,38,8950,127,,,
2.20E-06,45,5426,128,,,
2.40E-06,13,4410,129,,,
1.70E-06,33,9118,130,,,
1.60E-06,6,7446,131,,,
4.10E-06,10,648,132,,,
3.40E-06,24,418,130,,,
3.30E-06,36,1605,131,,,
3.50E-06,39,6569,131,,,
4.10E-06,50,5990,132,,,
3.00E-06,37,3435,133,,,
2.10E-06,50,8671,134,,,
3.30E-06,35,5270,135,,,
1.90E-06,23,8162,136,,,
3.00E-06,13,4104,137,,,
3.00E-06,22,5456,134,,,
3.50E-06,18,5643,135,,,
3.00E-06,3,592,136,,,
2.40E-06,25,2417,136,,,
1.70E-06,30,7194,136,,,
2.10E-06,12,1144,136,,,
1.50E-06,14,9996,137,,,
2.10E-06,36,758,138,,,
1.50E-06,29,9796,139,,,
2.70E-06,23,2768,139,,,
2.80E-06,5,6291,140,,,
1.60E-06,36,9556,141,,,
2.60E-06,46,2389,142,,,
2.50E-06,1,2480,143,,,
2.40E-06,28,634,144,,,
2.70E-06,31,6499,143,,,
2.60E-06,7,2936,144,,,
4.30E-06,47,4808,145,,,
2.50E-06,11,970,146,,,
2.70E-06,42,2701,145,,,
3.20E-06,29,744,146,,,
3.30E-06,36,4329,147,,,
3.70E-06,18,2758,148,,,
1.70E-06,38,8829,147,,,
2.40E-06,47,879,148,,,
2.60E-06,49,2927,149,,,
2.40E-06,23,754,150,,,
2.80E-06,16,2851,148,,,
2.70E-06,15,6761,148,,,
2.50E-06,9,3340,148,,,
2.30E-06,47,1018,149,,,
2.40E-06,24,598,149,,,
1.60E-06,48,6962,150,,,
1.50E-06,41,9525,151,,,
2.30E-06,25,1151,150,,,
2.50E-06,43,4183,151,,,
2.60E-06,7,5333,151,,,
1.50E-06,48,7509,150,,,
1.50E-06,15,8817,150,,,
1.40E-06,14,9549,151,,,
2.30E-06,31,196,152,,,
2.50E-06,48,5056,153,,,
2.20E-06,24,3703,153,,,
1.40E-06,8,9753,154,,,
2.30E-06,17,2248,155,,,
2.20E-06,30,630,153,,,
1.40E-06,3,9232,153,,,
2.30E-06,45,2842,153,,,
2.40E-06,3,1241,153,,,
2.50E-06,6,5520,151,,,
1.60E-06,16,8452,152,,,
2.50E-06,25,6690,153,,,
2.30E-06,44,4314,154,,,
