cas operacie,vybrane cislo,velkost frontu,,,
1.50E-06,17,242,,,
1.30E-06,29,241,,,
2.30E-06,23,242,,,
2.20E-06,28,242,,,
1.70E-06,48,245,,,
4.70E-06,12,249,,,
1.40E-06,35,248,,,
2.30E-06,27,247,,,
1.60E-06,45,248,,,
3.30E-06,3,247,,,
1.50E-06,39,247,,,
1.50E-06,6,251,,,
1.40E-06,15,251,,,
2.20E-06,3,250,,,
1.70E-06,29,249,,,
2.40E-06,30,248,,,
1.50E-06,13,251,,,
1.50E-06,35,254,,,
1.40E-06,34,256,,,
1.40E-06,28,260,,,
1.40E-06,33,264,,,
1.30E-06,41,263,,,
1.40E-06,45,262,,,
1.40E-06,35,263,,,
1.40E-06,44,266,,,
1.50E-06,37,266,,,
1.40E-06,12,265,,,
1.40E-06,45,264,,,
1.50E-06,47,266,,,
1.30E-06,24,271,,,
1.30E-06,11,270,,,
1.30E-06,44,269,,,
1.40E-06,45,269,,,
1.40E-06,44,274,,,
1.30E-06,12,273,,,
1.40E-06,30,272,,,
1.40E-06,33,272,,,
1.30E-06,18,272,,,
1.40E-06,30,271,,,
1.30E-06,5,275,,,
1.30E-06,38,275,,,
1.30E-06,13,277,,,
1.30E-06,14,277,,,
1.40E-06,17,278,,,
1.40E-06,5,277,,,
1.30E-06,12,276,,,
1.40E-06,42,276,,,
1.30E-06,26,275,,,
1.30E-06,42,279,,,
1.30E-06,43,279,,,
1.30E-06,27,279,,,
1.30E-06,4,278,,,
1.30E-06,8,277,,,
1.30E-06,32,277,,,
1.40E-06,47,277,,,
1.40E-06,33,276,,,
1.30E-06,15,275,,,
1.40E-06,41,276,,,
1.40E-06,24,275,,,
1.30E-06,18,279,,,
1.40E-06,20,281,,,
1.40E-06,6,282,,,
1.30E-06,35,281,,,
1.30E-06,45,281,,,
1.30E-06,45,283,,,
1.30E-06,19,284,,,
1.30E-06,41,284,,,
1.40E-06,41,283,,,
1.40E-06,18,284,,,
1.20E-06,36,283,,,
1.30E-06,24,282,,,
1.40E-06,41,281,,,
1.70E-06,9,282,,,
1.40E-06,9,283,,,
1.40E-06,30,283,,,
1.40E-06,11,285,,,
1.30E-06,50,289,,,
1.40E-06,50,289,,,
1.50E-06,48,290,,,
1.40E-06,28,302,,,
1.30E-06,40,301,,,
1.40E-06,25,301,,,
1.30E-06,35,301,,,
1.30E-06,49,301,,,
1.50E-06,21,304,,,
1.30E-06,42,303,,,
1.50E-06,1,311,,,
1.40E-06,4,314,,,
1.30E-06,28,313,,,
1.30E-06,12,313,,,
1.30E-06,50,313,,,
1.30E-06,45,314,,,
1.30E-06,36,313,,,
1.30E-06,8,315,,,
1.30E-06,18,314,,,
1.30E-06,23,323,,,
1.40E-06,29,326,,,
