cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,
2.33E-05,10,2,34,,
1.95E-05,14,18,35,,
1.85E-05,22,1,36,,
1.85E-05,6,0,36,,
2.02E-05,4,32,36,,
8.56E-05,13,11,38,,
2.27E-05,11,4,37,,
2.06E-05,34,24,38,,
1.11E-05,12,0,34,,
2.93E-05,10,2,35,,
1.91E-05,3,18,33,,
1.95E-05,8,27,33,,
1.85E-05,32,7,37,,
1.90E-05,35,11,38,,
1.94E-05,2,24,43,,
3.47E-05,33,20,45,,
2.86E-05,12,23,46,,
2.12E-05,10,29,48,,
2.41E-05,9,10,47,,
9.13E-05,34,3,48,,
1.78E-05,8,3,49,,
1.84E-05,11,29,50,,
2.55E-05,17,42,49,,
1.85E-05,1,24,47,,
1.78E-05,26,12,45,,
1.85E-05,12,26,46,,
2.61E-05,24,8,48,,
1.95E-05,34,44,46,,
1.75E-05,8,2,45,,
1.85E-05,10,31,45,,
3.32E-05,30,43,47,,
2.09E-05,33,30,49,,
7.74E-05,13,1,52,,
1.01E-05,20,0,56,,
1.92E-05,10,50,57,,
1.82E-05,11,22,58,,
1.92E-05,11,40,61,,
1.86E-05,31,38,58,,
1.90E-05,12,35,59,,
1.97E-05,11,29,61,,
1.79E-05,31,12,63,,
1.96E-05,30,44,64,,
1.92E-05,25,43,66,,
1.82E-05,3,14,67,,
1.96E-05,4,55,67,,
1.91E-05,18,18,66,,
1.86E-05,33,14,67,,
2.01E-05,16,51,68,,
1.87E-05,4,3,70,,
2.98E-05,17,44,68,,
1.95E-05,4,23,67,,
2.05E-05,8,60,68,,
2.49E-05,12,41,69,,
1.96E-05,18,30,66,,
1.95E-05,5,40,68,,
1.97E-05,15,42,69,,
2.26E-05,4,48,65,,
1.95E-05,5,32,66,,
1.92E-05,24,20,62,,
2.02E-05,29,56,62,,
1.93E-05,29,34,63,,
1.90E-05,24,23,64,,
1.92E-05,10,1,65,,
1.99E-05,7,47,67,,
2.06E-05,14,61,69,,
1.97E-05,7,43,71,,
2.04E-05,30,61,71,,
1.89E-05,16,14,73,,
2.51E-05,22,7,66,,
1.92E-05,17,5,68,,
2.31E-05,29,22,68,,
2.14E-05,9,65,70,,
2.04E-05,35,59,69,,
1.86E-05,35,11,69,,
1.90E-05,25,21,71,,
2.48E-05,6,40,64,,
2.01E-05,32,46,63,,
1.91E-05,33,23,60,,
1.89E-05,21,17,61,,
2.16E-05,26,37,60,,
1.88E-05,20,5,55,,
1.13E-05,32,0,55,,
2.96E-05,6,29,57,,
3.24E-05,32,16,56,,
1.87E-05,21,8,57,,
1.95E-05,23,34,57,,
1.83E-05,13,4,57,,
1.92E-05,22,21,60,,
