cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,
1.80E-05,81,3,18,,
1.82E-05,90,9,17,,
1.82E-05,32,7,21,,
1.86E-05,4,19,22,,
1.87E-05,22,19,30,,
1.84E-05,8,18,32,,
1.83E-05,80,20,32,,
1.98E-05,30,29,35,,
1.88E-05,28,31,34,,
2.60E-05,83,19,29,,
1.87E-05,7,19,29,,
1.81E-05,24,1,30,,
1.83E-05,35,9,30,,
1.79E-05,33,0,31,,
1.88E-05,28,27,33,,
1.82E-05,7,19,33,,
1.80E-05,11,4,33,,
1.86E-05,31,14,32,,
1.92E-05,35,26,32,,
1.81E-05,2,7,32,,
1.83E-05,8,8,33,,
1.79E-05,15,13,31,,
1.84E-05,2,11,32,,
3.11E-05,4,21,29,,
1.83E-05,85,11,31,,
2.37E-05,8,13,35,,
1.79E-05,7,23,35,,
1.95E-05,74,31,38,,
1.75E-05,9,12,41,,
1.95E-05,11,21,36,,
2.17E-05,14,9,38,,
1.79E-05,74,24,37,,
1.74E-05,9,9,36,,
1.73E-05,79,4,38,,
1.71E-05,34,2,38,,
1.76E-05,88,25,38,,
1.80E-05,31,34,39,,
1.73E-05,4,5,44,,
1.93E-05,13,31,41,,
1.78E-05,81,23,40,,
1.76E-05,7,16,40,,
1.80E-05,82,8,42,,
1.97E-05,74,33,43,,
1.66E-05,7,0,37,,
1.76E-05,7,20,37,,
1.80E-05,14,36,43,,
1.70E-05,7,6,43,,
1.90E-05,81,32,41,,
1.70E-05,15,9,42,,
1.76E-05,87,25,45,,
1.79E-05,11,31,47,,
1.71E-05,6,4,47,,
1.81E-05,28,41,45,,
2.04E-05,24,25,48,,
1.83E-05,81,36,47,,
1.81E-05,23,33,47,,
1.81E-05,74,40,47,,
1.79E-05,8,37,45,,
1.77E-05,30,28,45,,
1.97E-05,29,40,44,,
1.76E-05,82,19,44,,
1.76E-05,82,20,44,,
2.26E-05,13,19,46,,
1.81E-05,82,23,46,,
1.70E-05,25,0,45,,
1.81E-05,23,36,49,,
1.71E-05,90,3,49,,
1.75E-05,4,6,47,,
1.69E-05,90,4,49,,
1.85E-05,19,47,49,,
1.87E-05,7,15,47,,
2.13E-05,90,3,47,,
1.93E-05,14,32,49,,
2.08E-05,15,16,53,,
1.69E-05,89,1,49,,
1.81E-05,76,40,47,,
1.94E-05,30,11,43,,
2.93E-05,75,29,43,,
1.82E-05,75,37,44,,
2.28E-05,86,9,42,,
1.95E-05,14,39,41,,
2.50E-05,83,38,45,,
1.79E-05,2,23,41,,
1.83E-05,25,38,40,,
1.83E-05,1,36,43,,
1.74E-05,23,21,53,,
1.80E-05,15,25,59,,
1.76E-05,6,14,56,,
1.79E-05,82,27,58,,
1.81E-05,73,39,53,,
1.80E-05,73,38,52,,
1.83E-05,80,26,51,,
1.81E-05,83,32,51,,
1.93E-05,29,49,51,,
1.83E-05,12,39,51,,
1.75E-05,7,16,46,,
1.75E-05,12,19,44,,
1.84E-05,75,27,42,,
1.81E-05,76,26,49,,
1.78E-05,7,20,54,,
1.78E-05,77,10,55,,
1.78E-05,89,10,54,,
1.93E-05,13,51,57,,
1.85E-05,86,42,57,,
1.81E-05,90,36,57,,
1.72E-05,27,8,60,,
1.72E-05,29,7,61,,
1.83E-05,76,44,59,,
1.94E-05,87,45,54,,
1.75E-05,6,12,54,,
1.74E-05,76,15,56,,
1.77E-05,14,19,58,,
1.81E-05,89,9,59,,
1.75E-05,76,14,57,,
1.81E-05,23,29,56,,
1.85E-05,87,46,56,,
1.84E-05,82,38,57,,
1.71E-05,22,8,58,,
1.68E-05,11,1,61,,
1.84E-05,6,44,60,,
1.97E-05,86,43,60,,
1.86E-05,90,17,59,,
1.95E-05,76,45,61,,
1.96E-05,5,51,59,,
1.80E-05,16,2,61,,
2.04E-05,27,58,60,,
1.90E-05,34,30,64,,
1.94E-05,82,42,67,,
1.88E-05,18,15,68,,
1.94E-05,76,45,66,,
1.99E-05,31,52,69,,
1.85E-05,22,10,68,,
1.84E-05,90,36,64,,
1.79E-05,8,23,65,,
1.79E-05,23,30,64,,
1.75E-05,22,9,60,,
2.05E-05,26,60,63,,
1.92E-05,25,52,60,,
1.83E-05,90,39,62,,
1.86E-05,31,49,62,,
1.71E-05,89,7,62,,
2.16E-05,30,21,65,,
2.40E-05,83,23,66,,
1.75E-05,30,14,63,,
1.79E-05,72,27,62,,
1.76E-05,86,20,61,,
1.88E-05,72,44,60,,
1.83E-05,17,37,59,,
1.85E-05,72,30,59,,
1.77E-05,86,19,58,,
1.71E-05,26,3,58,,
1.89E-05,19,57,59,,
1.78E-05,20,20,60,,
2.40E-05,30,14,61,,
2.13E-05,30,17,59,,
1.83E-05,79,39,59,,
1.72E-05,9,11,59,,
1.89E-05,77,58,61,,
1.85E-05,10,52,60,,
1.91E-05,88,57,61,,
1.75E-05,9,15,60,,
1.73E-05,34,13,57,,
1.71E-05,4,5,61,,
1.77E-05,30,18,67,,
1.74E-05,22,11,67,,
1.77E-05,29,21,69,,
1.71E-05,14,3,68,,
1.78E-05,3,25,67,,
1.87E-05,22,15,74,,
1.98E-05,11,60,76,,
1.98E-05,2,61,78,,
1.74E-05,34,17,78,,
1.79E-05,19,1,84,,
2.44E-05,3,69,86,,
1.93E-05,30,68,80,,
1.83E-05,12,34,81,,
1.79E-05,86,29,81,,
1.90E-05,76,63,79,,
1.79E-05,27,28,81,,
2.17E-05,22,48,85,,
1.87E-05,88,17,85,,
1.85E-05,12,37,82,,
1.85E-05,74,45,82,,
1.89E-05,8,59,81,,
2.04E-05,2,80,84,,
1.89E-05,32,58,86,,
1.70E-05,22,9,84,,
1.78E-05,27,25,85,,
1.86E-05,88,34,94,,
1.75E-05,22,12,94,,
2.00E-05,4,82,89,,
1.91E-05,23,63,86,,
1.83E-05,85,38,82,,
1.86E-05,71,48,81,,
1.73E-05,22,8,79,,
1.75E-05,82,8,76,,
1.79E-05,88,26,75,,
1.69E-05,31,1,75,,
1.94E-05,20,68,75,,
1.78E-05,34,6,67,,
1.73E-05,86,13,59,,
1.75E-05,84,14,59,,
1.71E-05,34,4,61,,
1.71E-05,22,4,62,,
1.76E-05,82,15,58,,
1.85E-05,33,42,57,,
1.71E-05,77,0,58,,
1.83E-05,23,42,55,,
1.82E-05,35,18,51,,
1.88E-05,7,41,52,,
1.74E-05,24,15,46,,
2.01E-05,89,18,40,,
3.25E-05,84,8,42,,
1.79E-05,86,3,41,,
1.87E-05,25,27,41,,
1.86E-05,32,24,42,,
1.85E-05,7,24,43,,
1.93E-05,35,20,45,,
1.83E-05,71,4,46,,
1.88E-05,72,18,46,,
1.89E-05,5,32,45,,
1.87E-05,24,18,44,,
1.87E-05,24,18,44,,
1.92E-05,89,22,44,,
1.92E-05,76,37,45,,
1.92E-05,74,40,45,,
2.28E-05,5,1,44,,
1.79E-05,4,27,41,,
1.77E-05,89,19,36,,
1.73E-05,78,13,40,,
1.68E-05,24,3,42,,
1.76E-05,89,15,38,,
1.71E-05,24,2,38,,
1.75E-05,21,13,38,,
2.97E-05,89,22,39,,
1.88E-05,35,22,36,,
1.82E-05,74,24,35,,
1.75E-05,30,17,35,,
1.93E-05,3,34,36,,
1.81E-05,23,28,43,,
1.74E-05,16,11,44,,
1.86E-05,34,42,52,,
1.74E-05,89,12,47,,
1.78E-05,15,26,47,,
1.84E-05,35,21,44,,
2.60E-05,24,41,43,,
1.92E-05,10,27,42,,
2.02E-05,34,34,48,,
1.94E-05,18,42,48,,
1.79E-05,27,0,48,,
2.07E-05,24,10,42,,
1.78E-05,23,23,42,,
1.79E-05,88,28,41,,
1.80E-05,73,32,42,,
2.26E-05,20,28,43,,
1.79E-05,88,29,46,,
1.82E-05,24,37,46,,
2.74E-05,74,15,45,,
1.76E-05,88,27,42,,
1.78E-05,34,28,44,,
1.72E-05,21,16,40,,
1.70E-05,75,7,41,,
1.73E-05,23,18,43,,
1.77E-05,20,22,44,,
1.72E-05,90,9,45,,
1.76E-05,88,11,44,,
1.85E-05,24,44,47,,
1.72E-05,75,11,47,,
1.78E-05,4,25,46,,
2.27E-05,27,26,49,,
1.75E-05,76,16,45,,
1.75E-05,76,21,50,,
1.83E-05,34,44,50,,
1.75E-05,9,15,57,,
1.75E-05,7,21,60,,
0.0001701,76,24,58,,
2.92E-05,76,28,58,,
1.75E-05,89,19,59,,
1.79E-05,79,30,59,,
2.40E-05,33,29,59,,
1.86E-05,12,17,61,,
1.88E-05,79,30,61,,
1.97E-05,4,46,64,,
1.93E-05,76,37,64,,
2.64E-05,1,18,63,,
1.87E-05,12,17,60,,
2.39E-05,14,3,60,,
1.83E-05,30,9,64,,
1.85E-05,17,30,66,,
1.78E-05,22,1,66,,
2.00E-05,82,57,65,,
1.92E-05,76,47,65,,
1.93E-05,76,47,65,,
1.78E-05,30,9,65,,
2.83E-05,21,51,63,,
1.74E-05,14,3,62,,
1.85E-05,24,23,59,,
1.79E-05,10,25,60,,
1.90E-05,89,45,55,,
1.96E-05,2,43,56,,
1.74E-05,13,14,56,,
1.77E-05,23,21,58,,
1.87E-05,20,51,56,,
1.88E-05,86,49,56,,
1.88E-05,80,49,60,,
1.85E-05,86,54,65,,
1.78E-05,11,20,63,,
2.02E-05,76,33,60,,
1.83E-05,4,32,56,,
1.90E-05,12,53,56,,
1.84E-05,77,23,52,,
1.70E-05,87,4,46,,
1.73E-05,84,12,46,,
1.89E-05,6,52,55,,
1.77E-05,88,21,56,,
2.57E-05,86,55,61,,
1.92E-05,77,24,59,,
1.81E-05,12,40,63,,
1.75E-05,13,14,62,,
1.87E-05,89,43,64,,
2.14E-05,5,55,66,,
1.79E-05,88,25,67,,
1.91E-05,20,59,68,,
1.96E-05,86,51,67,,
1.81E-05,4,37,65,,
1.89E-05,6,53,66,,
1.85E-05,86,44,63,,
2.08E-05,90,8,62,,
2.03E-05,79,49,65,,
1.98E-05,20,52,64,,
1.95E-05,23,46,63,,
1.80E-05,72,5,67,,
1.94E-05,84,41,66,,
2.10E-05,7,54,65,,
3.28E-05,20,30,67,,
4.24E-05,4,33,66,,
1.90E-05,88,34,63,,
1.93E-05,1,49,66,,
1.71E-05,10,6,68,,
1.78E-05,26,16,68,,
1.70E-05,3,4,63,,
1.94E-05,83,48,61,,
1.84E-05,83,48,59,,
1.76E-05,35,17,59,,
1.89E-05,8,57,59,,
1.76E-05,84,21,56,,
1.86E-05,85,7,53,,
2.20E-05,4,25,50,,
1.83E-05,12,29,48,,
1.73E-05,20,7,48,,
1.79E-05,12,26,46,,
1.72E-05,6,14,48,,
1.78E-05,87,9,47,,
1.71E-05,35,6,46,,
1.83E-05,73,40,47,,
1.97E-05,33,35,48,,
1.77E-05,12,22,47,,
1.78E-05,6,29,47,,
1.72E-05,75,11,44,,
1.71E-05,20,4,45,,
1.81E-05,87,6,43,,
1.81E-05,23,28,45,,
1.79E-05,33,34,45,,
1.81E-05,23,28,45,,
1.79E-05,7,28,46,,
1.74E-05,73,18,47,,
1.85E-05,73,45,48,,
1.75E-05,87,4,49,,
1.84E-05,7,41,48,,
2.12E-05,16,11,49,,
1.77E-05,88,15,50,,
1.73E-05,89,11,51,,
1.77E-05,16,24,51,,
1.76E-05,82,21,50,,
1.78E-05,19,27,45,,
1.73E-05,17,9,42,,
1.81E-05,88,34,41,,
7.40E-05,11,36,41,,
1.82E-05,88,33,42,,
2.36E-05,11,35,39,,
1.75E-05,6,11,38,,
1.76E-05,75,17,36,,
2.03E-05,13,10,37,,
1.80E-05,86,24,42,,
1.72E-05,25,12,45,,
1.91E-05,1,35,44,,
1.85E-05,75,4,45,,
1.76E-05,2,21,48,,
1.75E-05,17,13,48,,
1.77E-05,86,21,39,,
1.82E-05,5,37,39,,
1.89E-05,16,15,40,,
1.70E-05,19,4,40,,
1.81E-05,4,24,39,,
1.74E-05,25,9,40,,
1.79E-05,84,28,36,,
1.71E-05,17,8,37,,
1.74E-05,72,20,39,,
1.79E-05,83,16,39,,
1.82E-05,79,6,40,,
1.84E-05,10,37,42,,
1.68E-05,24,3,40,,
1.81E-05,75,23,43,,
1.75E-05,19,19,41,,
1.86E-05,28,27,42,,
1.82E-05,28,27,42,,
1.79E-05,85,29,41,,
1.74E-05,2,15,41,,
1.78E-05,83,23,41,,
1.70E-05,8,6,41,,
1.81E-05,6,26,40,,
1.92E-05,32,39,41,,
1.90E-05,83,33,41,,
2.00E-05,77,7,42,,
1.91E-05,10,35,41,,
2.39E-05,29,30,43,,
1.80E-05,4,32,44,,
1.86E-05,6,27,47,,
1.72E-05,10,7,47,,
4.98E-05,87,43,49,,
1.81E-05,83,18,46,,
1.89E-05,32,45,47,,
1.79E-05,75,27,49,,
1.78E-05,1,33,49,,
2.03E-05,3,12,47,,
2.34E-05,26,11,49,,
2.24E-05,19,24,49,,
1.96E-05,1,49,51,,
1.79E-05,19,23,50,,
1.78E-05,83,24,50,,
1.70E-05,29,1,51,,
1.74E-05,83,14,49,,
1.77E-05,19,21,47,,
1.78E-05,29,25,48,,
1.83E-05,9,45,47,,
1.83E-05,28,6,42,,
3.69E-05,15,30,43,,
1.83E-05,79,0,43,,
1.89E-05,76,27,42,,
1.90E-05,77,31,44,,
1.88E-05,23,18,42,,
1.82E-05,76,10,43,,
1.80E-05,87,8,43,,
1.87E-05,1,26,38,,
1.80E-05,87,4,37,,
1.80E-05,21,28,33,,
1.75E-05,89,16,35,,
1.87E-05,89,3,32,,
1.79E-05,84,22,34,,
1.77E-05,20,12,36,,
1.69E-05,89,3,35,,
1.75E-05,29,18,35,,
1.69E-05,13,2,34,,
1.76E-05,84,22,31,,
2.56E-05,9,8,32,,
1.75E-05,90,20,36,,
1.74E-05,22,21,34,,
1.76E-05,78,9,39,,
1.73E-05,20,10,38,,
1.73E-05,75,15,35,,
1.83E-05,29,33,46,,
1.81E-05,5,0,45,,
1.85E-05,6,24,45,,
1.79E-05,34,23,46,,
1.75E-05,30,18,47,,
1.80E-05,75,35,48,,
1.73E-05,80,6,50,,
1.89E-05,10,39,43,,
1.77E-05,90,24,42,,
