cas operacie,cislo,index prvku,dlzka zoznamu,,
2.65E-05,82,37,51,,
1.97E-05,86,45,49,,
1.87E-05,76,12,49,,
1.80E-05,84,1,48,,
1.90E-05,84,24,50,,
1.86E-05,87,15,51,,
1.83E-05,86,7,47,,
1.88E-05,76,21,46,,
1.90E-05,90,30,46,,
2.98E-05,75,39,47,,
1.79E-05,85,0,47,,
1.88E-05,90,23,47,,
1.84E-05,79,13,47,,
1.96E-05,80,43,47,,
1.85E-05,73,14,46,,
1.89E-05,77,24,44,,
1.93E-05,73,33,37,,
2.31E-05,75,0,35,,
1.81E-05,87,3,36,,
1.80E-05,80,0,36,,
1.91E-05,73,32,35,,
1.87E-05,81,22,30,,
1.87E-05,74,16,30,,
1.85E-05,76,11,30,,
2.65E-05,75,3,27,,
2.54E-05,76,21,31,,
1.84E-05,78,6,30,,
1.83E-05,79,1,31,,
1.88E-05,82,15,32,,
2.35E-05,86,6,31,,
3.76E-05,86,9,29,,
1.92E-05,71,24,31,,
1.83E-05,71,6,31,,
1.86E-05,83,10,31,,
1.91E-05,72,20,33,,
1.91E-05,78,14,33,,
2.00E-05,90,12,32,,
1.85E-05,88,14,33,,
1.88E-05,90,12,34,,
1.84E-05,77,8,34,,
4.25E-05,88,26,33,,
1.93E-05,71,28,32,,
1.86E-05,77,15,28,,
1.91E-05,80,27,29,,
1.87E-05,88,16,27,,
1.83E-05,84,11,26,,
7.88E-05,77,16,21,,
1.85E-05,83,12,22,,
1.95E-05,83,17,21,,
1.86E-05,79,18,21,,
2.01E-05,79,10,18,,
1.86E-05,87,11,18,,
1.85E-05,80,5,17,,
1.85E-05,86,2,17,,
1.87E-05,88,16,18,,
1.83E-05,87,10,17,,
2.29E-05,73,13,18,,
1.81E-05,81,1,17,,
1.85E-05,72,12,18,,
1.81E-05,71,0,20,,
1.89E-05,89,15,18,,
1.82E-05,79,0,17,,
1.84E-05,81,11,17,,
1.85E-05,81,12,21,,
1.84E-05,82,13,22,,
2.29E-05,76,16,22,,
1.81E-05,86,0,23,,
1.82E-05,77,3,23,,
1.89E-05,83,15,29,,
2.18E-05,86,5,35,,
1.96E-05,71,27,36,,
1.89E-05,77,19,36,,
1.83E-05,77,6,36,,
1.93E-05,74,28,35,,
2.14E-05,72,21,30,,
1.88E-05,86,20,33,,
1.88E-05,86,21,33,,
1.94E-05,89,29,32,,
1.89E-05,74,26,32,,
1.85E-05,85,10,33,,
1.86E-05,81,18,34,,
1.89E-05,84,25,35,,
1.82E-05,74,6,30,,
2.07E-05,88,15,29,,
2.90E-05,78,17,29,,
1.86E-05,79,3,29,,
1.83E-05,88,8,28,,
2.30E-05,80,20,36,,
2.04E-05,88,27,35,,
1.81E-05,83,19,37,,
1.83E-05,83,32,38,,
1.82E-05,88,23,40,,
1.74E-05,78,4,43,,
1.73E-05,82,5,43,,
1.87E-05,75,33,46,,
2.22E-05,83,10,41,,
1.88E-05,75,37,40,,
1.82E-05,86,22,42,,
1.71E-05,86,4,39,,
1.81E-05,87,17,40,,
1.71E-05,89,4,40,,
1.75E-05,83,12,38,,
1.74E-05,81,13,38,,
1.78E-05,90,15,37,,
2.21E-05,82,26,37,,
1.75E-05,87,17,38,,
1.80E-05,82,24,38,,
1.81E-05,88,17,45,,
1.77E-05,85,19,40,,
2.12E-05,78,17,40,,
1.80E-05,79,25,44,,
1.74E-05,79,10,47,,
1.82E-05,85,37,45,,
1.79E-05,83,20,46,,
1.95E-05,86,29,44,,
1.84E-05,75,30,45,,
1.86E-05,78,37,42,,
1.85E-05,75,35,43,,
1.81E-05,84,26,42,,
1.88E-05,81,44,48,,
1.74E-05,90,2,49,,
1.80E-05,78,18,46,,
1.87E-05,76,39,46,,
1.77E-05,81,17,47,,
1.73E-05,89,3,48,,
1.80E-05,88,16,45,,
1.78E-05,77,13,51,,
1.86E-05,80,40,49,,
1.81E-05,89,5,43,,
1.78E-05,86,7,42,,
1.85E-05,83,32,41,,
1.86E-05,83,40,43,,
1.85E-05,80,40,43,,
1.83E-05,80,29,43,,
1.97E-05,72,35,42,,
1.82E-05,80,28,44,,
2.33E-05,78,29,55,,
1.91E-05,86,43,58,,
1.76E-05,77,14,60,,
1.73E-05,87,6,58,,
1.93E-05,87,17,56,,
1.75E-05,84,14,57,,
1.86E-05,73,41,57,,
1.77E-05,72,1,52,,
1.82E-05,76,35,52,,
2.54E-05,81,45,50,,
1.93E-05,87,39,51,,
1.79E-05,76,8,51,,
1.78E-05,72,12,52,,
1.88E-05,89,36,48,,
1.80E-05,82,27,47,,
1.79E-05,76,25,48,,
1.82E-05,86,34,47,,
1.81E-05,73,24,46,,
3.57E-05,90,28,44,,
1.77E-05,83,16,49,,
1.82E-05,90,32,52,,
2.04E-05,88,18,54,,
1.84E-05,77,31,64,,
1.78E-05,83,19,61,,
2.04E-05,72,24,57,,
1.86E-05,82,38,57,,
1.90E-05,78,49,58,,
1.93E-05,82,52,61,,
1.93E-05,77,57,61,,
1.75E-05,75,9,61,,
1.77E-05,90,18,61,,
1.93E-05,84,57,60,,
3.15E-05,76,17,61,,
1.97E-05,72,40,59,,
1.91E-05,81,37,60,,
1.95E-05,75,43,59,,
1.96E-05,88,30,58,,
1.97E-05,72,36,66,,
1.81E-05,84,2,66,,
1.99E-05,82,61,64,,
1.73E-05,71,0,65,,
1.80E-05,89,24,63,,
1.78E-05,84,23,60,,
1.79E-05,78,21,59,,
2.21E-05,78,0,58,,
2.00E-05,72,29,60,,
1.94E-05,77,50,61,,
1.78E-05,77,10,63,,
2.02E-05,72,28,59,,
1.94E-05,74,59,63,,
1.81E-05,81,33,63,,
1.91E-05,88,60,62,,
1.92E-05,85,39,65,,
1.76E-05,86,19,61,,
1.89E-05,75,49,61,,
1.91E-05,88,52,59,,
1.83E-05,80,21,60,,
1.84E-05,84,35,59,,
1.86E-05,85,43,62,,
2.54E-05,79,43,63,,
1.78E-05,82,16,57,,
1.82E-05,75,30,59,,
1.82E-05,71,30,61,,
1.81E-05,84,25,60,,
1.83E-05,90,34,60,,
2.07E-05,78,55,62,,
1.85E-05,74,34,61,,
1.88E-05,72,35,61,,
1.74E-05,74,3,61,,
2.13E-05,76,54,62,,
1.87E-05,88,47,60,,
1.84E-05,75,36,60,,
1.80E-05,72,26,57,,
1.70E-05,78,0,57,,
1.74E-05,82,4,60,,
2.51E-05,88,13,61,,
1.92E-05,83,58,68,,
0.0001077,88,10,69,,
1.81E-05,80,26,68,,
1.75E-05,82,14,68,,
1.85E-05,84,42,67,,
1.77E-05,71,21,68,,
2.70E-05,88,33,70,,
1.85E-05,83,37,69,,
1.98E-05,90,6,73,,
1.95E-05,74,40,74,,
2.90E-05,75,37,84,,
1.89E-05,80,2,86,,
2.03E-05,71,51,78,,
2.21E-05,73,14,80,,
1.94E-05,88,66,77,,
2.07E-05,88,35,85,,
1.92E-05,77,51,82,,
1.95E-05,82,41,84,,
2.41E-05,85,41,86,,
2.72E-05,74,70,88,,
1.90E-05,85,48,86,,
1.84E-05,84,29,87,,
1.96E-05,73,72,83,,
1.74E-05,77,7,84,,
1.95E-05,77,69,89,,
3.24E-05,72,38,94,,
2.53E-05,76,42,92,,
1.74E-05,72,5,90,,
2.39E-05,88,34,84,,
1.83E-05,88,35,78,,
2.92E-05,72,71,75,,
1.79E-05,72,22,77,,
1.74E-05,76,2,73,,
1.88E-05,89,37,61,,
1.78E-05,76,16,59,,
1.71E-05,77,0,57,,
2.54E-05,71,26,56,,
1.84E-05,76,28,52,,
1.78E-05,84,23,41,,
1.79E-05,89,18,40,,
3.59E-05,79,33,43,,
1.80E-05,88,4,43,,
2.31E-05,81,31,45,,
1.93E-05,76,31,43,,
1.81E-05,76,0,45,,
1.88E-05,89,17,47,,
1.88E-05,73,11,45,,
2.11E-05,89,24,45,,
1.83E-05,83,0,46,,
1.88E-05,78,17,45,,
2.49E-05,79,11,44,,
1.86E-05,71,32,43,,
1.75E-05,74,11,39,,
1.85E-05,77,33,36,,
1.74E-05,90,2,36,,
1.88E-05,78,9,36,,
1.92E-05,88,35,37,,
1.79E-05,89,16,43,,
2.06E-05,83,40,42,,
1.88E-05,77,8,42,,
1.81E-05,82,26,42,,
1.78E-05,89,17,41,,
2.38E-05,71,24,36,,
1.78E-05,75,18,30,,
1.78E-05,80,16,35,,
3.41E-05,88,0,35,,
1.89E-05,80,12,35,,
1.82E-05,73,10,37,,
1.83E-05,83,33,37,,
1.78E-05,88,17,38,,
2.05E-05,88,26,47,,
1.86E-05,85,43,47,,
2.00E-05,89,34,46,,
2.99E-05,71,40,44,,
2.00E-05,86,36,44,,
1.94E-05,88,33,44,,
1.92E-05,73,37,47,,
1.87E-05,73,33,42,,
1.80E-05,84,23,42,,
1.75E-05,90,13,43,,
1.77E-05,74,16,43,,
2.37E-05,84,42,45,,
1.85E-05,86,37,42,,
1.71E-05,85,0,44,,
1.75E-05,88,10,44,,
1.85E-05,88,39,43,,
1.91E-05,88,6,39,,
1.86E-05,85,35,44,,
1.81E-05,75,26,44,,
1.83E-05,72,30,44,,
1.85E-05,86,34,46,,
1.77E-05,87,18,48,,
1.87E-05,82,46,48,,
1.89E-05,79,44,47,,
1.75E-05,76,11,47,,
1.74E-05,75,10,47,,
1.74E-05,76,12,47,,
1.72E-05,87,5,47,,
1.73E-05,72,5,45,,
1.79E-05,80,16,49,,
1.80E-05,84,18,48,,
1.78E-05,76,13,46,,
1.73E-05,71,5,46,,
1.81E-05,87,29,46,,
1.79E-05,83,23,46,,
1.82E-05,76,30,47,,
1.71E-05,85,1,45,,
1.72E-05,82,5,45,,
2.53E-05,79,21,46,,
1.85E-05,82,35,44,,
1.85E-05,89,38,51,,
1.87E-05,89,19,60,,
2.21E-05,85,11,58,,
1.93E-05,77,32,62,,
1.84E-05,81,6,62,,
3.16E-05,88,30,63,,
2.72E-05,80,14,63,,
1.98E-05,90,42,64,,
1.88E-05,84,24,66,,
2.00E-05,86,54,66,,
2.00E-05,79,44,67,,
2.01E-05,79,59,67,,
1.83E-05,80,9,67,,
1.92E-05,84,39,67,,
1.89E-05,75,28,65,,
1.92E-05,74,3,59,,
1.82E-05,76,19,59,,
1.78E-05,72,5,58,,
1.76E-05,76,12,57,,
1.75E-05,71,0,56,,
1.82E-05,90,15,60,,
1.75E-05,82,11,60,,
2.83E-05,80,51,60,,
2.18E-05,79,0,58,,
1.84E-05,80,36,67,,
1.94E-05,83,58,62,,
2.38E-05,76,17,60,,
1.80E-05,78,6,60,,
1.80E-05,81,12,61,,
1.78E-05,87,7,54,,
2.26E-05,79,25,53,,
1.75E-05,71,7,54,,
2.16E-05,77,40,52,,
1.82E-05,88,20,52,,
1.84E-05,71,39,49,,
1.77E-05,88,11,50,,
1.95E-05,86,50,54,,
1.83E-05,71,30,56,,
2.01E-05,90,47,59,,
1.75E-05,75,1,63,,
2.40E-05,83,56,62,,
1.78E-05,72,12,62,,
1.88E-05,79,47,66,,
1.73E-05,87,5,64,,
2.17E-05,90,1,66,,
2.05E-05,79,56,67,,
1.86E-05,84,41,67,,
