cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,,
1.79E-05,10,13,33,,,,,0.0000174,18,1,7
1.85E-05,5,24,34,,,,,0.0000179,2,4,7
1.96E-05,1,24,36,,,,,0.0000176,12,4,7
1.89E-05,7,5,33,,,,,0.0000256,8,4,7
1.88E-05,14,34,36,,,,,0.0000188,1,3,7
1.85E-05,2,27,35,,,,,0.0000283,11,2,7
1.84E-05,19,21,35,,,,,0.0000177,1,2,7
1.87E-05,9,16,37,,,,,0.0000177,7,4,7
1.79E-05,11,12,36,,,,,0.0000101,14,0,7
1.77E-05,13,16,33,,,,,0.0000225,1,1,7
1.83E-05,17,23,32,,,,,0.0000179,7,3,7
1.79E-05,14,6,35,,,,,0.0000175,5,3,7
1.91E-05,7,16,36,,,,,0.00001,15,0,7
1.89E-05,14,17,38,,,,,0.0000099,12,0,7
1.85E-05,6,13,40,,,,,0.0000182,19,1,7
1.76E-05,15,3,40,,,,,0.0000194,2,4,7
1.89E-05,8,13,41,,,,,0.0000175,20,1,7
2.00E-05,9,11,40,,,,,0.0000179,13,1,7
2.63E-05,7,7,40,,,,,0.0000178,15,1,7
1.85E-05,3,17,36,,,,,0.0000111,13,0,7
1.83E-05,4,19,37,,,,,0.0000183,17,2,7
1.80E-05,15,17,37,,,,,0.0000099,15,0,7
1.81E-05,4,21,38,,,,,0.0000177,12,6,8
1.96E-05,13,18,39,,,,,0.0000175,1,5,8
2.05E-05,19,28,38,,,,,0.0000175,8,3,8
1.79E-05,4,15,38,,,,,0.0000101,9,0,8
1.86E-05,17,2,37,,,,,0.0000174,7,3,8
1.75E-05,3,1,40,,,,,0.0000181,8,3,8
1.89E-05,9,32,42,,,,,0.0000176,9,4,8
1.88E-05,20,36,43,,,,,0.0000178,15,5,8
1.91E-05,5,34,43,,,,,0.000023,3,2,8
1.93E-05,19,39,44,,,,,0.0000175,2,2,8
1.90E-05,13,11,44,,,,,0.0000181,10,5,8
1.86E-05,16,34,38,,,,,0.0000108,17,0,8
1.86E-05,18,32,37,,,,,0.0000176,14,1,8
1.93E-05,10,8,32,,,,,0.0000178,18,5,8
1.78E-05,18,8,34,,,,,0.0000182,20,6,8
1.80E-05,11,9,35,,,,,0.0000184,8,6,8
1.84E-05,8,23,35,,,,,0.0000261,4,1,8
1.77E-05,1,10,36,,,,,0.0000326,20,0,8
1.80E-05,14,22,35,,,,,0.0000183,13,5,8
1.86E-05,7,30,32,,,,,0.0000176,6,2,8
1.85E-05,9,30,32,,,,,0.0000177,3,6,8
1.94E-05,15,21,32,,,,,0.0000193,6,3,8
1.83E-05,10,18,33,,,,,0.0000176,12,2,8
1.77E-05,11,2,33,,,,,0.0000108,14,0,9
1.84E-05,11,16,37,,,,,0.0000189,4,5,9
1.82E-05,12,21,33,,,,,0.0000176,16,5,9
1.77E-05,20,12,32,,,,,0.0000194,12,6,9
1.82E-05,6,25,32,,,,,0.0000177,6,5,9
1.80E-05,10,18,33,,,,,0.0000179,14,7,9
1.75E-05,5,11,34,,,,,0.000018,5,1,9
1.85E-05,18,26,36,,,,,0.0000283,9,6,9
1.78E-05,14,13,37,,,,,0.0000176,11,6,9
1.75E-05,13,2,37,,,,,0.0000101,17,0,9
1.90E-05,3,26,39,,,,,0.000024,1,2,9
1.86E-05,18,20,40,,,,,0.00001,17,0,9
1.87E-05,12,36,41,,,,,0.0000178,12,7,9
2.16E-05,9,32,42,,,,,0.00001,7,0,9
1.79E-05,16,5,43,,,,,0.0000181,4,5,9
1.83E-05,6,19,40,,,,,0.0001024,4,2,9
1.88E-05,20,38,41,,,,,0.0000183,9,4,9
1.82E-05,3,22,42,,,,,0.0000227,18,7,9
1.77E-05,15,6,41,,,,,0.0000186,5,6,9
1.87E-05,15,33,41,,,,,0.0000177,18,3,9
1.77E-05,5,9,36,,,,,0.0000184,5,6,9
1.80E-05,11,10,30,,,,,0.0000101,7,0,9
1.93E-05,1,19,27,,,,,0.0000178,16,3,9
