cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,
1.00E-05,5,0,42,,,,0.0000101,7,0,8
2.09E-05,7,0,43,,,,0.0000101,1,0,8
1.01E-05,9,0,42,,,,0.0000099,19,0,8
1.02E-05,3,0,41,,,,0.0000107,12,0,8
1.02E-05,3,0,37,,,,0.0000115,4,0,9
9.90E-06,18,0,38,,,,0.0000101,4,0,9
1.03E-05,9,0,32,,,,0.00001,16,0,9
1.02E-05,10,0,31,,,,0.0000133,1,0,9
2.55E-05,16,0,29,,,,0.0000104,19,0,9
1.24E-05,19,0,27,,,,0.0000154,9,0,9
1.10E-05,14,0,28,,,,0.0000106,5,0,9
1.50E-05,13,0,30,,,,0.0000101,20,0,9
1.02E-05,5,0,34,,,,0.00001,6,0,9
1.01E-05,20,0,36,,,,0.00001,11,0,9
1.01E-05,9,0,35,,,,0.0000106,1,0,9
1.29E-05,15,0,37,,,,0.0000115,13,0,9
1.12E-05,13,0,38,,,,0.0000102,18,0,9
1.09E-05,16,0,41,,,,0.0000103,7,0,9
1.12E-05,19,0,37,,,,0.0000105,3,0,9
1.09E-05,9,0,38,,,,0.0000101,18,0,9
1.09E-05,18,0,39,,,,0.00001,6,0,9
1.12E-05,11,0,39,,,,0.0000102,14,0,9
1.07E-05,5,0,39,,,,0.0000099,13,0,9
1.99E-05,6,0,28,,,,0.0000101,6,0,9
1.08E-05,16,0,30,,,,0.0000099,8,0,9
1.10E-05,17,0,31,,,,0.0000102,14,0,9
1.09E-05,9,0,32,,,,0.0000099,6,0,9
1.11E-05,17,0,31,,,,0.0000102,14,0,10
1.11E-05,8,0,32,,,,0.000012,18,0,10
1.11E-05,7,0,28,,,,0.0000127,20,0,10
1.09E-05,15,0,26,,,,0.0000102,3,0,10
1.54E-05,5,0,24,,,,0.0000115,11,0,10
1.64E-05,6,0,23,,,,0.0000148,20,0,10
1.74E-05,7,0,23,,,,0.0000103,13,0,10
1.25E-05,14,0,26,,,,0.0000101,1,0,10
1.01E-05,13,0,23,,,,0.0000099,9,0,10
1.04E-05,15,0,24,,,,0.0000168,12,0,10
1.00E-05,17,0,23,,,,0.0000106,5,0,10
1.09E-05,16,0,26,,,,0.0000187,19,0,10
1.14E-05,13,0,16,,,,0.0000113,2,0,10
1.08E-05,19,0,20,,,,0.000011,1,0,10
1.11E-05,13,0,21,,,,0.0000101,12,0,10
1.12E-05,10,0,20,,,,0.0000101,20,0,10
1.18E-05,14,0,20,,,,0.0000144,1,0,11
1.00E-05,7,0,18,,,,0.00001,15,0,11
3.68E-05,10,0,17,,,,0.0000099,5,0,11
1.14E-05,1,0,18,,,,0.0000105,12,0,11
1.05E-05,17,0,20,,,,0.00001,7,0,11
1.03E-05,11,0,22,,,,0.0000106,10,0,11
1.00E-05,15,0,23,,,,0.00001,5,0,11
1.80E-05,13,0,22,,,,0.0000101,11,0,11
1.02E-05,15,0,20,,,,0.00001,15,0,11
9.90E-06,7,0,21,,,,0.00001,14,0,11
1.29E-05,20,0,22,,,,0.0000105,13,0,11
9.90E-06,7,0,19,,,,0.00001,10,0,11
9.80E-06,17,0,19,,,,0.0000102,3,0,11
1.03E-05,7,0,18,,,,0.0000109,3,0,11
9.90E-06,10,0,16,,,,0.00001,10,0,11
1.07E-05,9,0,18,,,,0.00001,17,0,12
1.00E-05,9,0,19,,,,0.00001,18,0,12
1.03E-05,10,0,18,,,,0.0000102,12,0,12
1.02E-05,7,0,20,,,,0.0000102,1,0,12
1.00E-05,17,0,22,,,,0.0000104,20,0,12
1.02E-05,17,0,22,,,,0.0000112,8,0,12
1.09E-05,14,0,21,,,,0.0000148,17,0,12
1.07E-05,17,0,22,,,,0.00001,10,0,12
1.74E-05,13,0,21,,,,0.0000111,10,0,12
1.72E-05,15,0,22,,,,0.00001,19,0,12
1.10E-05,16,0,24,,,,0.0000101,13,0,12
1.66E-05,8,0,25,,,,0.0000102,13,0,12
1.10E-05,3,0,19,,,,0.0000117,10,0,12
1.15E-05,4,0,20,,,,0.0000099,16,0,12
1.12E-05,3,0,18,,,,0.0000117,17,0,13
1.59E-05,3,0,20,,,,0.0000149,20,0,13
1.79E-05,8,0,18,,,,0.0000102,5,0,13
1.09E-05,3,0,17,,,,0.0000101,3,0,13
1.07E-05,8,0,18,,,,0.0000154,12,0,13
1.07E-05,6,0,19,,,,0.0000107,10,0,13
1.51E-05,3,0,20,,,,0.0000101,1,0,13
1.13E-05,3,0,21,,,,0.0000101,18,0,13
1.09E-05,1,0,22,,,,0.0000101,12,0,13
1.06E-05,8,0,23,,,,0.0000099,20,0,13
1.00E-05,1,0,24,,,,0.00001,3,0,13
1.02E-05,12,0,27,,,,0.0000105,6,0,13
1.26E-05,11,0,27,,,,0.0000112,15,0,13
1.37E-05,7,0,29,,,,0.0000101,2,0,14
1.13E-05,3,0,28,,,,0.0000101,17,0,14
1.00E-05,8,0,24,,,,0.0000112,18,0,14
1.00E-05,2,0,25,,,,0.0000109,11,0,14
1.08E-05,10,0,23,,,,0.0000107,18,0,14
1.01E-05,6,0,24,,,,0.0000104,16,0,14
1.52E-05,5,0,25,,,,0.0000243,15,0,14
1.00E-05,2,0,20,,,,0.00001,16,0,14
1.48E-05,2,0,18,,,,0.00001,4,0,14
9.90E-06,11,0,19,,,,0.0000101,18,0,14
1.01E-05,6,0,19,,,,0.0000101,10,0,14
1.01E-05,8,0,19,,,,0.0000099,16,0,14
1.01E-05,12,0,18,,,,0.0000101,6,0,14
1.00E-05,12,0,23,,,,0.00001,16,0,14
1.01E-05,17,0,24,,,,0.0000101,14,0,14
