cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,
1.20E-06,8,8,19,,
1.20E-06,12,12,19,,
1.40E-06,13,13,19,,
1.40E-06,17,17,19,,
9.00E-07,8,8,16,,
7.00E-07,6,6,16,,
1.50E-06,9,9,16,,
1.20E-06,9,9,20,,
8.00E-07,7,7,20,,
1.60E-06,18,18,20,,
1.60E-06,17,17,20,,
1.10E-06,12,12,21,,
1.00E-06,7,7,22,,
1.50E-06,17,17,22,,
1.20E-06,14,14,20,,
1.50E-06,18,18,20,,
7.00E-07,2,2,22,,
6.00E-07,4,4,22,,
1.10E-06,9,9,18,,
1.30E-06,14,14,20,,
5.00E-07,3,3,21,,
1.50E-06,17,17,21,,
9.00E-07,7,7,17,,
1.30E-06,14,14,18,,
8.00E-07,8,8,18,,
1.20E-06,10,10,18,,
9.00E-07,6,6,18,,
6.00E-07,2,2,17,,
7.00E-07,3,3,21,,
1.00E-06,9,9,20,,
1.30E-06,14,14,20,,
8.00E-07,3,3,19,,
2.00E-06,22,22,24,,
1.20E-06,10,10,19,,
4.00E-07,0,0,18,,
1.80E-06,15,15,18,,
1.30E-06,13,13,18,,
7.00E-07,5,5,17,,
1.00E-06,9,9,17,,
1.40E-06,6,6,21,,
1.00E-06,8,8,20,,
1.50E-06,17,17,20,,
1.60E-06,17,17,20,,
9.00E-07,7,7,17,,
1.00E-06,8,8,17,,
5.00E-07,0,0,18,,
1.10E-06,6,6,16,,
6.00E-07,4,4,16,,
6.00E-07,2,2,23,,
1.60E-06,15,15,24,,
1.20E-06,12,12,23,,
5.00E-07,3,3,23,,
6.00E-07,2,2,22,,
6.00E-07,0,0,24,,
1.50E-06,17,17,25,,
1.60E-06,13,13,25,,
1.10E-06,7,7,29,,
1.70E-06,19,19,29,,
2.10E-06,24,24,25,,
2.30E-06,17,17,22,,
1.10E-06,7,7,22,,
9.00E-07,8,8,23,,
4.00E-07,0,0,22,,
1.70E-06,18,18,20,,
5.00E-07,2,2,19,,
1.60E-06,18,18,19,,
2.50E-06,17,17,19,,
1.00E-06,9,9,19,,
7.00E-07,4,4,18,,
4.00E-07,0,0,19,,
1.20E-06,10,10,18,,
9.00E-07,5,5,18,,
6.00E-07,3,3,23,,
1.10E-06,11,11,23,,
7.00E-07,1,1,25,,
1.40E-06,11,11,25,,
1.20E-06,10,10,27,,
4.00E-07,0,0,24,,
1.90E-06,19,19,24,,
1.30E-06,10,10,24,,
5.00E-07,3,3,27,,
6.00E-07,4,4,27,,
4.00E-07,1,1,27,,
1.80E-06,21,21,30,,
2.00E-06,25,25,28,,
1.90E-06,23,23,26,,
1.50E-06,18,18,26,,
1.00E-06,10,10,26,,
1.80E-06,17,17,24,,
1.30E-06,10,10,25,,
1.10E-06,11,11,25,,
2.10E-06,23,23,26,,
1.70E-06,13,13,29,,
1.30E-06,13,13,26,,
4.00E-07,0,0,25,,
1.10E-06,10,10,25,,
1.20E-06,13,13,26,,
3.00E-07,0,0,28,,
1.00E-06,9,9,25,,
1.00E-06,7,7,23,,
1.20E-06,10,10,22,,
2.60E-06,18,18,21,,
1.90E-06,19,19,22,,
1.20E-06,12,12,23,,
5.00E-07,0,0,22,,
2.40E-06,19,19,21,,
6.00E-07,1,1,20,,
1.10E-06,7,7,22,,
1.70E-06,15,15,23,,
5.00E-07,1,1,20,,
1.20E-06,14,14,20,,
4.00E-07,1,1,17,,
6.00E-07,5,5,17,,
9.00E-07,5,5,17,,
1.50E-06,12,12,16,,
9.00E-07,8,8,18,,
1.20E-06,12,12,18,,
6.00E-07,2,2,18,,
1.00E-06,9,9,19,,
1.50E-06,13,13,23,,
