cas operacie,vlozene cislo,index prvku,dlzka zoznamu,,,,,,,,
1.20E-06,7,27,28,,,,,0.0000013,4,3,4
2.10E-06,7,28,29,,,,,0.0000014,5,3,4
1.80E-06,11,30,31,,,,,0.0000015,8,3,4
1.30E-06,13,31,32,,,,,0.0000014,4,3,4
1.80E-06,8,31,32,,,,,0.0000012,14,3,4
1.50E-06,2,37,38,,,,,0.0000014,9,3,4
1.50E-06,19,35,36,,,,,0.0000014,18,3,4
1.40E-06,14,36,37,,,,,0.0000014,5,3,4
1.50E-06,20,37,38,,,,,0.0000016,7,3,4
1.40E-06,13,35,36,,,,,0.0000011,10,3,4
2.00E-06,3,34,35,,,,,0.0000013,16,3,4
1.40E-06,12,34,35,,,,,0.0000013,10,3,4
1.60E-06,3,35,36,,,,,0.0000013,10,3,4
1.70E-06,1,36,37,,,,,0.000002,10,3,4
1.40E-06,14,37,38,,,,,0.0000012,2,3,4
1.20E-06,5,37,38,,,,,0.0000011,20,3,4
1.10E-06,13,39,40,,,,,0.0000012,9,3,4
2.60E-06,13,38,39,,,,,0.0000016,17,3,4
1.70E-06,2,39,40,,,,,0.0000013,13,3,4
2.40E-06,4,40,41,,,,,0.0000027,16,3,4
1.40E-06,8,39,40,,,,,0.0000042,7,3,4
1.50E-06,7,38,39,,,,,0.0000013,10,3,4
1.30E-06,2,36,37,,,,,0.0000011,7,3,4
1.50E-06,6,37,38,,,,,0.0000012,9,3,4
1.70E-06,18,38,39,,,,,0.0000015,16,3,4
1.20E-06,15,39,40,,,,,0.0000013,9,3,4
1.20E-06,3,40,41,,,,,0.0000016,3,4,5
1.40E-06,1,36,37,,,,,0.0000012,16,4,5
1.40E-06,15,36,37,,,,,0.0000012,6,4,5
1.50E-06,15,38,39,,,,,0.0000011,2,4,5
1.40E-06,19,40,41,,,,,0.0000012,20,4,5
1.40E-06,20,39,40,,,,,0.0000014,8,4,5
1.20E-06,9,40,41,,,,,0.0000012,7,4,5
1.60E-06,19,39,40,,,,,0.0000013,19,4,5
1.40E-06,4,40,41,,,,,0.0000032,20,4,5
1.20E-06,11,38,39,,,,,0.0000012,4,4,5
1.40E-06,1,34,35,,,,,0.0000023,17,4,5
1.40E-06,5,37,38,,,,,0.0000013,14,4,5
1.70E-06,19,34,35,,,,,0.0000014,16,4,5
1.30E-06,5,32,33,,,,,0.0000013,13,4,5
1.40E-06,13,33,34,,,,,0.0000012,3,4,5
1.50E-06,19,30,31,,,,,0.0000011,14,4,5
1.50E-06,3,28,29,,,,,0.0000038,1,4,5
1.40E-06,13,28,29,,,,,0.0000013,13,4,5
1.40E-06,5,29,30,,,,,0.0000015,17,4,5
2.90E-06,5,30,31,,,,,0.0000013,14,4,5
1.80E-06,14,31,32,,,,,0.0000013,19,4,5
1.50E-06,16,25,26,,,,,0.0000014,13,4,5
1.50E-06,11,27,28,,,,,0.0000019,15,4,5
1.40E-06,19,26,27,,,,,0.0000014,17,4,5
1.40E-06,20,31,32,,,,,0.0000014,20,4,5
1.50E-06,20,30,31,,,,,0.0000012,18,4,5
1.60E-06,5,30,31,,,,,0.0000013,1,4,5
1.50E-06,6,34,35,,,,,0.0000013,18,4,5
1.60E-06,1,35,36,,,,,0.0000016,16,4,5
1.20E-06,7,35,36,,,,,0.0000013,9,4,5
1.30E-06,12,33,34,,,,,0.0000013,13,4,5
1.60E-06,15,33,34,,,,,0.0000013,7,4,5
1.40E-06,18,35,36,,,,,0.0000013,7,5,6
1.30E-06,14,33,34,,,,,0.0000016,16,5,6
1.50E-06,6,32,33,,,,,0.0000015,16,5,6
1.20E-06,8,32,33,,,,,0.0000014,1,5,6
1.50E-06,19,32,33,,,,,0.0000015,18,5,6
1.10E-06,5,35,36,,,,,0.0000017,11,5,6
1.60E-06,5,35,36,,,,,0.0000014,15,5,6
2.50E-06,19,36,37,,,,,0.0000014,8,5,6
1.70E-06,16,34,35,,,,,0.0000016,4,5,6
