cas operacie,cislo na indexe,index prvku,dlzka zoznamu,,
1.72E-05,56,10,34,,
1.72E-05,77,5,33,,
1.81E-05,79,29,31,,
1.73E-05,64,16,29,,
1.71E-05,9,8,26,,
1.71E-05,1,4,24,,
1.69E-05,77,2,24,,
1.76E-05,64,13,23,,
2.59E-05,3,16,23,,
1.77E-05,53,16,22,,
1.74E-05,88,8,22,,
1.73E-05,9,6,22,,
1.70E-05,72,1,22,,
1.80E-05,66,2,21,,
1.73E-05,67,12,22,,
1.76E-05,64,17,23,,
1.79E-05,56,19,24,,
1.76E-05,8,22,25,,
1.68E-05,66,3,25,,
1.78E-05,83,23,25,,
2.40E-05,43,6,25,,
1.80E-05,17,22,26,,
1.91E-05,18,9,24,,
1.88E-05,67,13,24,,
1.86E-05,12,16,24,,
2.40E-05,18,3,24,,
1.70E-05,76,1,26,,
1.77E-05,12,17,27,,
1.72E-05,18,5,29,,
1.78E-05,44,26,29,,
2.21E-05,16,7,31,,
1.82E-05,53,9,31,,
1.84E-05,16,8,34,,
3.31E-05,53,20,31,,
2.59E-05,72,13,31,,
2.70E-05,11,24,31,,
4.87E-05,57,12,29,,
2.98E-05,17,27,29,,
0.0002072,71,5,30,,
1.89E-05,83,21,28,,
1.87E-05,17,27,29,,
1.87E-05,17,19,26,,
1.88E-05,45,24,27,,
1.80E-05,61,9,27,,
1.85E-05,67,12,25,,
1.82E-05,71,7,25,,
3.08E-05,52,15,23,,
2.33E-05,53,16,24,,
3.07E-05,17,23,25,,
1.83E-05,12,19,24,,
1.79E-05,43,3,24,,
4.31E-05,72,9,24,,
1.83E-05,53,15,24,,
1.81E-05,50,8,23,,
1.84E-05,12,19,25,,
2.80E-05,71,1,24,,
3.04E-05,18,0,26,,
3.11E-05,53,3,26,,
3.82E-05,17,21,26,,
1.87E-05,17,19,24,,
1.82E-05,72,6,24,,
1.85E-05,17,20,24,,
1.87E-05,50,12,21,,
1.80E-05,9,11,20,,
1.91E-05,90,14,19,,
1.72E-05,44,5,17,,
1.73E-05,50,9,16,,
1.71E-05,90,11,17,,
1.70E-05,9,4,15,,
1.67E-05,54,2,15,,
1.72E-05,17,8,14,,
1.68E-05,71,0,14,,
1.72E-05,17,8,14,,
1.72E-05,62,12,14,,
1.72E-05,12,11,14,,
1.70E-05,44,0,14,,
1.68E-05,54,0,14,,
1.75E-05,90,8,15,,
1.70E-05,9,2,15,,
1.73E-05,12,9,12,,
1.75E-05,81,10,13,,
1.71E-05,58,7,13,,
1.68E-05,86,1,13,,
1.70E-05,53,2,11,,
1.70E-05,6,0,11,,
1.71E-05,7,4,10,,
1.84E-05,58,5,9,,
1.86E-05,83,2,9,,
1.79E-05,6,2,10,,
1.83E-05,41,8,10,,
1.80E-05,7,4,9,,
1.71E-05,84,0,11,,
1.77E-05,41,8,13,,
1.68E-05,84,1,13,,
1.74E-05,81,9,13,,
1.70E-05,3,0,13,,
1.73E-05,58,9,14,,
1.74E-05,8,13,15,,
1.75E-05,8,13,15,,
1.75E-05,58,8,16,,
1.73E-05,79,6,16,,
1.70E-05,6,2,16,,
1.70E-05,83,3,15,,
1.84E-05,67,12,15,,
1.86E-05,60,8,15,,
3.00E-05,67,13,16,,
1.79E-05,74,7,16,,
3.13E-05,83,5,17,,
1.80E-05,58,11,17,,
2.23E-05,84,5,19,,
1.73E-05,3,4,19,,
1.74E-05,74,9,19,,
1.72E-05,16,1,20,,
1.76E-05,60,11,22,,
1.72E-05,20,8,21,,
1.70E-05,20,8,20,,
1.70E-05,6,2,21,,
1.75E-05,58,14,22,,
1.77E-05,67,16,21,,
1.81E-05,6,0,22,,
1.88E-05,7,21,23,,
1.69E-05,12,0,23,,
1.77E-05,7,21,23,,
1.74E-05,68,12,24,,
1.70E-05,45,4,24,,
1.74E-05,68,12,24,,
1.75E-05,20,12,25,,
1.73E-05,59,6,26,,
1.75E-05,20,12,26,,
2.04E-05,6,10,24,,
1.81E-05,64,8,24,,
1.91E-05,59,16,25,,
1.70E-05,6,2,24,,
1.76E-05,59,18,24,,
2.23E-05,59,9,24,,
1.69E-05,12,4,25,,
2.01E-05,62,10,26,,
1.76E-05,6,15,26,,
1.73E-05,59,11,26,,
1.75E-05,54,18,25,,
1.73E-05,59,11,25,,
1.73E-05,4,13,27,,
1.77E-05,70,24,27,,
1.72E-05,2,8,28,,
2.23E-05,88,18,28,,
2.01E-05,68,21,31,,
1.79E-05,6,0,33,,
1.84E-05,70,26,32,,
1.85E-05,48,19,32,,
1.84E-05,68,21,31,,
1.83E-05,79,22,31,,
1.82E-05,18,9,32,,
1.86E-05,7,29,32,,
2.72E-05,11,29,31,,
1.98E-05,46,21,31,,
1.86E-05,1,23,36,,
1.87E-05,43,21,36,,
1.83E-05,59,6,37,,
1.96E-05,88,17,37,,
2.30E-05,6,2,37,,
1.99E-05,41,5,37,,
1.97E-05,43,20,37,,
1.82E-05,60,16,37,,
1.79E-05,58,4,35,,
1.85E-05,43,22,35,,
1.87E-05,52,18,34,,
1.86E-05,48,31,34,,
2.03E-05,76,6,34,,
1.85E-05,90,7,35,,
1.91E-05,60,30,34,,
1.90E-05,11,32,34,,
2.72E-05,90,7,34,,
1.77E-05,52,1,34,,
1.88E-05,51,29,35,,
1.88E-05,48,31,35,,
1.87E-05,51,29,35,,
1.85E-05,43,20,36,,
1.78E-05,76,4,34,,
1.79E-05,75,13,35,,
2.52E-05,14,32,35,,
1.78E-05,50,26,35,,
1.88E-05,49,14,35,,
1.75E-05,52,6,38,,
1.74E-05,56,18,37,,
1.75E-05,75,7,37,,
1.74E-05,88,16,37,,
1.69E-05,69,1,38,,
1.79E-05,46,27,38,,
1.79E-05,68,27,40,,
1.70E-05,14,9,40,,
1.81E-05,14,34,38,,
2.63E-05,56,19,39,,
1.79E-05,69,1,39,,
1.85E-05,88,17,39,,
1.97E-05,65,26,40,,
1.79E-05,71,26,42,,
1.81E-05,48,33,42,,
2.13E-05,90,31,42,,
1.72E-05,82,11,39,,
1.73E-05,79,7,39,,
1.83E-05,14,9,38,,
1.87E-05,2,15,38,,
1.78E-05,74,21,39,,
1.78E-05,48,31,39,,
1.82E-05,47,35,39,,
1.75E-05,75,8,38,,
1.75E-05,47,15,38,,
1.80E-05,8,26,38,,
1.71E-05,44,11,38,,
1.79E-05,46,25,37,,
1.75E-05,53,17,37,,
1.81E-05,90,28,37,,
1.77E-05,68,25,40,,
1.72E-05,52,10,38,,
1.72E-05,45,5,38,,
2.59E-05,66,6,38,,
1.77E-05,11,3,38,,
1.69E-05,13,0,38,,
1.73E-05,79,9,39,,
1.69E-05,6,0,36,,
1.70E-05,11,2,36,,
1.75E-05,78,12,36,,
1.75E-05,45,14,35,,
1.82E-05,76,30,37,,
1.80E-05,8,28,37,,
1.69E-05,66,3,37,,
8.17E-05,5,27,37,,
2.00E-05,55,14,37,,
1.84E-05,45,35,38,,
1.71E-05,60,2,39,,
1.70E-05,9,0,39,,
1.74E-05,71,9,41,,
1.72E-05,62,11,41,,
1.69E-05,45,2,38,,
1.71E-05,66,3,38,,
1.74E-05,55,13,38,,
2.81E-05,76,23,38,,
2.37E-05,73,32,38,,
1.83E-05,61,11,36,,
1.82E-05,62,9,36,,
1.99E-05,1,35,37,,
1.93E-05,6,29,38,,
1.92E-05,44,34,38,,
1.85E-05,53,15,39,,
1.92E-05,44,35,39,,
1.91E-05,53,32,39,,
2.39E-05,6,30,39,,
1.84E-05,53,16,40,,
1.86E-05,55,14,42,,
1.89E-05,57,25,39,,
1.97E-05,18,40,42,,
1.82E-05,65,32,41,,
1.76E-05,49,20,41,,
1.83E-05,50,37,41,,
1.91E-05,79,34,42,,
1.81E-05,49,6,41,,
1.92E-05,44,38,41,,
1.81E-05,57,29,43,,
1.72E-05,49,8,42,,
1.83E-05,79,34,41,,
1.78E-05,53,21,42,,
1.79E-05,90,29,40,,
1.69E-05,78,7,40,,
1.80E-05,65,23,39,,
6.24E-05,52,10,39,,
1.82E-05,10,34,38,,
1.77E-05,65,22,38,,
1.76E-05,74,22,38,,
1.80E-05,80,24,38,,
1.83E-05,50,37,39,,
1.74E-05,78,7,38,,
2.41E-05,18,2,38,,
1.74E-05,66,4,38,,
1.73E-05,71,9,38,,
1.82E-05,69,34,38,,
1.72E-05,78,7,38,,
1.78E-05,60,19,37,,
2.02E-05,79,31,34,,
2.26E-05,79,31,35,,
1.71E-05,7,6,37,,
2.51E-05,43,22,38,,
1.88E-05,44,31,37,,
1.86E-05,46,26,36,,
1.77E-05,60,2,36,,
1.78E-05,69,0,36,,
1.90E-05,90,28,35,,
1.89E-05,44,30,35,,
1.87E-05,46,27,34,,
1.81E-05,62,11,33,,
1.81E-05,54,7,33,,
1.91E-05,55,25,33,,
1.83E-05,55,17,35,,
1.79E-05,77,5,36,,
2.51E-05,16,5,37,,
1.92E-05,67,32,37,,
1.91E-05,55,29,38,,
1.86E-05,81,24,40,,
1.90E-05,46,33,40,,
1.83E-05,58,17,39,,
2.76E-05,53,30,38,,
2.72E-05,57,32,38,,
1.87E-05,20,3,37,,
2.40E-05,82,34,37,,
1.85E-05,64,25,36,,
1.81E-05,4,4,36,,
1.88E-05,67,32,36,,
1.80E-05,4,4,36,,
1.83E-05,46,19,37,,
1.86E-05,53,28,34,,
1.82E-05,56,11,34,,
2.93E-05,64,24,34,,
2.55E-05,55,29,34,,
1.85E-05,53,17,33,,
1.77E-05,75,3,33,,
1.79E-05,75,3,34,,
1.81E-05,88,6,34,,
1.88E-05,18,29,34,,
1.88E-05,83,31,33,,
1.87E-05,50,26,33,,
1.86E-05,50,27,34,,
1.88E-05,83,32,34,,
1.78E-05,18,4,34,,
1.85E-05,67,31,33,,
1.88E-05,53,23,33,,
1.88E-05,57,30,33,,
1.80E-05,88,6,34,,
1.80E-05,14,1,33,,
1.92E-05,50,26,33,,
1.80E-05,84,5,33,,
1.84E-05,84,10,31,,
1.84E-05,80,18,29,,
1.76E-05,84,3,28,,
1.80E-05,84,4,29,,
1.86E-05,63,22,29,,
1.87E-05,19,27,29,,
1.82E-05,69,14,28,,
1.81E-05,88,5,29,,
1.83E-05,53,19,29,,
2.72E-05,87,21,31,,
2.67E-05,49,8,32,,
2.10E-05,45,18,33,,
1.77E-05,72,0,28,,
1.87E-05,89,16,28,,
2.88E-05,16,6,31,,
3.28E-05,62,9,28,,
1.78E-05,1,0,25,,
2.30E-05,70,13,23,,
1.81E-05,70,13,23,,
1.80E-05,15,8,23,,
2.93E-05,63,18,23,,
1.85E-05,60,10,23,,
1.87E-05,53,15,23,,
1.88E-05,80,20,24,,
1.89E-05,64,23,26,,
1.81E-05,47,12,27,,
1.86E-05,63,22,29,,
1.86E-05,46,26,28,,
1.84E-05,62,9,27,,
1.85E-05,13,28,32,,
1.84E-05,60,8,32,,
1.99E-05,56,22,30,,
2.83E-05,64,28,30,,
1.88E-05,18,24,29,,
2.61E-05,82,23,30,,
2.71E-05,18,25,30,,
2.78E-05,47,14,30,,
3.19E-05,73,7,28,,
2.68E-05,70,19,27,,
2.17E-05,44,25,27,,
1.81E-05,83,1,28,,
1.78E-05,2,3,30,,
1.76E-05,70,20,30,,
1.73E-05,10,10,31,,
1.76E-05,56,24,31,,
1.71E-05,17,2,30,,
1.73E-05,60,8,32,,
2.32E-05,5,26,35,,
1.73E-05,2,0,35,,
1.95E-05,63,32,35,,
1.72E-05,57,10,36,,
1.79E-05,58,31,36,,
1.77E-05,12,1,35,,
1.79E-05,56,29,35,,
1.71E-05,49,7,34,,
1.81E-05,71,25,34,,
1.72E-05,70,9,34,,
2.25E-05,53,31,34,,
1.74E-05,10,11,34,,
1.75E-05,61,18,32,,
1.78E-05,83,3,33,,
1.84E-05,53,27,33,,
1.68E-05,2,0,33,,
1.69E-05,52,1,34,,
1.82E-05,78,25,35,,
1.69E-05,16,0,36,,
1.82E-05,53,33,36,,
2.42E-05,17,1,36,,
1.70E-05,20,3,35,,
1.77E-05,81,24,36,,
2.23E-05,57,22,35,,
1.80E-05,90,29,32,,
2.40E-05,45,14,33,,
1.83E-05,69,23,33,,
1.74E-05,11,10,33,,
1.76E-05,51,17,33,,
1.71E-05,78,8,32,,
1.70E-05,84,7,32,,
1.79E-05,17,23,33,,
2.59E-05,80,6,34,,
1.83E-05,75,14,33,,
1.69E-05,73,4,36,,
1.77E-05,57,22,36,,
1.69E-05,20,2,34,,
1.97E-05,73,28,34,,
1.86E-05,85,18,34,,
1.89E-05,69,24,36,,
1.87E-05,78,26,35,,
1.80E-05,64,5,35,,
1.93E-05,78,27,36,,
1.82E-05,12,2,36,,
1.95E-05,81,32,38,,
1.82E-05,51,18,37,,
1.83E-05,53,10,38,,
1.86E-05,15,6,39,,
1.87E-05,51,22,39,,
1.79E-05,7,2,39,,
1.74E-05,73,7,39,,
1.80E-05,57,27,40,,
1.74E-05,53,14,40,,
1.79E-05,84,27,40,,
1.85E-05,6,15,39,,
1.83E-05,80,12,39,,
2.41E-05,13,22,40,,
1.82E-05,87,14,38,,
1.78E-05,9,9,35,,
1.79E-05,85,26,36,,
1.73E-05,80,9,38,,
1.72E-05,73,5,36,,
1.70E-05,1,1,35,,
1.84E-05,51,31,38,,
1.77E-05,90,16,38,,
1.77E-05,62,20,38,,
1.80E-05,80,29,37,,
1.78E-05,19,28,38,,
1.75E-05,82,19,36,,
2.79E-05,64,14,37,,
1.73E-05,44,6,37,,
1.84E-05,16,34,38,,
1.81E-05,56,33,38,,
1.90E-05,56,33,41,,
1.73E-05,13,17,42,,
1.72E-05,17,2,42,,
1.84E-05,17,2,43,,
1.79E-05,80,28,42,,
2.18E-05,82,18,43,,
1.91E-05,80,28,44,,
1.90E-05,5,34,43,,
1.77E-05,86,17,44,,
1.74E-05,72,12,44,,
2.09E-05,15,42,44,,
1.91E-05,56,33,44,,
1.80E-05,80,7,44,,
1.85E-05,42,21,44,,
1.89E-05,17,30,44,,
1.82E-05,80,6,43,,
2.67E-05,55,20,43,,
1.82E-05,88,24,42,,
1.80E-05,5,33,41,,
1.71E-05,44,3,40,,
1.75E-05,62,16,39,,
1.88E-05,42,18,39,,
1.92E-05,55,17,39,,
1.94E-05,8,33,39,,
1.81E-05,5,30,38,,
1.76E-05,9,27,38,,
2.18E-05,13,8,39,,
1.82E-05,19,22,39,,
1.77E-05,79,19,38,,
1.83E-05,48,32,38,,
1.69E-05,62,3,38,,
1.77E-05,51,16,38,,
1.69E-05,55,2,37,,
1.80E-05,16,35,37,,
1.72E-05,13,4,31,,
1.70E-05,13,1,31,,
1.71E-05,62,6,30,,
1.71E-05,86,4,30,,
1.80E-05,85,29,31,,
1.88E-05,16,28,31,,
1.86E-05,17,18,31,,
2.34E-05,16,28,32,,
1.79E-05,17,18,32,,
1.76E-05,19,15,33,,
1.72E-05,86,5,33,,
1.83E-05,14,31,33,,
1.80E-05,74,30,33,,
1.71E-05,82,6,35,,
1.74E-05,58,3,34,,
1.76E-05,19,18,36,,
1.75E-05,19,15,34,,
1.86E-05,9,18,34,,
1.74E-05,49,14,33,,
1.82E-05,18,30,36,,
1.89E-05,56,24,35,,
1.75E-05,9,18,33,,
1.76E-05,14,19,31,,
1.71E-05,90,12,32,,
1.77E-05,45,30,32,,
1.79E-05,14,25,31,,
1.85E-05,49,10,31,,
1.89E-05,42,13,31,,
2.49E-05,3,29,31,,
1.70E-05,12,0,34,,
1.77E-05,4,22,34,,
1.81E-05,3,30,34,,
1.75E-05,10,17,34,,
1.84E-05,86,7,35,,
1.75E-05,83,15,36,,
1.77E-05,76,17,36,,
1.81E-05,60,29,37,,
2.26E-05,43,15,36,,
1.76E-05,10,17,36,,
1.71E-05,11,2,36,,
1.71E-05,11,2,34,,
1.81E-05,5,31,34,,
1.78E-05,76,27,33,,
