cas operacie,cislo,index prvku,dlzka zoznamu,,,
1.74E-05,50,11,22,,,
1.77E-05,83,15,22,,,
1.78E-05,57,18,21,,,
1.75E-05,55,12,21,,,
1.79E-05,62,20,22,,,
1.78E-05,50,17,21,,,
1.94E-05,46,4,21,,,
1.89E-05,59,5,22,,,
1.79E-05,80,11,19,,,
1.78E-05,80,12,18,,,
1.77E-05,75,11,19,,,
1.74E-05,76,11,22,,,
1.72E-05,69,0,22,,,
1.77E-05,89,15,24,,,
3.17E-05,59,10,23,,,
2.01E-05,88,9,23,,,
1.81E-05,70,4,23,,,
1.78E-05,88,11,23,,,
1.78E-05,53,13,23,,,
1.78E-05,54,21,23,,,
1.78E-05,89,12,23,,,
1.81E-05,63,23,29,,,
1.90E-05,59,0,32,,,
2.92E-05,64,27,32,,,
2.24E-05,79,2,32,,,
1.85E-05,90,5,32,,,
1.93E-05,85,30,32,,,
2.43E-05,58,21,33,,,
1.87E-05,64,18,33,,,
1.82E-05,78,21,36,,,
1.85E-05,90,30,37,,,
1.72E-05,86,5,37,,,
1.75E-05,68,9,37,,,
1.74E-05,44,11,37,,,
1.74E-05,69,4,37,,,
1.74E-05,54,6,37,,,
1.80E-05,85,26,36,,,
1.76E-05,59,7,37,,,
1.81E-05,43,28,37,,,
1.76E-05,78,14,37,,,
1.78E-05,51,20,37,,,
1.78E-05,42,16,38,,,
1.79E-05,45,25,38,,,
1.74E-05,44,7,38,,,
1.73E-05,64,4,38,,,
1.81E-05,60,21,40,,,
1.84E-05,56,31,41,,,
1.80E-05,76,25,40,,,
1.80E-05,78,25,42,,,
1.75E-05,70,15,42,,,
1.76E-05,51,3,42,,,
1.84E-05,87,14,41,,,
1.81E-05,78,26,41,,,
1.88E-05,77,33,41,,,
1.83E-05,80,27,41,,,
1.81E-05,73,21,40,,,
1.77E-05,86,18,39,,,
1.79E-05,42,25,39,,,
1.81E-05,66,26,38,,,
1.75E-05,50,3,37,,,
1.74E-05,47,3,35,,,
1.78E-05,72,18,35,,,
1.78E-05,73,22,35,,,
1.81E-05,71,28,35,,,
1.80E-05,51,21,34,,,
1.72E-05,85,4,34,,,
1.71E-05,67,0,33,,,
1.75E-05,57,8,32,,,
1.82E-05,86,29,35,,,
1.74E-05,64,15,35,,,
2.51E-05,71,15,35,,,
1.82E-05,43,24,35,,,
1.71E-05,78,0,35,,,
1.78E-05,50,17,35,,,
1.79E-05,52,22,35,,,
1.77E-05,63,13,34,,,
1.74E-05,41,7,34,,,
1.84E-05,77,30,36,,,
1.78E-05,82,13,36,,,
1.73E-05,55,5,36,,,
2.48E-05,59,14,36,,,
1.76E-05,88,8,37,,,
1.82E-05,64,27,38,,,
1.76E-05,89,11,38,,,
1.84E-05,42,32,37,,,
1.79E-05,59,18,32,,,
1.72E-05,87,2,32,,,
1.75E-05,89,9,32,,,
1.75E-05,66,8,32,,,
1.74E-05,90,5,32,,,
1.74E-05,72,6,33,,,
1.71E-05,54,1,33,,,
1.80E-05,58,24,32,,,
1.72E-05,43,6,32,,,
1.89E-05,47,10,32,,,
1.78E-05,74,11,32,,,
1.72E-05,78,2,32,,,
1.77E-05,70,6,33,,,
1.79E-05,43,16,33,,,
1.73E-05,83,5,33,,,
1.71E-05,75,3,32,,,
1.76E-05,42,15,33,,,
1.74E-05,56,7,32,,,
1.79E-05,50,21,32,,,
1.89E-05,41,8,35,,,
1.85E-05,46,4,35,,,
2.70E-05,71,8,35,,,
2.18E-05,64,30,35,,,
1.76E-05,58,2,34,,,
1.75E-05,56,7,35,,,
1.73E-05,77,3,36,,,
1.77E-05,54,10,36,,,
1.72E-05,77,4,31,,,
1.80E-05,54,24,32,,,
1.77E-05,60,17,32,,,
1.82E-05,41,31,33,,,
1.79E-05,67,19,33,,,
1.78E-05,53,18,33,,,
2.57E-05,80,10,36,,,
2.64E-05,61,18,36,,,
1.75E-05,78,10,35,,,
1.83E-05,85,29,34,,,
1.74E-05,50,6,35,,,
1.81E-05,72,27,35,,,
1.72E-05,57,3,35,,,
1.83E-05,79,31,35,,,
1.73E-05,72,7,35,,,
1.77E-05,43,17,33,,,
1.84E-05,43,27,34,,,
1.82E-05,43,11,32,,,
1.89E-05,88,0,31,,,
1.88E-05,66,9,31,,,
3.02E-05,57,17,32,,,
1.82E-05,50,27,31,,,
1.81E-05,50,24,31,,,
1.72E-05,71,3,30,,,
1.73E-05,43,5,30,,,
