cas operacie,vybrane cislo,velkost frontu,,,
3.60E-05,50,20888,,,
3.48E-05,20,20892,,,
3.34E-05,61,20891,,,
3.65E-05,35,20892,,,
3.21E-05,45,20892,,,
3.24E-05,29,20891,,,
4.42E-05,29,20899,,,
4.85E-05,12,20900,,,
3.14E-05,9,20906,,,
3.10E-05,64,20906,,,
3.40E-05,66,20906,,,
3.07E-05,39,20909,,,
4.61E-05,40,20910,,,
4.02E-05,69,20911,,,
4.31E-05,52,20914,,,
3.36E-05,6,20920,,,
3.19E-05,50,20925,,,
3.16E-05,58,20925,,,
3.11E-05,34,20925,,,
2.49E-05,33,20934,,,
2.43E-05,36,20936,,,
2.40E-05,42,20936,,,
2.41E-05,27,20935,,,
2.42E-05,13,20934,,,
3.19E-05,28,20936,,,
3.13E-05,17,20935,,,
2.46E-05,39,20935,,,
3.00E-05,52,20936,,,
3.28E-05,31,20936,,,
3.30E-05,54,20935,,,
3.60E-05,18,20936,,,
3.47E-05,36,20949,,,
2.89E-05,69,20951,,,
0.0035815,23,20952,,,
3.14E-05,9,20953,,,
2.99E-05,28,20952,,,
3.35E-05,52,20952,,,
3.25E-05,46,20951,,,
2.93E-05,60,20954,,,
2.87E-05,64,20953,,,
3.52E-05,37,20960,,,
2.97E-05,47,20966,,,
2.91E-05,25,20965,,,
2.92E-05,70,20967,,,
2.96E-05,18,20966,,,
3.33E-05,63,20966,,,
3.22E-05,11,20974,,,
3.24E-05,2,20976,,,
3.09E-05,2,20978,,,
3.08E-05,12,20978,,,
3.44E-05,29,20979,,,
3.14E-05,66,20980,,,
3.92E-05,19,20980,,,
3.54E-05,62,20979,,,
3.48E-05,69,20979,,,
3.43E-05,50,20978,,,
3.17E-05,47,20979,,,
3.34E-05,11,20984,,,
3.52E-05,62,20986,,,
3.22E-05,4,20990,,,
3.16E-05,2,20990,,,
3.11E-05,67,20990,,,
3.31E-05,28,20991,,,
3.13E-05,25,20990,,,
3.13E-05,34,20989,,,
3.11E-05,15,20990,,,
3.08E-05,47,20990,,,
3.42E-05,35,20993,,,
3.30E-05,62,20995,,,
2.94E-05,25,20995,,,
2.86E-05,6,20996,,,
2.88E-05,14,20996,,,
3.11E-05,54,20998,,,
3.16E-05,23,20997,,,
3.36E-05,24,20999,,,
3.51E-05,63,21000,,,
3.41E-05,36,20999,,,
3.40E-05,57,20999,,,
3.38E-05,70,21002,,,
3.55E-05,13,21003,,,
3.33E-05,51,21002,,,
2.96E-05,50,21002,,,
3.03E-05,1,21001,,,
4.05E-05,10,21002,,,
2.76E-05,55,21004,,,
3.69E-05,30,21009,,,
3.65E-05,69,21009,,,
2.96E-05,38,21010,,,
3.32E-05,7,21019,,,
3.09E-05,28,21022,,,
3.13E-05,48,21022,,,
3.13E-05,35,21024,,,
3.68E-05,51,21023,,,
3.12E-05,42,21023,,,
3.09E-05,43,21022,,,
3.11E-05,33,21023,,,
3.68E-05,22,21026,,,
3.12E-05,63,21032,,,
3.12E-05,23,21033,,,
3.12E-05,34,21038,,,
3.46E-05,24,21040,,,
3.78E-05,67,21044,,,
3.33E-05,34,21049,,,
0.0006153,51,21050,,,
3.59E-05,47,21049,,,
3.17E-05,68,21051,,,
3.08E-05,69,21050,,,
3.10E-05,26,21049,,,
3.12E-05,36,21049,,,
3.17E-05,68,21050,,,
3.17E-05,61,21057,,,
3.23E-05,38,21059,,,
3.18E-05,29,21058,,,
0.0010657,67,21057,,,
3.24E-05,37,21057,,,
3.04E-05,22,21056,,,
3.51E-05,60,21058,,,
3.13E-05,37,21058,,,
3.13E-05,3,21058,,,
3.13E-05,46,21057,,,
3.10E-05,33,21056,,,
3.12E-05,17,21056,,,
3.77E-05,41,21058,,,
3.43E-05,11,21058,,,
6.51E-05,27,21060,,,
3.20E-05,51,21062,,,
3.49E-05,63,21064,,,
3.24E-05,66,21064,,,
3.61E-05,40,21068,,,
3.63E-05,11,21072,,,
3.67E-05,4,21073,,,
3.62E-05,51,21073,,,
3.17E-05,54,21077,,,
3.56E-05,59,21079,,,
2.85E-05,22,21080,,,
0.0001038,11,21095,,,
3.58E-05,40,21097,,,
3.51E-05,61,21096,,,
3.52E-05,43,21095,,,
3.45E-05,55,21094,,,
3.88E-05,9,21100,,,
3.42E-05,45,21107,,,
3.30E-05,19,21107,,,
3.21E-05,24,21108,,,
2.98E-05,23,21107,,,
3.34E-05,30,21108,,,
3.36E-05,64,21111,,,
2.86E-05,29,21125,,,
3.00E-05,1,21124,,,
3.73E-05,27,21129,,,
3.61E-05,11,21129,,,
2.85E-05,24,21133,,,
3.60E-05,33,21134,,,
2.82E-05,68,21134,,,
2.82E-05,58,21133,,,
2.74E-05,39,21133,,,
3.16E-05,61,21134,,,
3.16E-05,13,21135,,,
2.89E-05,47,21142,,,
3.10E-05,36,21142,,,
3.23E-05,56,21145,,,
3.09E-05,11,21145,,,
3.19E-05,18,21145,,,
3.15E-05,50,21144,,,
3.12E-05,67,21146,,,
3.12E-05,47,21149,,,
3.13E-05,17,21148,,,
4.35E-05,19,21147,,,
5.74E-05,53,21146,,,
5.28E-05,8,21146,,,
3.26E-05,52,21149,,,
3.49E-05,34,21149,,,
2.44E-05,54,21157,,,
3.13E-05,3,21164,,,
3.23E-05,61,21164,,,
3.22E-05,52,21165,,,
3.24E-05,12,21167,,,
2.85E-05,68,21166,,,
3.13E-05,34,21168,,,
2.96E-05,12,21167,,,
2.99E-05,30,21166,,,
3.14E-05,44,21169,,,
4.24E-05,23,21175,,,
3.43E-05,8,21176,,,
3.65E-05,53,21177,,,
3.23E-05,47,21179,,,
2.48E-05,21,21184,,,
3.01E-05,40,21186,,,
3.10E-05,50,21188,,,
3.06E-05,54,21187,,,
3.79E-05,3,21187,,,
3.27E-05,58,21188,,,
3.29E-05,41,21195,,,
3.19E-05,67,21195,,,
3.16E-05,32,21195,,,
3.09E-05,1,21194,,,
3.23E-05,10,21193,,,
3.10E-05,3,21192,,,
3.23E-05,32,21201,,,
3.01E-05,1,21202,,,
2.91E-05,4,21205,,,
2.90E-05,30,21204,,,
3.24E-05,57,21207,,,
3.65E-05,33,21209,,,
4.30E-05,60,21208,,,
4.81E-05,17,21207,,,
4.21E-05,28,21206,,,
3.48E-05,8,21213,,,
0.0001847,40,21218,,,
3.50E-05,41,21217,,,
3.30E-05,30,21219,,,
2.50E-05,70,21225,,,
2.59E-05,11,21226,,,
2.42E-05,32,21228,,,
2.40E-05,23,21227,,,
3.43E-05,44,21231,,,
2.47E-05,52,21233,,,
3.19E-05,32,21236,,,
3.11E-05,30,21235,,,
3.10E-05,46,21234,,,
3.20E-05,70,21239,,,
0.0001744,14,21245,,,
3.22E-05,15,21250,,,
3.16E-05,5,21255,,,
3.63E-05,3,21257,,,
3.45E-05,67,21262,,,
3.01E-05,30,21271,,,
3.19E-05,58,21271,,,
3.19E-05,55,21283,,,
3.77E-05,51,21284,,,
3.09E-05,19,21283,,,
3.70E-05,43,21294,,,
2.49E-05,44,21301,,,
3.22E-05,22,21301,,,
2.50E-05,68,21301,,,
2.84E-05,57,21300,,,
4.16E-05,69,21302,,,
3.37E-05,38,21305,,,
2.84E-05,48,21306,,,
2.87E-05,11,21307,,,
2.82E-05,47,21306,,,
0.0001506,2,21309,,,
3.15E-05,37,21312,,,
0.0001083,28,21326,,,
3.52E-05,10,21326,,,
3.98E-05,26,21326,,,
3.15E-05,27,21328,,,
3.10E-05,35,21327,,,
3.17E-05,53,21332,,,
3.76E-05,8,21340,,,
3.20E-05,4,21340,,,
3.48E-05,58,21343,,,
3.39E-05,31,21343,,,
3.22E-05,60,21343,,,
0.0001189,31,21343,,,
3.34E-05,53,21342,,,
7.98E-05,1,21343,,,
2.44E-05,10,21345,,,
2.45E-05,42,21353,,,
2.39E-05,39,21352,,,
3.55E-05,41,21354,,,
3.40E-05,3,21355,,,
3.74E-05,38,21356,,,
3.16E-05,70,21361,,,
3.16E-05,56,21360,,,
3.09E-05,17,21359,,,
0.000116,1,21362,,,
3.26E-05,19,21366,,,
3.08E-05,29,21368,,,
3.15E-05,69,21368,,,
3.33E-05,70,21367,,,
3.61E-05,63,21367,,,
3.43E-05,24,21369,,,
2.45E-05,3,21374,,,
2.43E-05,23,21374,,,
2.41E-05,40,21373,,,
2.45E-05,56,21385,,,
2.38E-05,52,21384,,,
4.00E-05,11,21393,,,
0.0001007,29,21393,,,
3.83E-05,19,21392,,,
2.99E-05,1,21394,,,
2.91E-05,68,21393,,,
3.26E-05,49,21402,,,
3.07E-05,54,21403,,,
3.16E-05,45,21405,,,
3.10E-05,63,21404,,,
3.46E-05,35,21406,,,
0.0001894,59,21419,,,
3.42E-05,61,21418,,,
2.93E-05,36,21419,,,
5.58E-05,65,21425,,,
3.25E-05,41,21433,,,
3.10E-05,48,21433,,,
3.57E-05,28,21433,,,
3.07E-05,15,21439,,,
2.97E-05,18,21438,,,
3.99E-05,35,21443,,,
3.55E-05,27,21442,,,
6.94E-05,21,21442,,,
3.10E-05,67,21441,,,
3.00E-05,36,21440,,,
3.40E-05,59,21441,,,
3.27E-05,43,21445,,,
3.54E-05,13,21445,,,
3.48E-05,66,21444,,,
3.86E-05,15,21447,,,
3.66E-05,17,21451,,,
3.57E-05,30,21457,,,
4.23E-05,60,21457,,,
3.00E-05,59,21460,,,
3.19E-05,31,21460,,,
3.16E-05,41,21465,,,
3.24E-05,35,21468,,,
2.96E-05,43,21468,,,
2.48E-05,67,21468,,,
3.15E-05,66,21474,,,
3.15E-05,40,21473,,,
3.12E-05,55,21472,,,
3.11E-05,70,21472,,,
3.15E-05,47,21472,,,
3.26E-05,42,21474,,,
3.10E-05,36,21473,,,
2.97E-05,66,21478,,,
2.78E-05,30,21478,,,
3.25E-05,39,21481,,,
3.38E-05,57,21481,,,
2.96E-05,37,21480,,,
3.05E-05,8,21481,,,
3.53E-05,23,21480,,,
3.33E-05,58,21483,,,
3.52E-05,5,21491,,,
3.11E-05,14,21493,,,
3.23E-05,44,21500,,,
2.90E-05,38,21500,,,
2.90E-05,44,21499,,,
0.0001048,31,21499,,,
3.70E-05,30,21498,,,
0.0001348,11,21497,,,
3.15E-05,36,21506,,,
3.12E-05,38,21506,,,
3.11E-05,29,21506,,,
3.10E-05,23,21507,,,
3.36E-05,18,21512,,,
4.06E-05,5,21511,,,
3.17E-05,13,21512,,,
3.13E-05,58,21516,,,
3.43E-05,67,21515,,,
2.62E-05,46,21516,,,
2.46E-05,50,21521,,,
2.42E-05,23,21521,,,
2.41E-05,56,21523,,,
3.05E-05,55,21527,,,
4.21E-05,56,21531,,,
4.18E-05,24,21530,,,
0.0001018,47,21530,,,
3.00E-05,14,21539,,,
3.25E-05,35,21539,,,
2.92E-05,70,21548,,,
3.09E-05,29,21549,,,
3.17E-05,13,21559,,,
3.21E-05,35,21558,,,
3.18E-05,49,21557,,,
2.89E-05,51,21557,,,
2.89E-05,22,21556,,,
0.0002844,60,21565,,,
4.05E-05,33,21568,,,
3.15E-05,1,21567,,,
3.22E-05,11,21571,,,
3.07E-05,29,21571,,,
3.13E-05,53,21571,,,
3.17E-05,26,21579,,,
3.13E-05,39,21578,,,
3.30E-05,58,21579,,,
3.97E-05,63,21581,,,
3.02E-05,53,21580,,,
3.31E-05,29,21587,,,
2.97E-05,61,21586,,,
2.51E-05,25,21593,,,
2.45E-05,49,21594,,,
2.42E-05,55,21594,,,
2.39E-05,33,21594,,,
2.39E-05,56,21595,,,
3.23E-05,22,21598,,,
3.07E-05,60,21601,,,
2.47E-05,28,21608,,,
2.42E-05,24,21608,,,
2.46E-05,28,21613,,,
3.18E-05,17,21618,,,
3.12E-05,3,21617,,,
4.58E-05,15,21618,,,
4.05E-05,60,21617,,,
3.16E-05,22,21617,,,
3.10E-05,66,21616,,,
2.79E-05,5,21619,,,
3.35E-05,48,21626,,,
3.30E-05,2,21627,,,
3.59E-05,64,21629,,,
3.31E-05,33,21631,,,
3.54E-05,23,21631,,,
3.31E-05,6,21635,,,
3.62E-05,17,21648,,,
3.15E-05,13,21649,,,
3.14E-05,65,21648,,,
3.31E-05,40,21660,,,
3.21E-05,64,21659,,,
2.49E-05,57,21662,,,
2.42E-05,67,21661,,,
2.42E-05,38,21660,,,
3.03E-05,37,21660,,,
2.99E-05,63,21659,,,
2.95E-05,17,21658,,,
2.48E-05,65,21664,,,
2.44E-05,32,21665,,,
3.08E-05,56,21666,,,
2.47E-05,22,21673,,,
9.88E-05,64,21674,,,
3.22E-05,24,21675,,,
3.21E-05,1,21690,,,
3.06E-05,53,21690,,,
0.0001283,39,21696,,,
3.49E-05,34,21719,,,
3.17E-05,54,21719,,,
3.22E-05,24,21722,,,
2.89E-05,14,21722,,,
2.51E-05,23,21723,,,
2.40E-05,33,21723,,,
3.21E-05,67,21723,,,
2.45E-05,58,21725,,,
2.43E-05,56,21724,,,
3.97E-05,58,21724,,,
3.29E-05,32,21726,,,
3.04E-05,24,21726,,,
2.90E-05,5,21725,,,
2.86E-05,36,21726,,,
2.74E-05,14,21726,,,
2.75E-05,65,21725,,,
2.78E-05,64,21724,,,
2.87E-05,28,21723,,,
3.01E-05,24,21728,,,
2.98E-05,12,21727,,,
3.17E-05,59,21726,,,
2.48E-05,24,21735,,,
2.42E-05,45,21735,,,
3.33E-05,50,21758,,,
4.19E-05,9,21759,,,
3.16E-05,45,21759,,,
3.17E-05,39,21759,,,
